epoch,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
0,0.05740035171104836,5375996,0,0.0,235834.78125,480913.1953125,6727817.274999984,90994840.0,235834.78125,480913.1953125,6727817.274999984,90994840.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,0.04865717712105461,5375998,0,0.0,267574.6875,592025.375,7657134.5100000305,50488332.0,267574.6875,592025.375,7657134.5100000305,50488332.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,0.04675535413557333,5376000,0,0.0,235025.453125,567482.6281249519,6947897.0,43330368.0,235025.453125,567482.6281249519,6947897.0,43330368.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,0.039178470104267754,5376000,0,0.0,227024.1875,530111.8812499385,6861684.0,35626100.0,227024.1875,530111.8812499385,6861684.0,35626100.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4,0.03276610529713345,5376000,0,0.0,238237.984375,583454.2249999745,7201985.5,34257264.0,238237.984375,583454.2249999745,7201985.5,34257264.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5,0.03216467599524399,5375996,0,0.0,248158.34375,631449.5625,7326526.5,34688688.0,248158.34375,631449.5625,7326526.5,34688688.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
6,0.027890019567558627,5375996,0,0.0,253279.640625,669085.4375,7395849.0,34483104.0,253279.640625,669085.4375,7395849.0,34483104.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
7,0.03236658214469232,5375999,0,0.0,258185.390625,697077.1374999364,7390415.0,33797364.0,258185.390625,697077.1374999364,7390415.0,33797364.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
8,0.029646283057392437,5375981,0,0.0,265074.59375,734889.5625,7467996.500000077,34142588.0,265074.59375,734889.5625,7467996.500000077,34142588.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
9,0.03336144716415152,5376000,0,0.0,270957.75,761060.9531248969,7678572.0,34807124.0,270957.75,761060.9531248969,7678572.0,34807124.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
10,0.033267052615958095,5376000,0,0.0,276426.9375,796883.628124984,7799328.0,34487580.0,276426.9375,796883.628124984,7799328.0,34487580.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
11,0.03177651144127886,5376000,0,0.0,281937.03125,824471.0406249375,8007455.0,34416444.0,281937.03125,824471.0406249375,8007455.0,34416444.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
