mode,step_size_group,critic_step_size_scale,epoch,update_epoch,minibatch_id,trace_stage,trace_scope,critic_loss,actor_loss,critic_grad_norm,actor_grad_norm,critic_param_delta_norm,critic_backbone_delta_norm,critic_head_delta_norm,actor_param_delta_norm,value_pred_mean,value_pred_std,value_target_mean,value_target_std,return_mean,return_std,advantage_mean,advantage_std,pearson_value_vs_value_target,spearman_value_vs_value_target,pearson_value_vs_return,spearman_value_vs_return,pearson_value_vs_advantage,spearman_value_vs_advantage,pearson_value_vs_one_step_reward,spearman_value_vs_one_step_reward,popart_mean,popart_std
hierarchical_actor_joint_reward_aligned_credit,current_step_size,1.0,0,-1,-1,before_popart_update,preloop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.65019989013672,12.498706817626953,-0.9531709551811218,1.288845419883728,-31.182727813720703,9.508411407470703,-16.90152359008789,18.28709602355957,0.12146705389022827,0.0807320699095726,0.12146707624197006,0.0807320699095726,-0.8356074690818787,-0.7297449707984924,-0.27451416850090027,-0.21560154855251312,-26.494740168253582,8.798289340670184
hierarchical_actor_joint_reward_aligned_credit,current_step_size,1.0,0,-1,-1,after_popart_update,preloop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.549667358398438,14.905831336975098,-0.9531709551811218,1.288845419883728,-31.182727813720703,9.508411407470703,-16.90152359008789,18.28709602355957,0.12146706879138947,0.0807320699095726,0.12146706879138947,0.0807320699095726,-0.8356072902679443,-0.7297449707984924,-0.27451422810554504,-0.21560154855251312,-26.494740168253582,8.798289340670184
hierarchical_actor_joint_reward_aligned_credit,current_step_size,1.0,0,-1,-1,after_target_build,preloop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.549667358398438,14.905831336975098,-0.532829761505127,1.0807113647460938,-31.182727813720703,9.508411407470703,-16.90152359008789,18.28709602355957,0.12146706134080887,0.0807320699095726,0.12146706879138947,0.0807320699095726,-0.8356072902679443,-0.7297449707984924,-0.27451422810554504,-0.21560154855251312,-26.494740168253582,8.798289340670184
hierarchical_actor_joint_reward_aligned_credit,current_step_size,1.0,0,0,0,before_actor,minibatch,1.652635097503662,0.12182387709617615,0.0,0.0,0.0,0.0,0.0,0.0,-15.130361557006836,16.873157501220703,-0.6004263758659363,1.08590567111969,-31.777462005615234,9.554112434387207,-20.062297821044922,19.101083755493164,0.17076194286346436,0.1319648176431656,0.17076192796230316,0.1319648176431656,-0.8555363416671753,-0.7628299593925476,-0.21239936351776123,-0.1363636553287506,-26.494740168253582,8.798289340670184
hierarchical_actor_joint_reward_aligned_credit,current_step_size,1.0,0,0,0,after_actor_before_critic,minibatch,1.652635097503662,0.12182387709617615,0.0,0.0,0.0,0.0,0.0,0.0,-15.130361557006836,16.873157501220703,-0.6004263758659363,1.08590567111969,-31.777462005615234,9.554112434387207,-20.062297821044922,19.101083755493164,0.17076194286346436,0.1319648176431656,0.17076192796230316,0.1319648176431656,-0.8555363416671753,-0.7628299593925476,-0.21239936351776123,-0.1363636553287506,-26.494740168253582,8.798289340670184
hierarchical_actor_joint_reward_aligned_credit,current_step_size,1.0,0,0,0,before_critic,minibatch,1.652635097503662,0.12182387709617615,0.0,0.0,0.0,0.0,0.0,0.0,-15.130361557006836,16.873157501220703,-0.6004263758659363,1.08590567111969,-31.777462005615234,9.554112434387207,-20.062297821044922,19.101083755493164,0.17076194286346436,0.1319648176431656,0.17076192796230316,0.1319648176431656,-0.8555363416671753,-0.7628299593925476,-0.21239936351776123,-0.1363636553287506,-26.494740168253582,8.798289340670184
hierarchical_actor_joint_reward_aligned_credit,current_step_size,1.0,0,0,0,after_backward_before_step,minibatch,1.652635097503662,0.12182387709617615,4.336510494602807,0.0,0.0,0.0,0.0,0.0,-15.130361557006836,16.873157501220703,-0.6004263758659363,1.08590567111969,-31.777462005615234,9.554112434387207,-20.062297821044922,19.101083755493164,0.17076194286346436,0.1319648176431656,0.17076192796230316,0.1319648176431656,-0.8555363416671753,-0.7628299593925476,-0.21239936351776123,-0.1363636553287506,-26.494740168253582,8.798289340670184
hierarchical_actor_joint_reward_aligned_credit,current_step_size,1.0,0,0,0,after_optimizer_step,minibatch,1.652635097503662,0.12182387709617615,4.336510494602807,0.0,0.0530448050090163,0.05217361819568663,0.0048591535527262,0.0,-17.093624114990234,15.309405326843262,-0.6004263758659363,1.08590567111969,-31.777462005615234,9.554112434387207,-20.062297821044922,19.101083755493164,0.1667114645242691,0.1348973661661148,0.1667114496231079,0.1348973661661148,-0.8315979242324829,-0.7584311366081238,-0.2514462172985077,-0.1909824162721634,-26.494740168253582,8.798289340670184
hierarchical_actor_joint_reward_aligned_credit,current_step_size,1.0,0,0,0,after_critic,minibatch,1.652635097503662,0.12182387709617615,4.336510494602807,0.0,0.0530448050090163,0.05217361819568663,0.0048591535527262,0.0,-17.093624114990234,15.309405326843262,-0.6004263758659363,1.08590567111969,-31.777462005615234,9.554112434387207,-20.062297821044922,19.101083755493164,0.1667114645242691,0.1348973661661148,0.1667114496231079,0.1348973661661148,-0.8315979242324829,-0.7584311366081238,-0.2514462172985077,-0.1909824162721634,-26.494740168253582,8.798289340670184
hierarchical_actor_joint_reward_aligned_credit,current_step_size,1.0,0,0,1,before_actor,minibatch,1.4803038835525513,0.07655054330825806,0.0,0.0,0.0,0.0,0.0,0.0,-17.173233032226562,15.84987735748291,-0.37511780858039856,1.2698376178741455,-29.795135498046875,11.172398567199707,-16.688173294067383,21.104228973388672,0.06454417109489441,-0.08577713370323181,0.064544178545475,-0.08577713370323181,-0.7978430986404419,-0.7353373169898987,-0.45895302295684814,-0.1770527958869934,-26.494740168253582,8.798289340670184
hierarchical_actor_joint_reward_aligned_credit,current_step_size,1.0,0,0,1,after_actor_before_critic,minibatch,1.4803038835525513,0.07655054330825806,0.0,0.0,0.0,0.0,0.0,0.0,-17.173233032226562,15.84987735748291,-0.37511780858039856,1.2698376178741455,-29.795135498046875,11.172398567199707,-16.688173294067383,21.104228973388672,0.06454417109489441,-0.08577713370323181,0.064544178545475,-0.08577713370323181,-0.7978430986404419,-0.7353373169898987,-0.45895302295684814,-0.1770527958869934,-26.494740168253582,8.798289340670184
hierarchical_actor_joint_reward_aligned_credit,current_step_size,1.0,0,0,1,before_critic,minibatch,1.4803038835525513,0.07655054330825806,0.0,0.0,0.0,0.0,0.0,0.0,-17.173233032226562,15.84987735748291,-0.37511780858039856,1.2698376178741455,-29.795135498046875,11.172398567199707,-16.688173294067383,21.104228973388672,0.06454417109489441,-0.08577713370323181,0.064544178545475,-0.08577713370323181,-0.7978430986404419,-0.7353373169898987,-0.45895302295684814,-0.1770527958869934,-26.494740168253582,8.798289340670184
hierarchical_actor_joint_reward_aligned_credit,current_step_size,1.0,0,0,1,after_backward_before_step,minibatch,1.4803038835525513,0.07655054330825806,4.256442853234942,0.0,0.0,0.0,0.0,0.0,-17.173233032226562,15.84987735748291,-0.37511780858039856,1.2698376178741455,-29.795135498046875,11.172398567199707,-16.688173294067383,21.104228973388672,0.06454417109489441,-0.08577713370323181,0.064544178545475,-0.08577713370323181,-0.7978430986404419,-0.7353373169898987,-0.45895302295684814,-0.1770527958869934,-26.494740168253582,8.798289340670184
hierarchical_actor_joint_reward_aligned_credit,current_step_size,1.0,0,0,1,after_optimizer_step,minibatch,1.4803038835525513,0.07655054330825806,4.256442853234942,0.0,0.06111740942526306,0.06044231829586563,0.004518010566262685,0.0,-19.43824577331543,14.005231857299805,-0.37511780858039856,1.2698376178741455,-29.795135498046875,11.172398567199707,-16.688173294067383,21.104228973388672,0.09502026438713074,-0.019428154453635216,0.09502026438713074,-0.019428154453635216,-0.7100803256034851,-0.674120306968689,-0.5525780916213989,-0.2807918190956116,-26.494740168253582,8.798289340670184
