pair,pearson,spearman
selected_reward_vs_advantage,0.2613668218465624,0.3413101325171156
selected_reward_vs_return,0.34755090259720073,0.34207637587631085
selected_value_vs_advantage,-0.1765484850363029,-0.36608112930579334
selected_value_vs_return,-0.3093857525406735,-0.3786972306560874
selected_td_vs_advantage,-0.1707255544737499,-0.33635217597838596
selected_td_vs_return,-0.3019128863974296,-0.36332152885714686
best_reward_vs_advantage,0.2505520271870629,0.32212538982891875
best_reward_vs_return,0.33927795761722335,0.3225959959865347
best_value_vs_advantage,-0.205131540574019,-0.3485250791364878
best_value_vs_return,-0.30050653180788794,-0.3589223515668532
best_td_vs_advantage,-0.2003027924345442,-0.3219745545219906
best_td_vs_return,-0.2940080044491736,-0.34306434713669054
