epoch,theta_advantage_mean,theta_advantage_std,theta_advantage_max,theta_advantage_min,route_advantage_mean,route_advantage_std,route_advantage_max,route_advantage_min,theta_adv_norm_mean,theta_adv_norm_std,route_adv_norm_mean,route_adv_norm_std,route_adv_norm_active_count,route_adv_norm_used_fallback,theta_advantage_alignment,route_advantage_alignment,theta_selected_action_prob_gain,route_selected_action_prob_gain,theta_negative_adv_prob_gain,route_negative_adv_prob_gain,theta_clip_fraction,route_clip_fraction,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_ratio_mean,route_ratio_std,route_ratio_max,theta_approx_kl,route_approx_kl,theta_loss_mean,route_loss_mean,theta_route_loss_ratio,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,theta_update_count,route_update_count,theta_only_step_kl,route_only_step_kl,theta_only_step_prob_gain,route_only_step_prob_gain,theta_after_route_shift,route_after_theta_shift,theta_route_feature_correlation,theta_route_head_correlation,offload_rate_mean,bs1_vs_bs2_entropy,offload_vs_local_value_gap_mean,offload_vs_local_value_gap_std,bs1_vs_bs2_value_gap_mean,bs1_vs_bs2_value_gap_std
0,-0.004026028327643871,0.3250690698623657,1.358491063117981,-1.4784793853759766,0.002925727516412735,0.35408124327659607,1.3555880784988403,-1.4028644561767578,2.086162576020456e-09,1.0,-3.1975668779438138e-09,1.0,1193.0,0.0,0.29054421186447144,0.33107343316078186,-0.00282291485927999,-0.0003479408333078027,-0.032990507781505585,-0.04037095233798027,0.09791667014360428,0.14249789714813232,0.997177004814148,0.12305674701929092,2.3021504878997803,0.999652087688446,0.14335311949253082,1.8975831270217896,0.010303272865712643,0.010722961276769638,-0.02611352503299713,-0.035692647099494934,1.3668255805969238,0.16354088850158113,0.416512866398765,0.2764153880359733,0.2792286203455566,0.03,0.015,0,10,16,16,7.511495959988679e-05,0.001189655224152375,0.0011326231233397266,0.00017709027451928705,0.0,0.0012487692438298836,-0.005283162463456392,-0.03765852376818657,0.49801138043403625,0.6618263721466064,0.05229305848479271,0.5486437678337097,-0.10994871705770493,0.6063331961631775
1,-0.005198400001972914,0.2489193081855774,1.8675222396850586,-1.865058183670044,0.0024692988954484463,0.26590561866760254,2.1831603050231934,-1.720810890197754,-3.9736430812453705e-10,0.9999999403953552,-5.503479005852796e-09,0.9999999403953552,1213.0,0.0,0.3304494321346283,0.37557560205459595,0.007814017124474049,0.02158757485449314,-0.08107896149158478,-0.1255321353673935,0.31708332896232605,0.4814509451389313,1.0078140497207642,0.29320284724235535,3.7559239864349365,1.0215877294540405,0.35526371002197266,4.557603359222412,0.02976188063621521,0.03119542822241783,-0.04604210704565048,-0.059448763728141785,1.2911821603775024,0.27928628892375595,0.46118436020231823,0.521807695910457,0.44098789323762444,0.03,0.015,5,7,19,22,0.0016703674869189087,0.0017783618413060058,-0.0008870416281034091,-0.000979037319087762,0.0,0.000810891062045764,-0.00883667916059494,-0.01706809736788273,0.49990975856781006,0.6594833135604858,0.07928520441055298,0.6423273682594299,-0.1274217963218689,0.7632097005844116
2,-0.004494708962738514,0.2498515397310257,1.8079111576080322,-1.6262035369873047,0.0008195798727683723,0.25533586740493774,2.080186367034912,-1.7917704582214355,3.278255444882916e-09,0.9999999403953552,-2.3941615356903867e-09,1.0,1195.0,0.0,0.35691457986831665,0.46187353134155273,0.003804250154644251,0.012760275974869728,-0.07158725708723068,-0.1318202018737793,0.2758333384990692,0.4142259359359741,1.0038042068481445,0.2584797441959381,4.091299057006836,1.0127602815628052,0.33434125781059265,4.559926986694336,0.026905154809355736,0.035519275814294815,-0.043269943445920944,-0.06631793826818466,1.5326555967330933,0.2876694112518283,0.5655859158910441,0.5267415852479104,0.5159133436211559,0.03,0.015,4,8,18,20,0.0017049688224991162,0.0017159737253678031,-0.0010671475965864374,-0.0009404239801369841,0.0,0.0007739972982866069,-0.011590532027184963,-0.031583674252033234,0.49860894680023193,0.6585171222686768,0.03178158029913902,0.6774295568466187,-0.03450651094317436,0.7665448784828186
3,-0.005355650559067726,0.26400819420814514,1.8048900365829468,-1.3792885541915894,0.0003821899590548128,0.27595871686935425,1.632636547088623,-1.8859562873840332,7.748603536583687e-09,1.0,4.8698263199753455e-09,0.9999999403953552,1175.0,0.0,0.39094412326812744,0.4742511808872223,0.0058801444247365,0.010958637110888958,-0.07444115728139877,-0.12043190747499466,0.26875001192092896,0.4221276640892029,1.0058801174163818,0.26515910029411316,5.703158378601074,1.0109585523605347,0.3342921733856201,4.693232536315918,0.02402603067457676,0.037599481642246246,-0.04776708036661148,-0.06376009434461594,1.3348121643066406,0.2673883064193507,0.5682417909834033,0.46641003403621967,0.48783788421623536,0.03,0.015,2,10,19,19,0.0012737557500306714,0.001670887300861068,-0.000832561304330164,-0.0009365810952945857,0.0,0.0006912471481451863,-0.014810379594564438,-0.028190387412905693,0.4970618784427643,0.6585940718650818,0.004894505720585585,0.7235677242279053,-0.012967908754944801,0.764647364616394
4,-0.003380942391231656,0.23905034363269806,1.1145966053009033,-1.416266679763794,0.0006134624127298594,0.24781908094882965,1.5181856155395508,-1.4807705879211426,2.9802322831784522e-09,0.9999999403953552,-4.988705892827738e-09,1.0,1147.0,0.0,0.39932140707969666,0.4938395917415619,-0.00198441743850708,-0.0037526809610426426,-0.07603376358747482,-0.10838235914707184,0.24500000476837158,0.33914560079574585,0.9980155229568481,0.22342415153980255,3.1574840545654297,0.9962472319602966,0.26049309968948364,2.710608959197998,0.02636660635471344,0.03965340554714203,-0.04742027819156647,-0.06384680420160294,1.346402645111084,0.26194146434224275,0.5867843813022986,0.4624080129291297,0.509826573989535,0.03,0.015,0,10,14,14,0.0027308051586650045,0.003509333781299314,-0.002227938141134343,-0.0027050908871128093,0.0,0.0007416116173512169,0.007146121468394995,0.00017413453315384686,0.4956144094467163,0.6586897969245911,-0.05187214910984039,0.9435931444168091,-0.020627345889806747,1.0096840858459473
