epoch,policy_surrogate_mode,actor_structure_mode,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_ratio_mean,route_ratio_std,route_ratio_max,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,theta_only_step_kl,route_only_step_kl,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction
0,hierarchical_actor_factorized_trust_region_pg_coupled_stop,hierarchical_actor_separate_theta_route_backbones,0.997177004814148,0.12305674701929092,2.3021504878997803,0.999652087688446,0.14335311949253082,1.8975831270217896,0.010303272865712643,0.010722961276769638,0.09791667014360428,0.14249789714813232,7.511495959988679e-05,0.001189655224152375,0.03,0.015,0,10,16,16,0.4970833361148834,0.4970833361148834
1,hierarchical_actor_factorized_trust_region_pg_coupled_stop,hierarchical_actor_separate_theta_route_backbones,1.0078140497207642,0.29320284724235535,3.7559239864349365,1.0215877294540405,0.35526371002197266,4.557603359222412,0.02976188063621521,0.03119542822241783,0.31708332896232605,0.4814509451389313,0.0016703674869189087,0.0017783618413060058,0.03,0.015,5,7,19,22,0.5054166913032532,0.5054166913032532
2,hierarchical_actor_factorized_trust_region_pg_coupled_stop,hierarchical_actor_separate_theta_route_backbones,1.0038042068481445,0.2584797441959381,4.091299057006836,1.0127602815628052,0.33434125781059265,4.559926986694336,0.026905154809355736,0.035519275814294815,0.2758333384990692,0.4142259359359741,0.0017049688224991162,0.0017159737253678031,0.03,0.015,4,8,18,20,0.49791666865348816,0.49791666865348816
3,hierarchical_actor_factorized_trust_region_pg_coupled_stop,hierarchical_actor_separate_theta_route_backbones,1.0058801174163818,0.26515910029411316,5.703158378601074,1.0109585523605347,0.3342921733856201,4.693232536315918,0.02402603067457676,0.037599481642246246,0.26875001192092896,0.4221276640892029,0.0012737557500306714,0.001670887300861068,0.03,0.015,2,10,19,19,0.4895833432674408,0.4895833432674408
4,hierarchical_actor_factorized_trust_region_pg_coupled_stop,hierarchical_actor_separate_theta_route_backbones,0.9980155229568481,0.22342415153980255,3.1574840545654297,0.9962472319602966,0.26049309968948364,2.710608959197998,0.02636660635471344,0.03965340554714203,0.24500000476837158,0.33914560079574585,0.0027308051586650045,0.003509333781299314,0.03,0.015,0,10,14,14,0.4779166579246521,0.4779166579246521
