seed,epochs_completed,stopped_early,best_reward,final_reward,best_epoch,reward_gap,final_critic_loss,avg_theta_last10_mean
2025,10,True,-393.09730376396254,-406.6283009627033,6,-13.53099719874075,2588.3405181884764,0.4927755204900258
2026,9,True,-401.69672451414914,-407.37129727593185,5,-5.674572761782713,2647.8817443847656,0.4875318034068261
2027,8,True,-397.3769579714781,-408.0357030609622,4,-10.658745089484114,2698.367251586914,0.5008744340842072
2028,7,True,-403.0182506473269,-412.5455179853354,3,-9.527267338008471,2854.2125762939454,0.4957893572040795
2029,6,True,-402.38657507862865,-409.68598367207244,2,-7.299408593443786,2821.073544311524,0.48976424417065695
