group_name,update_direction,target_update_norm,step_type,set_type,critic_loss,value_pred_mean,value_pred_std,value_target_mean,value_target_std,return_mean,return_std,advantage_mean,advantage_std,pearson_value_vs_value_target,spearman_value_vs_value_target,pearson_value_vs_return,spearman_value_vs_return,pearson_value_vs_advantage,spearman_value_vs_advantage,pearson_value_vs_one_step_reward,spearman_value_vs_one_step_reward,grad_norm,critic_param_delta_norm,critic_backbone_delta_norm,critic_head_delta_norm,update_over_grad_ratio,scale_factor,cosine_update_vs_current_grad,cosine_update_vs_global_grad
no_op,no_op,0.0,before_update,held_out_batch,0.46690577268600464,-26.267045974731445,8.731260299682617,-0.5504244565963745,1.0681970119476318,-31.192440032958984,9.199749946594238,-17.85287857055664,18.989484786987305,0.6415639519691467,0.08869046717882156,0.641563892364502,0.08869046717882156,0.29333165287971497,-0.04001831263303757,-0.1399911344051361,-0.5038918852806091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_op,no_op,0.0,after_update,held_out_batch,0.46690577268600464,-26.267045974731445,8.731260299682617,-0.5504244565963745,1.0681970119476318,-31.192440032958984,9.199749946594238,-17.85287857055664,18.989484786987305,0.6415639519691467,0.08869046717882156,0.641563892364502,0.08869046717882156,0.29333165287971497,-0.04001831263303757,-0.1399911344051361,-0.5038918852806091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_grad_norm_1e-05,current_grad,1e-05,before_update,held_out_batch,0.46690577268600464,-26.267045974731445,8.731260299682617,-0.5504244565963745,1.0681970119476318,-31.192440032958984,9.199749946594238,-17.85287857055664,18.989484786987305,0.6415639519691467,0.08869046717882156,0.641563892364502,0.08869046717882156,0.29333165287971497,-0.04001831263303757,-0.1399911344051361,-0.5038918852806091,2.131699207039702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_grad_norm_1e-05,current_grad,1e-05,after_update,held_out_batch,0.46688130497932434,-26.267547607421875,8.731295585632324,-0.5504244565963745,1.0681970119476318,-31.192440032958984,9.199749946594238,-17.85287857055664,18.989484786987305,0.6415653228759766,0.08869046717882156,0.6415652632713318,0.08869046717882156,0.2933332324028015,-0.04001831263303757,-0.13999022543430328,-0.5038918852806091,2.1316978931427,1.0005725861323004e-05,7.254746148176018e-06,6.890806073129124e-06,4.693782310105797e-06,4.691096253445788e-06,1.0,0.8179006510940898
current_grad_norm_2e-05,current_grad,2e-05,before_update,held_out_batch,0.46690577268600464,-26.267045974731445,8.731260299682617,-0.5504244565963745,1.0681970119476318,-31.192440032958984,9.199749946594238,-17.85287857055664,18.989484786987305,0.6415639519691467,0.08869046717882156,0.641563892364502,0.08869046717882156,0.29333165287971497,-0.04001831263303757,-0.1399911344051361,-0.5038918852806091,2.131699207039702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_grad_norm_2e-05,current_grad,2e-05,after_update,held_out_batch,0.46685683727264404,-26.268049240112305,8.731329917907715,-0.5504244565963745,1.0681970119476318,-31.192440032958984,9.199749946594238,-17.85287857055664,18.989484786987305,0.6415666937828064,0.08869046717882156,0.6415666937828064,0.08869046717882156,0.29333481192588806,-0.04001831263303757,-0.13998927175998688,-0.5038918852806091,2.1316978931427,2.000434983366378e-05,1.4497665651470603e-05,1.3783747782289605e-05,9.384233055731903e-06,9.382192506891576e-06,1.0,0.8179006510940898
current_grad_norm_5e-05,current_grad,5e-05,before_update,held_out_batch,0.46690577268600464,-26.267045974731445,8.731260299682617,-0.5504244565963745,1.0681970119476318,-31.192440032958984,9.199749946594238,-17.85287857055664,18.989484786987305,0.6415639519691467,0.08869046717882156,0.641563892364502,0.08869046717882156,0.29333165287971497,-0.04001831263303757,-0.1399911344051361,-0.5038918852806091,2.131699207039702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_grad_norm_5e-05,current_grad,5e-05,after_update,held_out_batch,0.4667835235595703,-26.26955795288086,8.73143196105957,-0.5504244565963745,1.0681970119476318,-31.192440032958984,9.199749946594238,-17.85287857055664,18.989484786987305,0.6415708065032959,0.08869046717882156,0.6415709257125854,0.08869046717882156,0.29333943128585815,-0.04001831263303757,-0.1399865448474884,-0.5038918852806091,2.1316978931427,5.0010856697186014e-05,3.6245430602640285e-05,3.4458011376393474e-05,2.346057424837835e-05,2.345548126722894e-05,1.0,0.8179006510940898
current_grad_norm_1e-04,current_grad,0.0001,before_update,held_out_batch,0.46690577268600464,-26.267045974731445,8.731260299682617,-0.5504244565963745,1.0681970119476318,-31.192440032958984,9.199749946594238,-17.85287857055664,18.989484786987305,0.6415639519691467,0.08869046717882156,0.641563892364502,0.08869046717882156,0.29333165287971497,-0.04001831263303757,-0.1399911344051361,-0.5038918852806091,2.131699207039702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_grad_norm_1e-04,current_grad,0.0001,after_update,held_out_batch,0.4666614532470703,-26.27206802368164,8.731603622436523,-0.5504244565963745,1.0681970119476318,-31.192440032958984,9.199749946594238,-17.85287857055664,18.989484786987305,0.6415780186653137,0.08869046717882156,0.641577959060669,0.08869046717882156,0.29334717988967896,-0.04001831263303757,-0.13998191058635712,-0.5038918852806091,2.1316978931427,0.00010000226832875133,7.249536889656952e-05,6.888305422559225e-05,4.6912026629308575e-05,4.691096253445788e-05,1.0,0.8179006510940898
current_grad_norm_2e-04,current_grad,0.0002,before_update,held_out_batch,0.46690577268600464,-26.267045974731445,8.731260299682617,-0.5504244565963745,1.0681970119476318,-31.192440032958984,9.199749946594238,-17.85287857055664,18.989484786987305,0.6415639519691467,0.08869046717882156,0.641563892364502,0.08869046717882156,0.29333165287971497,-0.04001831263303757,-0.1399911344051361,-0.5038918852806091,2.131699207039702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_grad_norm_2e-04,current_grad,0.0002,after_update,held_out_batch,0.4664173424243927,-26.277095794677734,8.731941223144531,-0.5504244565963745,1.0681970119476318,-31.192440032958984,9.199749946594238,-17.85287857055664,18.989484786987305,0.6415920853614807,0.08869046717882156,0.6415920257568359,0.08869046717882156,0.2933627665042877,-0.04001831263303757,-0.1399727165699005,-0.5038918852806091,2.1316978931427,0.00020000269920007852,0.0001449826897542534,0.00013777191063108252,9.382319128965332e-05,9.382192506891576e-05,1.0,0.8179006510940898
current_grad_norm_5e-04,current_grad,0.0005,before_update,held_out_batch,0.46690577268600464,-26.267045974731445,8.731260299682617,-0.5504244565963745,1.0681970119476318,-31.192440032958984,9.199749946594238,-17.85287857055664,18.989484786987305,0.6415639519691467,0.08869046717882156,0.641563892364502,0.08869046717882156,0.29333165287971497,-0.04001831263303757,-0.1399911344051361,-0.5038918852806091,2.131699207039702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_grad_norm_5e-04,current_grad,0.0005,after_update,held_out_batch,0.4656861424446106,-26.29216766357422,8.732954978942871,-0.5504244565963745,1.0681970119476318,-31.192440032958984,9.199749946594238,-17.85287857055664,18.989484786987305,0.6416343450546265,0.08869046717882156,0.6416343450546265,0.08869046717882156,0.2934093177318573,-0.04001831263303757,-0.13994520902633667,-0.5038918852806091,2.1316978931427,0.0005000012548837601,0.00036245488624623776,0.00034442373658266005,0.00023455540135033993,0.0002345548126722894,1.0,0.8179006510940898
