epoch,reward_mode,value_target_mode,num_sensors,episode_reward,episode_delay,episode_energy,avg_raw_total_backlog,avg_normalized_total_backlog,avg_normalized_avg_queue_len,episode_reward_delay_term,episode_reward_energy_term,episode_reward_backlog_term,avg_theta,num_steps,actor_loss,critic_loss,entropy,raw_return_mean,raw_return_std,value_target_mean,value_target_std
0,per_sensor,raw_return,8,-158.01718021777742,1145.3611627036107,189.53718292909718,9618962293.719048,4.235352520821005,0.06831213743259683,143.17014533795134,1.1846073933068577,13.662427486519366,0.4993145959047142,100,-0.11066824526060373,372.46275482177737,30.150162982940675,-22.157121658325195,6.349564075469971,-22.157121658325195,6.349564075469971
1,per_sensor,raw_return,8,-149.03219423135351,1075.686830910353,181.13501109816846,9137270115.544636,4.166166429940698,0.06719623274097897,134.4608538637941,1.1320938193635526,13.439246548195793,0.5023296206479968,100,-0.12539262976497412,363.4336868286133,30.16121311187744,-26.432998657226562,7.4175190925598145,-26.432998657226562,7.4175190925598145
2,per_sensor,raw_return,8,-163.01078569967103,1180.623356457755,189.39040005355517,9610089953.90852,4.417244604056261,0.0712458807105849,147.5779195572194,1.18369000033472,14.249176142116978,0.5073289646173774,100,-0.07046067193150521,413.2416358947754,30.225429344177247,-30.173118591308594,8.268080711364746,-30.173118591308594,8.268080711364746
3,per_sensor,raw_return,8,-159.78562987191606,1156.053018873571,188.526753349236,9505497861.76312,4.3712201943289575,0.0705035515214348,144.5066273591964,1.1782922084327243,14.10071030428696,0.5078102564995347,100,-0.1568991409149021,363.7778923034668,30.2717565536499,-31.786611557006836,8.234695434570312,-31.786611557006836,8.234695434570312
4,per_sensor,raw_return,8,-159.43600294828374,1151.9567202185845,190.25169788976007,9583404082.076628,4.41822534083637,0.07126169904574796,143.99459002732306,1.1890731118110003,14.252339809149591,0.5058268815614949,100,-0.08427198212593794,342.8835079193115,30.34268798828125,-33.46818542480469,8.812112808227539,-33.46818542480469,8.812112808227539
