epoch,theta_advantage_mean,theta_advantage_std,theta_advantage_max,theta_advantage_min,route_advantage_mean,route_advantage_std,route_advantage_max,route_advantage_min,theta_adv_norm_mean,theta_adv_norm_std,route_adv_norm_mean,route_adv_norm_std,route_adv_norm_active_count,route_adv_norm_used_fallback,theta_advantage_alignment,route_advantage_alignment,theta_selected_action_prob_gain,route_selected_action_prob_gain,theta_negative_adv_prob_gain,route_negative_adv_prob_gain,theta_clip_fraction,route_clip_fraction,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_ratio_mean,route_ratio_std,route_ratio_max,theta_approx_kl,route_approx_kl,theta_loss_mean,route_loss_mean,theta_route_loss_ratio,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,theta_update_count,route_update_count,theta_only_step_kl,route_only_step_kl,theta_only_step_prob_gain,route_only_step_prob_gain,theta_after_route_shift,route_after_theta_shift,theta_route_feature_correlation,theta_route_head_correlation,offload_rate_mean,bs1_vs_bs2_entropy,offload_vs_local_value_gap_mean,offload_vs_local_value_gap_std,bs1_vs_bs2_value_gap_mean,bs1_vs_bs2_value_gap_std
0,-0.004026028327643871,0.3250690698623657,1.358491063117981,-1.4784793853759766,0.002925727516412735,0.35408124327659607,1.3555880784988403,-1.4028644561767578,2.086162576020456e-09,1.0,-3.1975668779438138e-09,1.0,1193.0,0.0,0.35665518045425415,0.10703955590724945,0.0011713304556906223,-0.004392463713884354,-0.042905982583761215,-0.022122126072645187,0.12958332896232605,0.28415757417678833,1.0011712312698364,0.1469404548406601,2.1565332412719727,0.9956074953079224,0.21169763803482056,2.22491192817688,0.009171959944069386,0.02584095485508442,-0.03715541213750839,-0.0027324624825268984,0.07354141771793365,0.21487771384006754,10.491641195272141,0.36574770250635663,6.732757726277528,0.03,0.015,1,1,1,36,2,-0.00018506104081299983,0.01369219133630395,0.0009018950571165382,-0.0054130281787365675,0.0,0.0009936299797522628,-0.06440020352602005,0.15453295409679413,0.49801138043403625,0.6618263721466064,0.05229305848479271,0.5486437678337097,-0.10994871705770493,0.6063331961631775
1,-0.005078846588730812,0.24711258709430695,1.8809620141983032,-1.8137428760528564,0.0025523488875478506,0.26727840304374695,2.3070528507232666,-1.667246699333191,4.371007111814151e-09,0.9999999403953552,3.9836020593320143e-10,1.0,1197.0,0.0,0.3713792860507965,0.39128994941711426,0.0056736101396381855,0.00810104701668024,-0.10056672245264053,-0.10547768324613571,0.33375000953674316,0.380952388048172,1.0056736469268799,0.32070407271385193,5.511399269104004,1.008100986480713,0.251890629529953,2.772341251373291,0.03680024296045303,0.021444709971547127,-0.05542568862438202,-0.06203172728419304,1.1191871166229248,0.26257681006947625,1.284950949276819,0.4728448706745361,1.204064860236287,0.03,0.015,9,2,0,23,16,0.0018041422717151759,0.003070899023441598,-0.000905664254560179,-0.0014274529937665648,0.0,0.0008318515863957937,-0.00923432968556881,-0.012015328742563725,0.4998818039894104,0.6597760915756226,0.07388652861118317,0.6429855823516846,-0.13105139136314392,0.7698579430580139
2,-0.00499983225017786,0.2555748224258423,1.8078283071517944,-1.6385767459869385,0.0007822307525202632,0.2620909810066223,2.0476579666137695,-1.816431999206543,6.556510889765832e-09,0.9999999403953552,2.0018353641404474e-09,1.0,1191.0,0.0,0.3456079661846161,0.45922553539276123,0.0020154775120317936,0.007124577183276415,-0.07540454715490341,-0.11287018656730652,0.27541667222976685,0.3870697021484375,1.002015471458435,0.262561172246933,4.099409580230713,1.0071245431900024,0.2840855121612549,3.5549168586730957,0.028917698189616203,0.02995884418487549,-0.0425008088350296,-0.057588670402765274,1.355001449584961,0.2911658944868125,1.256912882414686,0.527434060969001,1.1770080735473873,0.03,0.015,7,4,1,17,16,0.0017919249127290266,0.001610515991160355,-0.0009760916873347014,-0.0002788996662275167,0.0,0.0008682770455968292,-0.013882254250347614,-0.006971444468945265,0.4984325170516968,0.6591781973838806,0.026443148031830788,0.682373583316803,-0.03372587263584137,0.7791733145713806
3,-0.0054300930351018906,0.2477417141199112,1.8274943828582764,-1.1618216037750244,-6.342164851957932e-05,0.26836588978767395,2.0541515350341797,-1.7715427875518799,3.1789144649962964e-09,0.9999999403953552,5.647817324927473e-09,1.0,1182.0,0.0,0.3615914583206177,0.4889289438724518,0.005428851582109928,0.0070740291848778725,-0.08055149763822556,-0.11356207728385925,0.30541667342185974,0.3781725764274597,1.0054287910461426,0.2936878502368927,4.273036956787109,1.0070741176605225,0.28087541460990906,4.152096748352051,0.030856898054480553,0.02864876389503479,-0.05023981258273125,-0.07240627706050873,1.441212773323059,0.2805557907218923,1.4238376185852324,0.4942104596436833,1.274678156566969,0.03,0.015,5,4,2,25,17,0.0008238113520201295,0.003115372613298378,-0.00018867030157707632,-0.0015668528041501036,0.0,0.0007374497386626899,-0.023195605725049973,0.055430714040994644,0.4973149001598358,0.659404456615448,0.0034863639157265425,0.7565690875053406,0.006172501016408205,0.7698933482170105
4,-0.0038659831043332815,0.2475343942642212,1.7802505493164062,-2.0416035652160645,0.00038542886613868177,0.2534262239933014,1.3005634546279907,-1.5238518714904785,-1.9868215406226852e-10,0.9999999403953552,-1.6513841405441099e-09,1.0,1155.0,0.0,0.41078656911849976,0.5290548801422119,-0.0025411443784832954,-0.0019201732939109206,-0.0960216298699379,-0.11616706848144531,0.320416659116745,0.32640692591667175,0.997458815574646,0.25683721899986267,4.1175217628479,0.9980798363685608,0.22732363641262054,2.891731023788452,0.03510848432779312,0.02808741107583046,-0.05592582747340202,-0.07400914281606674,1.323344349861145,0.2438201468455661,1.7829779865204383,0.4221902763489103,1.6409788201413928,0.03,0.015,7,2,0,22,13,0.0019371453712334517,0.002783923606889752,-0.001404804406016586,-0.0013117462893625577,0.0,0.0007200066426197405,0.00015980062016751617,0.04593450576066971,0.49582865834236145,0.6596270203590393,-0.04031437635421753,0.9930785894393921,-0.010966879315674305,1.026647925376892
