block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,theta_advantage_mean,theta_advantage_std,theta_advantage_norm_mean,theta_advantage_norm_std,theta_advantage_max,theta_advantage_min,route_advantage_mean,route_advantage_std,route_advantage_norm_mean,route_advantage_norm_std,route_advantage_max,route_advantage_min,route_gate_mean,route_gate_std,route_gate_min,route_gate_max,route_gate_active_fraction,route_mask_mean,route_mask_active_fraction,theta_selected_action_prob_gain_mean,theta_selected_action_prob_gain_std,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_selected_action_prob_gain_mean,route_selected_action_prob_gain_std,route_ratio_mean,route_ratio_std,route_ratio_max,theta_clip_fraction,route_clip_fraction,offload_vs_local_value_gap_mean,offload_vs_local_value_gap_std,bs1_vs_bs2_value_gap_mean,bs1_vs_bs2_value_gap_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,-0.008819328621029854,0.3104066252708435,-0.014745490625500679,0.9548944234848022,0.742669939994812,-0.9636375904083252,0.002071801107376814,0.28435176610946655,0.01080024242401123,0.7410135269165039,0.7575007677078247,-0.7209599018096924,0.5221013426780701,0.08343633264303207,0.33707255125045776,0.7425917983055115,0.6100000143051147,0.6100000143051147,0.6100000143051147,0.00350796221755445,0.12161168456077576,1.0035079717636108,0.12161168456077576,1.4603321552276611,-0.014053752645850182,0.15200302004814148,0.968058168888092,0.15359742939472198,1.2924683094024658,0.12999999523162842,0.1899999976158142,0.056157369166612625,0.2450491189956665,-0.0999113917350769,0.23440930247306824,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,-0.01821715384721756,0.41618022322654724,-0.043655723333358765,1.2802823781967163,1.358491063117981,-1.4784793853759766,-0.014783747494220734,0.34188780188560486,-0.03152134642004967,1.1002393960952759,0.9737217426300049,-0.9503797292709351,0.4848388731479645,0.08927711099386215,0.26443347334861755,0.7477823495864868,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.020738599821925163,0.138449564576149,1.0207384824752808,0.138449564576149,1.78150475025177,0.011382433585822582,0.3168793320655823,1.0458495616912842,0.31605032086372375,1.779175043106079,0.12999999523162842,0.5,0.6778046488761902,0.33083680272102356,0.7507953643798828,0.28506913781166077,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,-0.0029843426309525967,0.2616189420223236,0.003204517299309373,0.8048103451728821,0.6161150932312012,-0.6755871772766113,0.005413117818534374,0.3409266769886017,-0.10070032626390457,0.8862869739532471,0.8856191635131836,-0.8920829892158508,0.5138542056083679,0.08957148343324661,0.22991807758808136,0.7304589748382568,0.5799999833106995,0.5799999833106995,0.5799999833106995,0.00926845520734787,0.17086537182331085,1.0092685222625732,0.17086537182331085,1.8849900960922241,0.001808103290386498,0.27544453740119934,1.005006194114685,0.2997293770313263,2.22491192817688,0.11999999731779099,0.4000000059604645,0.06968897581100464,0.20934262871742249,-0.2758183777332306,0.2545262277126312,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,-0.004469208884984255,0.32989442348480225,-0.0013633441412821412,1.0148441791534424,0.8369678258895874,-0.8580043911933899,0.013043157756328583,0.3852251470088959,0.20954900979995728,1.1048814058303833,1.0709576606750488,-0.9638335704803467,0.5082816481590271,0.09639731049537659,0.28657230734825134,0.7034381031990051,0.47999998927116394,0.47999998927116394,0.47999998927116394,-0.005906015634536743,0.17483878135681152,0.9940939545631409,0.17483878135681152,1.6086344718933105,-0.01810784637928009,0.35517215728759766,1.006213665008545,0.3634067475795746,2.1972272396087646,0.1899999976158142,0.5899999737739563,0.24751998484134674,0.2708321809768677,-0.7699492573738098,0.2971663475036621,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,0.008425980806350708,0.37151700258255005,0.03830574452877045,1.1428864002227783,0.9295574426651001,-1.2247296571731567,-0.00964717660099268,0.40388256311416626,-0.09364030510187149,1.2671834230422974,1.3555880784988403,-1.4028644561767578,0.4882330298423767,0.08957263082265854,0.2642447352409363,0.6931856870651245,0.46000000834465027,0.46000000834465027,0.46000000834465027,0.019490091130137444,0.1937243938446045,1.0194900035858154,0.1937243938446045,2.1565332412719727,-0.0076485443860292435,0.18221044540405273,0.9708698391914368,0.1761254519224167,1.6585783958435059,0.12999999523162842,0.27000001072883606,-0.6792899966239929,0.232280895113945,0.4509843587875366,0.2851591408252716,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,2.8551816285471432e-05,0.2479100227355957,0.0124729685485363,0.7626379728317261,0.4908570647239685,-0.7229191064834595,-0.007877921685576439,0.4357794523239136,-0.02686404623091221,1.3695529699325562,0.9928939938545227,-1.209984540939331,0.5057384371757507,0.08905000239610672,0.2969743311405182,0.7257776856422424,0.5,0.5,0.5,0.007555906195193529,0.1148301437497139,1.0075558423995972,0.1148301437497139,1.454624056816101,0.048702411353588104,0.31742289662361145,1.063348650932312,0.3673744797706604,2.1117730140686035,0.07000000029802322,0.5400000214576721,0.16928040981292725,0.22788706421852112,0.4650440514087677,0.33903631567955017,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,0.007472259923815727,0.34257635474205017,0.03537183254957199,1.0538570880889893,1.0554423332214355,-0.9027107357978821,0.02014368586242199,0.3815004527568817,0.22536805272102356,0.9989449381828308,0.8753138184547424,-0.8769745230674744,0.47231364250183105,0.08395185321569443,0.2651486098766327,0.6751421093940735,0.36000001430511475,0.36000001430511475,0.36000001430511475,-0.0016863048076629639,0.17600804567337036,0.9983136653900146,0.17600804567337036,1.923551321029663,-0.005861694924533367,0.17538097500801086,1.057827353477478,0.19780971109867096,1.4712735414505005,0.17000000178813934,0.23000000417232513,-0.2832803726196289,0.2769732177257538,-0.9363605380058289,0.3705100417137146,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,-0.01304539479315281,0.38415980339050293,-0.027745990082621574,1.1817790269851685,1.185753345489502,-0.7900968194007874,-0.005326980259269476,0.36278969049453735,0.05651421099901199,1.0153224468231201,1.0321928262710571,-0.9132288098335266,0.5208706855773926,0.08321810513734818,0.32791709899902344,0.6702137589454651,0.6399999856948853,0.6399999856948853,0.6399999856948853,-0.04099922254681587,0.13500449061393738,0.9590007662773132,0.13500449061393738,1.2800626754760742,0.007918983697891235,0.09939675778150558,1.0072438716888428,0.1041262075304985,1.26914381980896,0.18000000715255737,0.05000000074505806,0.5585344433784485,0.3386451303958893,0.2808636724948883,0.2802937924861908,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,0.02481434866786003,0.36243459582328796,0.08872076869010925,1.1149463653564453,0.896340548992157,-0.8824014067649841,-0.013264809735119343,0.3434123694896698,0.006774723529815674,1.0191508531570435,0.6537659168243408,-1.004381537437439,0.5048123002052307,0.08622372150421143,0.2724779546260834,0.6808863878250122,0.5400000214576721,0.5400000214576721,0.5400000214576721,-0.004905620124191046,0.11461274325847626,0.995094358921051,0.11461274325847626,1.416015863418579,-8.376241021323949e-05,0.13816088438034058,1.0163440704345703,0.14558032155036926,1.479122519493103,0.09000000357627869,0.1599999964237213,-1.428029179573059,0.2857098877429962,0.5570661425590515,0.301681250333786,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,0.0010003065690398216,0.34640076756477356,0.015462363138794899,1.065622091293335,1.0086251497268677,-0.987027645111084,-0.0026793419383466244,0.34498006105422974,-0.014613109640777111,0.9889135360717773,0.8906187415122986,-1.2097337245941162,0.5049477219581604,0.09651096165180206,0.30854126811027527,0.7117556929588318,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.00767634529620409,0.14657500386238098,1.007676362991333,0.14657500386238098,1.5696051120758057,-0.006144062150269747,0.08160936087369919,0.9970349073410034,0.08076762408018112,1.2054202556610107,0.1599999964237213,0.009999999776482582,-0.25269877910614014,0.26496344804763794,0.45021307468414307,0.29327261447906494,0
