epoch,policy_surrogate_mode,actor_structure_mode,theta_backbone_grad_norm,route_backbone_grad_norm,theta_route_feature_correlation,theta_head_grad_norm,route_head_grad_norm,theta_route_head_correlation,route_mask_mean,route_mask_active_fraction,offload_rate_mean
0,hierarchical_actor_branchwise_balanced_pg,hierarchical_actor_separate_theta_route_backbones,0.17025863064098445,0.1785559613258556,-0.02514391578733921,0.0983512409959082,0.26030665229772304,0.08923398703336716,0.4970833361148834,0.4970833361148834,0.49801138043403625
1,hierarchical_actor_branchwise_balanced_pg,hierarchical_actor_separate_theta_route_backbones,0.23262484735597674,0.21716233000718238,-0.019412074238061905,0.13721193976062496,0.24250039791420658,-0.03214301913976669,0.49125000834465027,0.49125000834465027,0.4998740553855896
2,hierarchical_actor_branchwise_balanced_pg,hierarchical_actor_separate_theta_route_backbones,0.23646324259952958,0.2297661376472364,-0.006204390898346901,0.1429412420217648,0.26125767040879,-0.06040378287434578,0.49291667342185974,0.49291667342185974,0.49707987904548645
3,hierarchical_actor_branchwise_balanced_pg,hierarchical_actor_separate_theta_route_backbones,0.23754593358007092,0.21580734499130036,-0.018570387735962868,0.14630310152902193,0.25908348934980785,-0.008265480399131775,0.47874999046325684,0.47874999046325684,0.49449288845062256
4,hierarchical_actor_branchwise_balanced_pg,hierarchical_actor_separate_theta_route_backbones,0.23006268935888943,0.23411666738549092,-0.0044593955390155315,0.1470740493375743,0.2857912871466613,-0.005282703787088394,0.4704166650772095,0.4704166650772095,0.4917181432247162
