epoch,theta_advantage_mean,theta_advantage_std,theta_advantage_max,theta_advantage_min,route_advantage_mean,route_advantage_std,route_advantage_max,route_advantage_min,theta_adv_norm_mean,theta_adv_norm_std,route_adv_norm_mean,route_adv_norm_std,route_adv_norm_active_count,route_adv_norm_used_fallback,theta_advantage_alignment,route_advantage_alignment,theta_selected_action_prob_gain,route_selected_action_prob_gain,theta_negative_adv_prob_gain,route_negative_adv_prob_gain,theta_clip_fraction,route_clip_fraction,theta_loss_mean,route_loss_mean,theta_route_loss_ratio,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm,theta_route_feature_correlation,theta_route_head_correlation,offload_rate_mean,bs1_vs_bs2_entropy,offload_vs_local_value_gap_mean,offload_vs_local_value_gap_std,bs1_vs_bs2_value_gap_mean,bs1_vs_bs2_value_gap_std
0,-0.004026027861982584,0.3250691592693329,1.3584926128387451,-1.4784787893295288,0.0029257272835820913,0.35408130288124084,1.3555891513824463,-1.4028661251068115,4.0729841721542925e-09,1.0,1.6787225831649266e-08,1.0,1193.0,0.0,0.36990076303482056,0.23189705610275269,-0.0012411288917064667,0.0011406063567847013,-0.0596846342086792,-0.040657661855220795,0.1875,0.25999999046325684,-0.042969342321157455,-0.05743497237563133,1.3366496562957764,0.0983512409959082,0.26030665229772304,0.17025863064098445,0.1785559613258556,-0.02514391578733921,0.08923398703336716,0.49801138043403625,0.6618263721466064,0.05229302868247032,0.5486438274383545,-0.10994875431060791,0.6063331961631775
1,-0.0049388171173632145,0.24789340794086456,1.8549909591674805,-1.8389674425125122,0.0023182001896202564,0.26527032256126404,2.1524152755737305,-1.7319707870483398,-5.9604645663569045e-09,0.9999999403953552,-3.2355362833413892e-09,1.0,1179.0,0.0,0.3815620243549347,0.22764015197753906,0.008152657188475132,0.008922354318201542,-0.17094740271568298,-0.10716371983289719,0.47583332657814026,0.565833330154419,-0.0647912546992302,-0.07052338123321533,1.0884705781936646,0.13721193976062496,0.24250039791420658,0.23262484735597674,0.21716233000718238,-0.019412074238061905,-0.03214301913976669,0.4998740553855896,0.6581776142120361,0.07849448174238205,0.6433374285697937,-0.1215360164642334,0.7542586326599121
2,-0.005019959527999163,0.25767919421195984,1.7832880020141602,-1.686326026916504,6.643046799581498e-05,0.26933765411376953,1.8124573230743408,-1.6431738138198853,3.9736430812453705e-10,1.0,-8.867639067489108e-09,1.0,1183.0,0.0,0.43867090344429016,0.26720497012138367,0.00240882346406579,0.007877037860453129,-0.16877710819244385,-0.10394775122404099,0.445416659116745,0.5070833563804626,-0.0638044998049736,-0.07455004751682281,1.168413519859314,0.1429412420217648,0.26125767040879,0.23646324259952958,0.2297661376472364,-0.006204390898346901,-0.06040378287434578,0.49707987904548645,0.6555970311164856,0.02303372323513031,0.704111635684967,0.0011604765895754099,0.7683327198028564
3,-0.00363053847104311,0.2439582794904709,1.7004796266555786,-1.2714365720748901,-0.0018702377565205097,0.26578450202941895,1.8608548641204834,-1.7558653354644775,1.5894572324981482e-09,0.9999999403953552,7.885035735455403e-09,0.9999999403953552,1149.0,0.0,0.38834333419799805,0.26826366782188416,-0.0038100306410342455,0.019937308505177498,-0.14577805995941162,-0.10566286742687225,0.42750000953674316,0.5375000238418579,-0.06443596631288528,-0.08387312293052673,1.3016506433486938,0.14630310152902193,0.25908348934980785,0.23754593358007092,0.21580734499130036,-0.018570387735962868,-0.008265480399131775,0.49449288845062256,0.6550959944725037,-0.058033283799886703,0.8564367294311523,0.08610908687114716,0.7814249396324158
4,-0.0024624927900731564,0.23913750052452087,1.0266046524047852,-1.7033135890960693,-0.002597721293568611,0.24864980578422546,1.4385219812393188,-1.3865783214569092,1.1126200405442432e-08,0.9999999403953552,3.801182035800821e-09,1.0,1129.0,0.0,0.45216378569602966,0.3319077789783478,-0.006964638829231262,0.005966768600046635,-0.16654819250106812,-0.1335257738828659,0.43541666865348816,0.5570833086967468,-0.07077448815107346,-0.09757523983716965,1.3786779642105103,0.1470740493375743,0.2857912871466613,0.23006268935888943,0.23411666738549092,-0.0044593955390155315,-0.005282703787088394,0.4917181432247162,0.6541662812232971,-0.08293727040290833,1.1208194494247437,0.12312156707048416,0.9933041930198669
