feature,actual_mean,actual_std,counterfactual_mean,counterfactual_std,mean_shift,std_shift
workload,0.47330236434936523,0.0742625743150711,0.4732890725135803,0.0742468312382698,-1.329183578491211e-05,-1.574307680130005e-05
access_queue,0.12545950710773468,0.022964997217059135,0.1266023963689804,0.02402571775019169,0.0011428892612457275,0.001060720533132553
virtual_queue,0.05719238147139549,0.007327057421207428,0.057573337107896805,0.007699110545217991,0.00038095563650131226,0.0003720531240105629
local_queue,0.0386531762778759,0.0068488954566419125,0.038220539689064026,0.007176870014518499,-0.0004326365888118744,0.0003279745578765869
bs_queue,0.18345992267131805,0.029114916920661926,0.18519048392772675,0.030954554677009583,0.0017305612564086914,0.0018396377563476562
