sample_id,block_id,sensor_id,task_id,candidate_action,candidate_action_index,r_candidate,v_candidate,return,advantage,best_action_under_reward,best_action_under_reward_index,best_action_under_value,best_action_under_value_index,reward_vs_value_best_match,reward_value_flip_type,selected_joint_action,selected_joint_action_index,selected_reward_score,selected_value_score,best_reward_score,best_value_score,actual_next_state_value,is_counterfactual_state,raw_state_distance_to_actual_next_state,critic_input_distance_to_actual_next_state
0,0,0,0,local,0,-1.0427926778793335,-24.834413528442383,-38.679298400878906,-11.811932563781738,local,0,bs2,2,0,reward:local->value:bs2,bs1,1,-1.106499433517456,-23.690513610839844,-1.0427926778793335,-22.979167938232422,-24.408390045166016,1,0.08498992770910263,2.94484543800354
0,0,0,0,bs1,1,-1.106499433517456,-23.690513610839844,-38.679298400878906,-11.811932563781738,local,0,bs2,2,0,reward:local->value:bs2,bs1,1,-1.106499433517456,-23.690513610839844,-1.0427926778793335,-22.979167938232422,-24.408390045166016,1,0.09264890849590302,2.924288272857666
0,0,0,0,bs2,2,-1.0987118482589722,-22.979167938232422,-38.679298400878906,-11.811932563781738,local,0,bs2,2,0,reward:local->value:bs2,bs1,1,-1.106499433517456,-23.690513610839844,-1.0427926778793335,-22.979167938232422,-24.408390045166016,1,0.09868449717760086,3.0826704502105713
0,1,0,1,local,0,-1.0909806489944458,-24.316661834716797,-38.679298400878906,-11.811932563781738,bs1,1,bs2,2,0,reward:bs1->value:bs2,bs1,1,-1.0672186613082886,-24.55495262145996,-1.0672186613082886,-23.89204216003418,-24.408390045166016,1,0.06368368864059448,1.8859663009643555
0,1,0,1,bs1,1,-1.0672186613082886,-24.55495262145996,-38.679298400878906,-11.811932563781738,bs1,1,bs2,2,0,reward:bs1->value:bs2,bs1,1,-1.0672186613082886,-24.55495262145996,-1.0672186613082886,-23.89204216003418,-24.408390045166016,1,0.081788569688797,2.1161468029022217
0,1,0,1,bs2,2,-1.068774938583374,-23.89204216003418,-38.679298400878906,-11.811932563781738,bs1,1,bs2,2,0,reward:bs1->value:bs2,bs1,1,-1.0672186613082886,-24.55495262145996,-1.0672186613082886,-23.89204216003418,-24.408390045166016,1,0.09800667315721512,2.4648940563201904
0,2,0,2,local,0,-1.0924084186553955,-26.038646697998047,-38.679298400878906,-11.811932563781738,local,0,bs2,2,0,reward:local->value:bs2,bs1,1,-1.1028752326965332,-21.941808700561523,-1.0924084186553955,-21.636157989501953,-24.408390045166016,1,0.25015708804130554,7.469489574432373
0,2,0,2,bs1,1,-1.1028752326965332,-21.941808700561523,-38.679298400878906,-11.811932563781738,local,0,bs2,2,0,reward:local->value:bs2,bs1,1,-1.1028752326965332,-21.941808700561523,-1.0924084186553955,-21.636157989501953,-24.408390045166016,1,0.1433916836977005,4.387238025665283
0,2,0,2,bs2,2,-1.1082627773284912,-21.636157989501953,-38.679298400878906,-11.811932563781738,local,0,bs2,2,0,reward:local->value:bs2,bs1,1,-1.1028752326965332,-21.941808700561523,-1.0924084186553955,-21.636157989501953,-24.408390045166016,1,0.15624520182609558,4.822933673858643
0,3,1,0,local,0,-1.1332123279571533,-25.26760482788086,-38.679298400878906,-11.811932563781738,local,0,bs2,2,0,reward:local->value:bs2,local,0,-1.1332123279571533,-25.26760482788086,-1.1332123279571533,-16.293434143066406,-24.408390045166016,1,0.16173143684864044,5.046027660369873
