epoch,advantage_mean,advantage_std,positive_advantage_ratio,negative_advantage_ratio,delta_log_prob_selected_action_mean,delta_log_prob_selected_action_std,selected_action_prob_gain_mean,advantage_action_alignment,high_advantage_action_prob_gain,mid_advantage_action_prob_gain,low_advantage_action_prob_gain,negative_advantage_action_prob_gain,advantage_bucket_high_positive_threshold,advantage_bucket_near_zero_threshold
0,-22.253490447998047,6.308380126953125,0.0,1.0,-0.14123372733592987,0.14760133624076843,-0.1219705119729042,0.8879090547561646,0.0,0.0,0.0,-0.1219705119729042,0.0,0.6308380126953126
1,-19.284271240234375,7.514942646026611,0.019999999552965164,0.9800000190734863,-0.24543054401874542,0.3094518184661865,-0.17850624024868011,0.8671015501022339,0.24237334728240967,0.336946964263916,0.2383195161819458,-0.19245631992816925,2.8519511222839355,0.7514942646026612
2,-16.75090789794922,12.681259155273438,0.10000000149011612,0.8999999761581421,-0.18829399347305298,0.2912990152835846,-0.13568776845932007,0.8741856217384338,0.2606758177280426,0.2811625599861145,0.19087600708007812,-0.18448911607265472,13.730167388916016,1.2681259155273439
3,-14.403382301330566,24.22119903564453,0.1899999976158142,0.8100000023841858,-0.06129743531346321,0.2878900468349457,-0.023264452815055847,0.9057487845420837,0.2513202428817749,0.2713301181793213,0.19741252064704895,-0.11224410682916641,19.35202980041504,2.4221199035644534
4,-10.885351181030273,16.07018280029297,0.18000000715255737,0.8199999928474426,-0.1736411154270172,0.30130648612976074,-0.12203651666641235,0.8980063796043396,0.306133508682251,0.24489179253578186,0.15499275922775269,-0.2153487503528595,17.267927169799805,1.607018280029297
