seed,run_dir,epochs_completed,stopped_early,best_reward,final_reward,best_epoch,reward_gap,final_critic_loss,avg_theta_last10_mean
2025,checkpoints\seed_robustness_20260315_120107\seed_2025_20260315_120107_561568,33,True,-393.09730376396254,-450.87445742187754,6,-57.777153657914994,2541.598928833008,0.5049122367607959
2026,checkpoints\seed_robustness_20260315_120107\seed_2026_20260315_120132_722353,33,True,-401.69672451414914,-438.81173768239177,5,-37.115013168242626,2618.499163818359,0.49243310536791024
2027,checkpoints\seed_robustness_20260315_120107\seed_2027_20260315_120157_419194,33,True,-396.30154304221884,-476.2571703496994,8,-79.95562730748054,3122.5042388916017,0.5150256515983507
2028,checkpoints\seed_robustness_20260315_120107\seed_2028_20260315_120220_827051,33,True,-403.0182506473269,-423.3397124369619,3,-20.32146178963501,2185.71155090332,0.5059234862680373
2029,checkpoints\seed_robustness_20260315_120107\seed_2029_20260315_120243_847525,33,True,-400.9155713534123,-473.4069651351615,11,-72.4913937817492,3012.370721435547,0.5239382224878021
