epoch,policy_ratio_mode,action_dim,delta_log_prob_selected_action_mean,delta_log_prob_selected_action_std,logprob_delta_sum_mean,logprob_delta_sum_std,logprob_delta_mean_mean,logprob_delta_mean_std,sum_to_mean_scale_ratio
0,mean_logprob_ratio,72,-0.14123372733592987,0.14760133624076843,-10.168828964233398,10.627296447753906,-0.14123372733592987,0.14760133624076843,71.99999130190133
1,mean_logprob_ratio,72,-0.24543054401874542,0.3094518184661865,-17.67099952697754,22.28053092956543,-0.24543054401874542,0.3094518184661865,71.99999861119393
2,mean_logprob_ratio,72,-0.18829399347305298,0.2912990152835846,-13.557167053222656,20.973527908325195,-0.18829399347305298,0.2912990152835846,71.99999215368629
3,mean_logprob_ratio,72,-0.06129743531346321,0.2878900468349457,-4.41341495513916,20.728084564208984,-0.06129743531346321,0.2878900468349457,72.00000727212954
4,mean_logprob_ratio,72,-0.1736411154270172,0.30130648612976074,-12.502159118652344,21.694067001342773,-0.1736411154270172,0.30130648612976074,71.99999243343916
