epoch,policy_surrogate_mode,actor_structure_mode,theta_only_step_kl,route_only_step_kl,theta_only_step_prob_gain,route_only_step_prob_gain,theta_after_route_shift,route_after_theta_shift,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm,route_mask_mean,route_mask_active_fraction
0,hierarchical_actor_alternating_branch_pg,hierarchical_actor_separate_theta_route_backbones,4.9856641453516204e-05,0.001128672020695376,0.0006253964553252445,-0.00037571924076473806,0.0,0.0009221441818226594,0.20755896407758995,0.524353998517016,0.35721249197361093,0.3606792276143509,0.4970833361148834,0.4970833361148834
1,hierarchical_actor_alternating_branch_pg,hierarchical_actor_separate_theta_route_backbones,0.0019043959611735773,0.0017877816467262164,-0.000980050440443847,-0.0010762525902464405,0.0,0.0008975147386081517,0.26298808793199946,0.4389613803760571,0.4609617143724332,0.4041066412870702,0.4950000047683716,0.4950000047683716
2,hierarchical_actor_alternating_branch_pg,hierarchical_actor_separate_theta_route_backbones,0.0015213280511488848,0.0012085921429388692,-0.0006983571414821199,-0.000582516678207412,0.0,0.0008307713433168828,0.27258896993211146,0.5110479711335841,0.4720098246690103,0.44883326821535297,0.49416667222976685,0.49416667222976685
3,hierarchical_actor_alternating_branch_pg,hierarchical_actor_separate_theta_route_backbones,0.001994830634794198,0.0014062943623684987,-0.0013405995843640995,-0.0007830291990103433,0.0,0.000763047002692474,0.2722404107524005,0.5139529254309049,0.46296751855725915,0.4449069386490188,0.4854166805744171,0.4854166805744171
4,hierarchical_actor_alternating_branch_pg,hierarchical_actor_separate_theta_route_backbones,0.0017606559200430637,0.0026806386482348898,-0.0011561430887013558,-0.001958750601988868,0.0,0.0007816105491656345,0.27540315540619614,0.5501862221077579,0.45295382535567486,0.4741326366941666,0.4762499928474426,0.4762499928474426
