epoch,advantage_mean,advantage_std,positive_advantage_ratio,negative_advantage_ratio,delta_log_prob_selected_action_mean,delta_log_prob_selected_action_std,selected_action_prob_gain_mean,advantage_action_alignment,theta_advantage_alignment,route_advantage_alignment,theta_selected_action_prob_gain,route_selected_action_prob_gain,theta_negative_adv_prob_gain,route_negative_adv_prob_gain,theta_clip_fraction,route_clip_fraction,high_advantage_action_prob_gain,mid_advantage_action_prob_gain,low_advantage_action_prob_gain,negative_advantage_action_prob_gain,advantage_bucket_high_positive_threshold,advantage_bucket_near_zero_threshold
0,-22.205163955688477,6.170060634613037,0.0,1.0,-0.013605799525976181,0.028167271986603737,-0.007017227355390787,-0.10626492649316788,0.3687710464000702,0.24844564497470856,-0.0006023010355420411,0.0003400059067644179,-0.04766613990068436,-0.03781915456056595,0.14499999582767487,0.22166666388511658,0.0,0.0,0.0,-0.007017227355390787,0.0,0.6170060634613037
1,-19.08331871032715,7.245891094207764,0.0,1.0,-0.060222700238227844,0.059372901916503906,-0.027823202311992645,-0.1679665744304657,0.4291703999042511,0.24105218052864075,0.0003002154699061066,0.0017681189347058535,-0.1531452238559723,-0.09843191504478455,0.4258333444595337,0.4816666543483734,0.0,0.0,0.0,-0.027823202311992645,0.0,0.7245891094207764
2,-16.69412612915039,13.937068939208984,0.10999999940395355,0.8899999856948853,-0.05819251388311386,0.06480348855257034,-0.028679287061095238,-0.02387434057891369,0.4650685787200928,0.2853972315788269,-0.004253203980624676,-0.0007886155508458614,-0.1466311514377594,-0.10134629905223846,0.4037500023841858,0.46416667103767395,-0.04355893284082413,-0.06299657374620438,-0.015646593645215034,-0.02684827707707882,13.550484657287598,1.3937068939208985
3,-13.83599853515625,20.023054122924805,0.18000000715255737,0.8199999928474426,-0.05489756166934967,0.05779484286904335,-0.02622102200984955,-0.04718850925564766,0.4383978247642517,0.3109416663646698,-0.005611874628812075,0.007001061458140612,-0.13771791756153107,-0.0998082384467125,0.39250001311302185,0.4645833373069763,-0.019376657903194427,-0.03327028080821037,-0.01928514800965786,-0.02593577653169632,16.160608291625977,2.0023054122924804
4,-9.956090927124023,15.840476036071777,0.20999999344348907,0.7900000214576721,-0.06116281822323799,0.06833644956350327,-0.03119339421391487,-0.07316917181015015,0.4731578528881073,0.33781471848487854,-0.004662578925490379,-0.003359462134540081,-0.15036247670650482,-0.12008438259363174,0.398333340883255,0.4841666519641876,-0.05602904036641121,-0.030976150184869766,0.027684103697538376,-0.031150583177804947,25.016521453857422,1.5840476036071778
