topology,epoch,step,state_mean,state_max,state_var,raw_total_backlog,normalized_total_backlog,total_backlog,total_delay,total_energy,queue_penalty,reward_delay_term,reward_energy_term,reward_backlog_term,avg_theta,reward
default,0,0,0.45418550739330904,1.0906562805175781,0.1637912523489669,6480189579.705198,2.595880312524481,0.07634942095660238,3.2767821873452245,0.0,0.15269884191320476,3.2767821873452245,0.0,0.15269884191320476,0.5679067779209834,-3.4294810292584295
default,0,1,0.4654539464889759,1.6311697959899902,0.15756671392899127,5207114621.653759,2.5296620046436167,0.07440182366598873,7.031444741141852,1.3217237428058382,0.14880364733197746,7.031444741141852,0.06608618714029191,0.14880364733197746,0.5838110164595532,-7.246334575614122
default,0,2,0.4402558979511793,1.0810883045196533,0.14178627624921186,4390444451.988604,1.8953510128758038,0.05574561802575893,5.905992043215804,1.0649945781708365,0.11149123605151787,5.905992043215804,0.05324972890854183,0.11149123605151787,0.5485678923319189,-6.070733008175863
default,0,3,0.477583571897802,1.4252219200134277,0.16453149313502222,7172447173.975124,3.10740183115857,0.09139417150466382,6.872641268782214,0.8644875497835458,0.18278834300932764,6.872641268782214,0.04322437748917729,0.18278834300932764,0.5061200945493578,-7.098653989280719
default,0,4,0.42091256342661965,1.0,0.12104112917545497,4569550476.409985,1.852181230991047,0.05447591855856021,6.168437888466528,1.40702226613779,0.10895183711712042,6.168437888466528,0.0703511133068895,0.10895183711712042,0.5025284319473985,-6.347740838890538
default,0,5,0.38217690410757704,1.0,0.12784554246453833,2849459825.2524805,1.3479612046794083,0.03964591778468848,3.881347168586299,0.8888504201652256,0.07929183556937695,3.881347168586299,0.044442521008261286,0.07929183556937695,0.46457267563639365,-4.005081525163937
default,0,6,0.39284655486556275,1.0,0.1424337296084421,3793789379.1488843,1.8105286872352968,0.053250843742214615,3.3126378192024255,0.5490494069524041,0.10650168748442923,3.3126378192024255,0.027452470347620207,0.10650168748442923,0.5510846246802298,-3.446591977034475
default,0,7,0.4158832251378044,1.0,0.13394930874821406,4718499630.524917,2.1717542077723677,0.06387512375801081,4.700023994965157,0.7503233845372967,0.12775024751602163,4.700023994965157,0.03751616922686484,0.12775024751602163,0.47869244618830703,-4.8652904117080435
default,0,8,0.42381304637819994,1.828042984008789,0.1537030037332179,6532268698.514702,2.527593081911571,0.07434097299739914,5.290808262990846,0.9084836686150797,0.14868194599479828,5.290808262990846,0.04542418343075399,0.14868194599479828,0.51126209323795,-5.484914392416398
default,0,9,0.37523640668119435,1.0,0.11804608137471786,4665568314.844365,1.6909223036761734,0.04973300893165216,4.699916407197232,1.2175704236321987,0.09946601786330432,4.699916407197232,0.06087852118160994,0.09946601786330432,0.4743868732914018,-4.860260946242146
default,0,10,0.38038889234303497,1.372031331062317,0.1226931428261453,5620202438.897793,2.1905104312596904,0.06442677738999089,3.722735526637812,0.8865544233055005,0.12885355477998178,3.722735526637812,0.04432772116527503,0.12885355477998178,0.5014536369390928,-3.895916802583069
default,0,11,0.3517885964330552,1.0,0.11455213041636113,2499450081.6532607,1.1892593389594366,0.03497821585174814,3.2043351573847634,1.0984749921886379,0.06995643170349627,3.2043351573847634,0.054923749609431895,0.06995643170349627,0.5467254799932694,-3.3292153386976917
default,0,12,0.421655386619802,1.0,0.1321719137701933,6238260056.10927,2.5743781886318358,0.07571700554799517,3.8676313615998446,0.49581580148715865,0.15143401109599033,3.8676313615998446,0.024790790074357933,0.15143401109599033,0.5347767105467073,-4.043856162770193
default,0,13,0.4090551595374044,1.304434061050415,0.12695350655263862,4269568590.208476,2.0167383804272587,0.059315834718448784,5.053678994505741,1.2347428833251277,0.11863166943689757,5.053678994505741,0.06173714416625639,0.11863166943689757,0.5110780774449436,-5.234047808108896
default,0,14,0.41047808567860294,1.0,0.12864097664376853,5306631215.085133,2.0295864427122803,0.05969371890330236,5.0835963916569,0.8321078451258525,0.11938743780660473,5.0835963916569,0.041605392256292624,0.11938743780660473,0.5020125668881554,-5.244589221719798
default,0,15,0.4115481644507132,1.8102540969848633,0.14127381256774577,5366017284.316403,2.1511500075632584,0.0632691178695076,3.854505287775348,1.0319261148976926,0.1265382357390152,3.854505287775348,0.051596305744884635,0.1265382357390152,0.5102078904513677,-4.032639829259248
default,0,16,0.396537155189435,1.17684805393219,0.12425544321393323,4228053354.785772,1.737597145356794,0.05110579839284688,4.679410209432045,1.1024534384145217,0.10221159678569376,4.679410209432045,0.05512267192072609,0.10221159678569376,0.5222136940102965,-4.836744478138464
default,0,17,0.4107071880467369,1.057080626487732,0.12350938618708474,5399858943.674425,2.2250064732323964,0.06544136685977636,4.394792670725652,0.8168745984814968,0.13088273371955272,4.394792670725652,0.04084372992407484,0.13088273371955272,0.5294103434117983,-4.566519134369279
default,0,18,0.4117302907564278,1.0,0.12127961403810637,5209148807.66383,2.0751659729951313,0.06103429332338622,5.216920837788531,1.06945009412667,0.12206858664677243,5.216920837788531,0.0534725047063335,0.12206858664677243,0.5384682245735369,-5.392461929141637
default,0,19,0.4476514877959354,1.0680263042449951,0.12410090893070959,6968346534.935018,3.01886596243341,0.08879017536568853,6.116219455253355,1.0310522153397763,0.17758035073137707,6.116219455253355,0.05155261076698882,0.17758035073137707,0.5089816111614149,-6.345352416751721
default,1,0,0.4118379758937018,1.075775146484375,0.14481856928949474,5119781701.455049,2.2879403518638703,0.06729236329011383,2.418303942633534,0.0,0.13458472658022766,2.418303942633534,0.0,0.13458472658022766,0.5292403273052713,-2.552888669213762
default,1,1,0.48376076290982645,1.5227274894714355,0.15149291363473344,7744865487.1247835,3.207817828100803,0.09434758317943538,6.778177613329243,0.999233045164161,0.18869516635887076,6.778177613329243,0.049961652258208054,0.18869516635887076,0.47889821409061756,-7.016834431946322
