block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_logprob_delta_mean,block_logprob_delta_std,block_ratio_proxy_mean,block_ratio_proxy_std,epoch
0,0,3,3,dispatch_decision_block,0.04783415049314499,0.0195156317204237,0.10503052920103073,-0.2906838655471802,0.5546762347221375,0.8624432682991028,0.4602190852165222,0
1,3,6,3,dispatch_decision_block,0.030064748600125313,0.018092656508088112,0.10132911801338196,-0.17557519674301147,0.4298276901245117,0.9212034344673157,0.41685307025909424,0
2,6,9,3,dispatch_decision_block,0.03333975747227669,0.01987365260720253,0.11520513892173767,-0.47922685742378235,0.650411069393158,0.7655523419380188,0.557487964630127,0
3,9,12,3,dispatch_decision_block,0.05296971648931503,0.014993210323154926,0.10083404928445816,-0.27093204855918884,0.5557066202163696,0.8859390616416931,0.5312293171882629,0
4,12,15,3,dispatch_decision_block,0.046636808663606644,0.01776847243309021,0.0961478129029274,-0.15333855152130127,0.3936614394187927,0.9213453531265259,0.34775710105895996,0
5,15,18,3,dispatch_decision_block,0.03846198320388794,0.021647386252880096,0.10639151185750961,-0.4570832848548889,0.645119845867157,0.7788058519363403,0.5577008128166199,0
6,18,21,3,dispatch_decision_block,0.0347822904586792,0.021205870434641838,0.11521289497613907,-0.23670847713947296,0.5044337511062622,0.8943594694137573,0.4752819538116455,0
7,21,24,3,dispatch_decision_block,0.047624051570892334,0.01385777723044157,0.08320476859807968,-0.3306848704814911,0.5242027044296265,0.8191678524017334,0.4369010031223297,0
8,24,27,3,dispatch_decision_block,0.04966902732849121,0.020348085090517998,0.11790981888771057,-0.3468667268753052,0.5774219632148743,0.8271234631538391,0.48231667280197144,0
9,27,30,3,dispatch_decision_block,0.033597543835639954,0.023034358397126198,0.1267774999141693,-0.2517668604850769,0.5452167987823486,0.9068728685379028,0.5458519458770752,0
10,30,33,3,dispatch_decision_block,0.033105045557022095,0.022879047319293022,0.1284390687942505,-0.17806951701641083,0.4189077913761139,0.9111099243164062,0.3796703815460205,0
11,33,36,3,dispatch_decision_block,0.0492248460650444,0.014640805311501026,0.10791490226984024,-0.4095204770565033,0.6441380381584167,0.8107872009277344,0.5478423833847046,0
12,36,39,3,dispatch_decision_block,0.04935770854353905,0.01868092082440853,0.10494033992290497,-0.2952753007411957,0.6466038823127747,0.9096415638923645,0.6000677347183228,0
13,39,42,3,dispatch_decision_block,0.03416931629180908,0.02120409533381462,0.09975383430719376,-0.048980217427015305,0.28312331438064575,0.9903614521026611,0.2799389362335205,0
14,42,45,3,dispatch_decision_block,0.038092244416475296,0.02149665355682373,0.09891555458307266,-0.3325270414352417,0.5988229513168335,0.8562865853309631,0.5424959659576416,0
15,45,48,3,dispatch_decision_block,0.05096522718667984,0.01818610541522503,0.10465390980243683,-0.31952163577079773,0.5563934445381165,0.8491233587265015,0.5280226469039917,0
16,48,51,3,dispatch_decision_block,0.04656677320599556,0.018728282302618027,0.10105697810649872,-0.17778831720352173,0.4713226854801178,0.9354838132858276,0.47536763548851013,0
17,51,54,3,dispatch_decision_block,0.039374444633722305,0.02369583584368229,0.1443922221660614,-0.34412169456481934,0.5724302530288696,0.8362777233123779,0.5223518013954163,0
18,54,57,3,dispatch_decision_block,0.03544473648071289,0.024583755061030388,0.13663475215435028,-0.14250098168849945,0.41273248195648193,0.9419805407524109,0.38303136825561523,0
19,57,60,3,dispatch_decision_block,0.04386867582798004,0.012820715084671974,0.08930817991495132,-0.096441350877285,0.29787516593933105,0.9482751488685608,0.2833976745605469,0
20,60,63,3,dispatch_decision_block,0.046988047659397125,0.01750553399324417,0.09354709833860397,-0.33491310477256775,0.604478657245636,0.8521022796630859,0.5097144842147827,0
21,63,66,3,dispatch_decision_block,0.034069471061229706,0.02182936854660511,0.11114520579576492,-0.24692587554454803,0.48581525683403015,0.8778509497642517,0.4407269358634949,0
22,66,69,3,dispatch_decision_block,0.0330287404358387,0.021781058982014656,0.10150562971830368,-0.2457469254732132,0.4881812632083893,0.8797839283943176,0.45149344205856323,0
23,69,72,3,dispatch_decision_block,0.05076461657881737,0.01626822166144848,0.1198919489979744,-0.42002639174461365,0.6394522786140442,0.804949939250946,0.5422725081443787,0
0,0,3,3,dispatch_decision_block,0.047896359115839005,0.017344249412417412,0.0997583419084549,-0.6396178007125854,0.9202472567558289,0.7491700649261475,0.6406875252723694,1
1,3,6,3,dispatch_decision_block,0.03363307937979698,0.020641934126615524,0.10742250084877014,-0.4504717290401459,0.867367148399353,0.8787330389022827,0.7326754927635193,1
2,6,9,3,dispatch_decision_block,0.03760615363717079,0.021284744143486023,0.11156459897756577,-0.7901877164840698,1.0274457931518555,0.6808322668075562,0.5996265411376953,1
3,9,12,3,dispatch_decision_block,0.048036474734544754,0.016598058864474297,0.1030576303601265,-0.590908944606781,0.8121033906936646,0.7520325779914856,0.6312264800071716,1
4,12,15,3,dispatch_decision_block,0.04497116059064865,0.01655285619199276,0.10403764247894287,-0.4790875017642975,0.9352438449859619,0.8475521802902222,0.5962617993354797,1
5,15,18,3,dispatch_decision_block,0.03423221409320831,0.02271898090839386,0.11639457195997238,-1.0755616426467896,1.2610125541687012,0.6150399446487427,0.7138064503669739,1
6,18,21,3,dispatch_decision_block,0.032558731734752655,0.02163180708885193,0.11861034482717514,-0.5741579532623291,0.9240430593490601,0.815562903881073,0.8139359354972839,1
7,21,24,3,dispatch_decision_block,0.04650665074586868,0.01364581473171711,0.09259102493524551,-0.5370017886161804,0.8718716502189636,0.7838361859321594,0.5711634755134583,1
8,24,27,3,dispatch_decision_block,0.049573153257369995,0.018348118290305138,0.0982193574309349,-0.748478353023529,0.9667041301727295,0.6900427341461182,0.5778641104698181,1
9,27,30,3,dispatch_decision_block,0.034723058342933655,0.021621674299240112,0.1059439405798912,-0.5475038290023804,0.8381302356719971,0.7525878548622131,0.49340012669563293,1
10,30,33,3,dispatch_decision_block,0.033844538033008575,0.021852096542716026,0.10072474926710129,-0.4260658919811249,0.7289766073226929,0.8474369049072266,0.9276307821273804,1
11,33,36,3,dispatch_decision_block,0.04814564436674118,0.015234063379466534,0.09773668646812439,-0.8575079441070557,1.1026238203048706,0.6931623816490173,0.7455654740333557,1
12,36,39,3,dispatch_decision_block,0.04815245419740677,0.019353112205863,0.12320602685213089,-0.6836554408073425,0.8951758742332458,0.7169080972671509,0.6980852484703064,1
13,39,42,3,dispatch_decision_block,0.03269362077116966,0.018107548356056213,0.0919635146856308,-0.40602684020996094,0.7645834684371948,0.8542363047599792,0.60544353723526,1
14,42,45,3,dispatch_decision_block,0.03712128475308418,0.01953967846930027,0.09663769602775574,-0.8752549290657043,1.0623250007629395,0.6802821159362793,0.7778272032737732,1
15,45,48,3,dispatch_decision_block,0.05010988563299179,0.01765059120953083,0.10252866894006729,-0.6330060958862305,0.8574333190917969,0.7192606329917908,0.5473592281341553,1
16,48,51,3,dispatch_decision_block,0.04664625599980354,0.019680805504322052,0.10162867605686188,-0.5590140223503113,0.8921442627906799,0.7757476568222046,0.582535982131958,1
17,51,54,3,dispatch_decision_block,0.03766031563282013,0.02183457463979721,0.106142558157444,-0.7576046586036682,1.0363545417785645,0.761326253414154,1.0035955905914307,1
18,54,57,3,dispatch_decision_block,0.033067889511585236,0.02100040577352047,0.09772355109453201,-0.5055609941482544,0.8818023204803467,0.8381771445274353,0.688092827796936,1
19,57,60,3,dispatch_decision_block,0.04543447494506836,0.01570671983063221,0.11012556403875351,-0.53596031665802,0.894011914730072,0.7817015051841736,0.5979109406471252,1
20,60,63,3,dispatch_decision_block,0.052703965455293655,0.02001405879855156,0.10534830391407013,-0.8919566869735718,1.0599502325057983,0.6428686380386353,0.6204202771186829,1
21,63,66,3,dispatch_decision_block,0.037247251719236374,0.022741669788956642,0.11574702709913254,-0.5727115273475647,0.9305452704429626,0.7956593036651611,0.6208248138427734,1
22,66,69,3,dispatch_decision_block,0.03711502626538277,0.022106269374489784,0.10317760705947876,-0.5431737899780273,0.9508939385414124,0.8365797400474548,0.779331386089325,1
23,69,72,3,dispatch_decision_block,0.05032031238079071,0.01581893488764763,0.11037460714578629,-0.8248839974403381,1.0345932245254517,0.6738226413726807,0.646101176738739,1
0,0,3,3,dispatch_decision_block,0.04477306082844734,0.018610229715704918,0.09698456525802612,-0.9785134196281433,1.1579583883285522,0.6211497187614441,0.6615592241287231,2
1,3,6,3,dispatch_decision_block,0.03223280981183052,0.02039337158203125,0.09325243532657623,-0.550721287727356,0.8539066910743713,0.7734939455986023,0.6165337562561035,2
2,6,9,3,dispatch_decision_block,0.03596952185034752,0.021140508353710175,0.10541937500238419,-1.0995062589645386,1.1313821077346802,0.5391998291015625,0.5050355195999146,2
3,9,12,3,dispatch_decision_block,0.0485394261777401,0.015860645100474358,0.10697174817323685,-0.5678163766860962,0.9362987875938416,0.8477464914321899,1.0425843000411987,2
4,12,15,3,dispatch_decision_block,0.04918626695871353,0.016445770859718323,0.11597747355699539,-0.592063307762146,0.9576250314712524,0.7953881621360779,0.6659969687461853,2
5,15,18,3,dispatch_decision_block,0.03686962649226189,0.021610192954540253,0.10608097910881042,-1.01637864112854,1.1328082084655762,0.6248942613601685,0.9245155453681946,2
6,18,21,3,dispatch_decision_block,0.03439512848854065,0.02314261719584465,0.10065430402755737,-0.7583861947059631,0.9757731556892395,0.683391809463501,0.5562950968742371,2
7,21,24,3,dispatch_decision_block,0.04703337699174881,0.015558377839624882,0.08696911484003067,-0.4602312445640564,0.7463794350624084,0.8054542541503906,0.6052802801132202,2
8,24,27,3,dispatch_decision_block,0.05350806936621666,0.02183275856077671,0.1187598928809166,-0.8150379061698914,1.004759669303894,0.6946923136711121,0.7859020829200745,2
9,27,30,3,dispatch_decision_block,0.037418827414512634,0.02377825602889061,0.12701180577278137,-0.7842289805412292,1.0724223852157593,0.6812870502471924,0.5890076160430908,2
10,30,33,3,dispatch_decision_block,0.037235911935567856,0.02326260134577751,0.12109021097421646,-0.39732053875923157,0.7179483771324158,0.8060916066169739,0.4232970178127289,2
11,33,36,3,dispatch_decision_block,0.05283404141664505,0.020741881802678108,0.12454412877559662,-0.8908064365386963,1.0131773948669434,0.6213465929031372,0.562998354434967,2
12,36,39,3,dispatch_decision_block,0.043371498584747314,0.015971949324011803,0.09639827907085419,-0.6833399534225464,1.021312952041626,0.7599546909332275,0.7800171971321106,2
