epoch,theta_selected_score_mean,theta_expected_score_mean,theta_residual_credit_mean,theta_residual_credit_std,theta_ratio_mean,theta_approx_kl,theta_clip_fraction,advantage_action_alignment,offload_decision_agreement_ratio,actual_offload_rate_when_theta_true_gap_positive,actual_offload_rate_when_theta_true_gap_negative
0,-0.011667130514979362,-0.0023118534591048956,-0.009355277754366398,0.9881345629692078,0.9974360466003418,0.020308148115873337,0.4260416626930237,-0.006746063940227032,0.4943750202655792,0.3333333432674408,0.5057615637779236
1,-0.004583429545164108,-0.0004980135709047318,-0.004085415042936802,0.9376291632652283,1.0279648303985596,0.003556216135621071,0.5708333253860474,-0.07176529616117477,0.49687501788139343,0.5,0.5023041367530823
2,0.1141645610332489,0.03518860042095184,0.07897596061229706,0.8319249153137207,1.0479793548583984,-0.023098189383745193,0.4504166841506958,0.1884966790676117,0.5566666722297668,0.5,0.44258174300193787
3,0.25332412123680115,0.11491134762763977,0.13841278851032257,0.726215124130249,1.0526467561721802,-0.031093349680304527,0.3631249964237213,0.23255661129951477,0.6256250143051147,0.34693875908851624,0.36979055404663086
4,0.32793134450912476,0.19823433458805084,0.1296970099210739,0.6396807432174683,1.045785903930664,-0.031135737895965576,0.22083333134651184,2.5633571567595936e-05,0.6654166579246521,0.24870465695858002,0.31769582629203796
5,0.2949795722961426,0.1987721025943756,0.09620743244886398,0.5786715745925903,1.0270329713821411,-0.015860717743635178,0.1693750023841858,0.10912930965423584,0.6481249928474426,0.11538462340831757,0.29741576313972473
6,0.26666098833084106,0.186469167470932,0.08019179105758667,0.5451896786689758,1.0256682634353638,-0.015222419053316116,0.1458333432674408,-0.11305559426546097,0.6349999904632568,0.0800744891166687,0.29582449793815613
7,0.24214473366737366,0.17268209159374237,0.06946263462305069,0.5019971132278442,1.0185097455978394,-0.011747583746910095,0.11145833879709244,-0.01670243963599205,0.6227083206176758,0.06687898188829422,0.2943587303161621
8,0.23876574635505676,0.17038369178771973,0.06838206201791763,0.4974764287471771,1.0172827243804932,-0.010002603754401207,0.11791666597127914,-0.0757906511425972,0.6204167008399963,0.053921569138765335,0.2968299686908722
9,0.23331721127033234,0.17657895386219025,0.056738246232271194,0.47163406014442444,1.0208032131195068,-0.013924991711974144,0.11937500536441803,0.03918447345495224,0.6185416579246521,0.05714285746216774,0.2976362705230713
10,0.2895568311214447,0.21785584092140198,0.0717010423541069,0.4646930694580078,1.024850845336914,-0.016917966306209564,0.12833333015441895,0.05432207137346268,0.6462500095367432,0.08396946638822556,0.28527751564979553
11,0.209952250123024,0.16570860147476196,0.04424365982413292,0.44343358278274536,1.00894296169281,-0.001581117045134306,0.11937500536441803,-0.060303740203380585,0.6066666841506958,0.09102902561426163,0.29741165041923523
