epoch,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
0,0.055306619181636006,5376000,0,0.0,234233.515625,474598.40625,6674991.5,90994840.0,234233.515625,474598.40625,6674991.5,90994840.0,0.9162841203368931,0.911399245262146,0.9716603428125381,0.6976220514778908,0.21297438895063742,0.6306419257627882,1.3002189338207235
1,0.04762831924163136,5376000,0,0.0,263422.03125,582975.218749981,7564226.0,52551648.0,263422.03125,582975.218749981,7564226.0,52551648.0,0.9186301970036904,0.9308586120605469,0.9442077815532685,0.8789948355933597,0.2784764764032194,0.5953317339325519,0.9102366745471954
2,0.04809466524160689,5376000,0,0.0,235333.734375,570375.0593749387,7056908.5,42906860.0,235333.734375,570375.0593749387,7056908.5,42906860.0,0.9545561429045653,0.9489073157310486,0.9777174323797226,0.9370257249784941,0.1550880739731448,0.31861644166497577,0.42424061596393586
3,0.03773382154671536,5375992,0,0.0,225396.703125,545696.4375,6705187.5,33006472.0,225396.703125,545696.4375,6705187.5,33006472.0,0.9646270877067588,0.9645932614803314,0.9854851812124252,0.9405770408322758,0.07472352742084436,0.24708076524749503,0.4076475873589515
4,0.031276706562355046,5376000,0,0.0,234611.859375,588216.8218749969,6991782.5,32825978.0,234611.859375,588216.8218749969,6991782.5,32825978.0,0.962856025814425,0.963976114988327,0.9878122061491013,0.9330401632659966,0.062317460243191035,0.2614604078958983,0.4682912215590477
5,0.032015589068982636,5376000,0,0.0,244206.59375,621318.1562499566,7147329.0,33442622.0,244206.59375,621318.1562499566,7147329.0,33442622.0,0.9593152259534772,0.959934264421463,0.9898113578557968,0.9254481322536828,0.057187331042119434,0.28916539791947776,0.5279613047838211
6,0.0275354104029586,5375998,0,0.0,249623.203125,651980.3125,7094802.0,33715940.0,249623.203125,651980.3125,7094802.0,33715940.0,0.9582107159090281,0.9585953950881958,0.9903721570968628,0.9238892473485769,0.053507885336875914,0.2981691872894417,0.540664929151535
7,0.030271840524221993,5375981,0,0.0,256012.21875,692835.125,7260534.5,33738996.0,256012.21875,692835.125,7260534.5,33738996.0,0.9572954416579226,0.9577173292636871,0.9891990840435028,0.9239275309533402,0.057909325403826574,0.3047894015479209,0.5433353245258331
8,0.028939830770438137,5375976,0,0.0,263922.21875,722355.625,7546159.875,34435288.0,263922.21875,722355.625,7546159.875,34435288.0,0.9533271885344626,0.9540473520755768,0.9869448393583298,0.9165713994944348,0.06895690092018672,0.3346209067895887,0.5998303860425949
9,0.03146226800207643,5376000,0,0.0,270327.65625,753012.2999999993,7621277.0,35439884.0,270327.65625,753012.2999999993,7621277.0,35439884.0,0.950056517035593,0.9510988593101501,0.9855937182903289,0.9118913828665948,0.07198562733829021,0.36002487938878636,0.6383340209722519
10,0.030236858448030996,5375998,0,0.0,276177.6875,775262.6875,7829763.0,36253436.0,276177.6875,775262.6875,7829763.0,36253436.0,0.948899375177487,0.9490926265716553,0.985801362991333,0.9098797170373114,0.07144634340490613,0.36939990621432583,0.6544240862131119
11,0.03140008442218751,5376000,0,0.0,280916.75,803416.465624867,8068165.0,36969880.0,280916.75,803416.465624867,8068165.0,36969880.0,0.9471776031953028,0.9474230706691742,0.986517333984375,0.9056606025555093,0.06963327851678644,0.383592332080497,0.6890679478645324
