epoch,policy_surrogate_mode,actor_structure_mode,theta_backbone_grad_norm,route_backbone_grad_norm,theta_route_feature_correlation,theta_head_grad_norm,route_head_grad_norm,theta_route_head_correlation,route_mask_mean,route_mask_active_fraction,offload_rate_mean
0,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.06890912283881745,0.0567407038037201,-0.0814853385090828,0.07385832644867604,0.0821469442348829,-0.07015354186296463,0.5054166913032532,0.5054166913032532,0.49985021352767944
1,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.0878157733145775,0.09198963971429519,-0.00014052135520614684,0.06557494885440814,0.08489949927566658,-0.025256216526031494,0.503125011920929,0.503125011920929,0.5003257989883423
2,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.09757096954823176,0.10510539710917496,-0.0074373884126544,0.060021853192016306,0.08815660221236492,-0.0246138758957386,0.44333335757255554,0.44333335757255554,0.48265549540519714
3,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.09223900643696178,0.12867024170627378,-0.020224150270223618,0.055421653485017916,0.08992265716682034,-0.06554139405488968,0.3712500035762787,0.3712500035762787,0.44238054752349854
4,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.08242425669529581,0.13474042323105664,-0.012157184071838856,0.04778805636931419,0.09302017982304946,-0.0686115249991417,0.31437501311302185,0.31437501311302185,0.38948914408683777
5,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.07790943580936241,0.15954346471341063,-0.034779902547597885,0.04385525593215584,0.08774535766543592,-0.024819564074277878,0.28104168176651,0.28104168176651,0.34956908226013184
6,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.07587349737779236,0.14336416772281163,-0.024154361337423325,0.04208823702752963,0.07397854757701584,0.019489867612719536,0.2710416615009308,0.2710416615009308,0.33587390184402466
7,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.06830802802032959,0.13106726780656378,-0.04132121428847313,0.0367411607941661,0.06860735245051676,0.021742846816778183,0.2639583349227905,0.2639583349227905,0.32104364037513733
8,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.07012107044602836,0.1417064520146434,-0.05304178223013878,0.03612038522796727,0.06305020488081582,0.00721076549962163,0.2658333480358124,0.2658333480358124,0.3203006684780121
9,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.06634612593069868,0.09792513755357188,-0.029202360659837723,0.03286514306753293,0.04606873310730283,0.004150483291596174,0.26520833373069763,0.26520833373069763,0.3145524561405182
10,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.06466982488059568,0.09573367801925015,-0.03875872492790222,0.030212466629983562,0.04114716315759411,0.015936920419335365,0.2629166841506958,0.2629166841506958,0.3195570707321167
11,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.06429442665725131,0.08223984393855151,-0.027816496789455414,0.029173561190184008,0.035263117702387166,0.01691829040646553,0.2641666829586029,0.2641666829586029,0.3042886555194855
