epoch,advantage_action_alignment,joint_approx_kl,joint_clip_fraction,joint_selected_score_mean,joint_expected_score_mean,joint_residual_credit_mean,joint_residual_credit_std,joint_action_decision_agreement_ratio_under_reward_aligned
0,-0.006746063940227032,0.021049153059720993,0.46520835161209106,0.11954940110445023,0.11876960843801498,0.0007797877187840641,1.0274956226348877,0.41583335399627686
1,-0.07176529616117477,0.0076390476897358894,0.7172917127609253,0.28548377752304077,0.1812317669391632,0.10425198823213577,0.9744105935096741,0.47458335757255554
2,0.1884966790676117,-0.027865706011652946,0.6114583611488342,0.4916112422943115,0.27503079175949097,0.21658046543598175,0.8391826152801514,0.5679166913032532
3,0.23255661129951477,-0.04508472606539726,0.5077083706855774,0.615818977355957,0.376985639333725,0.23883332312107086,0.713854968547821,0.621874988079071
4,2.5633571567595936e-05,-0.05017133802175522,0.34458333253860474,0.6692113876342773,0.4359508752822876,0.23326045274734497,0.603952944278717,0.6577083468437195
5,0.10912930965423584,-0.031217582523822784,0.2710416615009308,0.6710885167121887,0.4740655720233917,0.1970229595899582,0.5335754156112671,0.653124988079071
6,-0.11305559426546097,-0.02653401531279087,0.22875000536441803,0.7188711762428284,0.5252329707145691,0.19363822042942047,0.4875931143760681,0.6785416603088379
7,-0.01670243963599205,-0.016548646613955498,0.17791667580604553,0.7247287631034851,0.5537183880805969,0.1710103452205658,0.4363960325717926,0.6770833730697632
8,-0.0757906511425972,-0.012826360762119293,0.18333333730697632,0.7266914248466492,0.5625907778739929,0.16410067677497864,0.42005079984664917,0.6797916889190674
9,0.03918447345495224,-0.01629336178302765,0.1664583384990692,0.7504489421844482,0.592929482460022,0.1575193852186203,0.39519187808036804,0.6993750333786011
10,0.05432207137346268,-0.018815165385603905,0.17479166388511658,0.7701225876808167,0.6108177304267883,0.15930484235286713,0.38870418071746826,0.7077083587646484
11,-0.060303740203380585,-0.002280360786244273,0.16208334267139435,0.6983593702316284,0.5722790956497192,0.1260802298784256,0.3736873269081116,0.6787500381469727
