epoch,offload_active_fraction,route_logprob_active_fraction,theta_positive_fraction,route_credit_gate_fraction,route_credit_effective_fraction,route_credit_effective_count,route_credit_fallback_trigger_count,route_credit_weight_mean,route_credit_weight_std,route_credit_weight_min,route_credit_weight_max,theta_ratio_mean,route_ratio_mean,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,advantage_action_alignment,conditional_policy_consistency_score
0,0.4970833361148834,0.4970833361148834,0.49125000834465027,0.49125000834465027,0.4970833361148834,1193.0,0,0.9101548194885254,0.9778766632080078,0.2121502161026001,3.0,0.993874728679657,0.9999465942382812,0.006825629156082869,5.4726056987419724e-05,0.0,0.0,0.15225982666015625,0.5021116435527802
1,0.49958333373069763,0.49958333373069763,0.4962500035762787,0.4962500035762787,0.49958333373069763,1199.0,0,0.8155670166015625,0.8867365121841431,0.22757190465927124,3.0,0.9887312650680542,0.9999262094497681,0.01302031334489584,7.719425047980621e-05,0.00041666667675599456,0.0,0.02926022931933403,0.504668116569519
2,0.5120833516120911,0.5120833516120911,0.49791666865348816,0.49791666865348816,0.5120833516120911,1229.0,0,0.852466344833374,0.8891840577125549,0.2537059485912323,3.0,0.9978240728378296,0.999946653842926,0.002660464495420456,5.4236104915617034e-05,0.0,0.0,-0.08192434906959534,0.5044951140880585
3,0.49666666984558105,0.49666666984558105,0.4854166805744171,0.4854166805744171,0.49666666984558105,1192.0,0,0.841808021068573,0.9082432985305786,0.22834208607673645,3.0,0.9990281462669373,0.9999973177909851,0.0011773661244660616,3.0235605663619936e-06,0.0,0.0,0.2037525326013565,0.5036488175392151
4,0.502916693687439,0.502916693687439,0.4854166805744171,0.4854166805744171,0.502916693687439,1207.0,0,0.8618980050086975,0.9281516671180725,0.23386146128177643,3.0,0.9987359642982483,1.000001311302185,0.001374824671074748,-1.1045131032005884e-06,0.0,0.0,-0.12982966005802155,0.5032892227172852
