epoch,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean
0,0.05729510824354633,5376000,0,0.0,236831.3125,463644.5,6583634.5,99157224.0,236831.3125,463644.5,6583634.5,99157224.0,1.0,1.0,0.0,0.0
1,0.04936051218694965,5376000,0,0.0,261736.71875,588475.8468749677,7227062.5,55278600.0,261736.71875,588475.8468749677,7227062.5,55278600.0,1.0,1.0,0.0,0.0
2,0.04473023105537961,5375999,0,0.0,229265.9375,567893.9312499968,6349690.0,44599568.0,229265.9375,567893.9312499968,6349690.0,44599568.0,1.0,1.0,0.0,0.0
3,0.04031637464372728,5376000,0,0.0,225656.875,563206.5562499847,6193240.0,40563608.0,225656.875,563206.5562499847,6193240.0,40563608.0,1.0,1.0,0.0,0.0
4,0.032939699453215204,5376000,0,0.0,232455.1875,599327.3843749638,6397744.0,35891912.0,232455.1875,599327.3843749638,6397744.0,35891912.0,1.0,1.0,0.0,0.0
5,0.03263877600094471,5376000,0,0.0,242983.03125,641202.9218749953,6722265.589999998,37123524.0,242983.03125,641202.9218749953,6722265.589999998,37123524.0,1.0,1.0,0.0,0.0
6,0.032049041846828004,5376000,0,0.0,246754.671875,667216.5781249662,6901100.0,38059676.0,246754.671875,667216.5781249662,6901100.0,38059676.0,1.0,1.0,0.0,0.0
7,0.03171303192795342,5376000,0,0.0,253378.34375,690810.9312499455,7114961.0,38528496.0,253378.34375,690810.9312499455,7114961.0,38528496.0,1.0,1.0,0.0,0.0
8,0.03074728394336429,5375996,0,0.0,260563.28125,725258.125,7149750.5,38075696.0,260563.28125,725258.125,7149750.5,38075696.0,1.0,1.0,0.0,0.0
9,0.031110386879310812,5375998,0,0.0,265052.71875,764692.9375,7314834.5,34509608.0,265052.71875,764692.9375,7314834.5,34509608.0,1.0,1.0,0.0,0.0
10,0.029228193989615438,5376000,0,0.0,272208.53125,807315.3218749978,7563191.5,35217092.0,272208.53125,807315.3218749978,7563191.5,35217092.0,1.0,1.0,0.0,0.0
11,0.029850229347050516,5376000,0,0.0,277823.0625,852753.5124999708,7753589.0,35249640.0,277823.0625,852753.5124999708,7753589.0,35249640.0,1.0,1.0,0.0,0.0
