epoch,advantage_action_alignment,joint_approx_kl,joint_clip_fraction,joint_selected_score_mean,joint_expected_score_mean,joint_residual_credit_mean,joint_residual_credit_std,joint_action_decision_agreement_ratio_under_td_aligned
0,0.006911195814609528,0.029737981036305428,0.5404166579246521,0.10093452036380768,0.11906865984201431,-0.018134143203496933,1.0276806354522705,0.39770835638046265
1,0.18787559866905212,0.010297936387360096,0.7102083563804626,0.2732333242893219,0.18044164776802063,0.09279166162014008,0.9670129418373108,0.4308333396911621
2,0.16989104449748993,-0.03157779946923256,0.6243749856948853,0.49754080176353455,0.27562347054481506,0.2219172716140747,0.8453090190887451,0.46437501907348633
3,0.19447074830532074,-0.04305296763777733,0.527916669845581,0.5959648489952087,0.3465611934661865,0.24940364062786102,0.7378327250480652,0.49958333373069763
4,0.18039186298847198,-0.05380365997552872,0.3504166603088379,0.6977146863937378,0.44460684061050415,0.25310784578323364,0.5949630737304688,0.49395835399627686
5,-0.004630542825907469,-0.0259750634431839,0.25083333253860474,0.6797758936882019,0.47438812255859375,0.20538783073425293,0.5115371942520142,0.429583340883255
6,0.01980830729007721,-0.018167048692703247,0.22312501072883606,0.6851809024810791,0.5068774819374084,0.17830340564250946,0.4843903183937073,0.4518750011920929
7,0.08278937637805939,-0.020617902278900146,0.18916666507720947,0.7375960946083069,0.5576684474945068,0.17992767691612244,0.43949735164642334,0.4518750011920929
8,-0.032998260110616684,-0.01370182354003191,0.18312500417232513,0.7304409742355347,0.5652441382408142,0.16519679129123688,0.41068193316459656,0.40270835161209106
9,0.07137716561555862,-0.02184448204934597,0.19062501192092896,0.7743194699287415,0.6076348423957825,0.16668467223644257,0.3913232684135437,0.46416667103767395
10,0.09955326467752457,-0.01662425696849823,0.17104166746139526,0.7437874674797058,0.5858531594276428,0.15793432295322418,0.3774084150791168,0.48645833134651184
11,-0.012873808853328228,-0.012262441217899323,0.16708333790302277,0.7244303822517395,0.5941339135169983,0.13029642403125763,0.3695365786552429,0.4268750250339508
