epoch,offload_active_fraction,route_logprob_active_fraction,theta_positive_fraction,route_credit_gate_fraction,route_credit_effective_fraction,route_credit_effective_count,route_credit_fallback_trigger_count,route_credit_weight_mean,route_credit_weight_std,route_credit_weight_min,route_credit_weight_max,theta_selected_score_mean,theta_expected_score_mean,theta_residual_credit_mean,theta_residual_credit_std,theta_candidate_score_mean,theta_candidate_score_std,route_residual_credit_mean,route_residual_credit_std,route_candidate_score_mean,route_candidate_score_std,route_expected_score_mean,route_selected_score_mean,theta_ratio_mean,route_ratio_mean,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,advantage_action_alignment,offload_decision_agreement_ratio,actual_offload_rate_when_theta_true_gap_positive,actual_offload_rate_when_theta_true_gap_negative,route_decision_agreement_ratio,actual_bs1_rate_when_route_true_gap_positive,actual_bs1_rate_when_route_true_gap_negative,conditional_policy_consistency_score
0,0.5200000405311584,0.5200000405311584,0.49979168176651,0.49979168176651,0.5200000405311584,2496.0,0,1.0,0.0,1.0,1.0,-0.037916149944067,-0.009849194437265396,-0.028066953644156456,0.9892458319664001,3.526608338688675e-09,0.9974840879440308,-0.05674180015921593,0.9817676544189453,-1.3452834934923885e-07,0.9962119460105896,-0.01094769686460495,-0.06768949329853058,0.9920487999916077,0.9960873126983643,0.026777712628245354,0.0056928303092718124,0.4937500059604645,0.012419871985912323,0.006911195814609528,0.48000001907348633,0.5,0.5190615653991699,0.4655448794364929,0.5123239159584045,0.5733432769775391,0.5025422871112823
1,0.48854169249534607,0.48854169249534607,0.5052083730697632,0.5052083730697632,0.48854169249534607,2345.0,0,1.0,0.0,1.0,1.0,0.026249371469020844,0.0022192017640918493,0.0240301713347435,0.9389883875846863,5.140900594113873e-09,0.9974855184555054,-0.02305375412106514,0.9542416930198669,1.8033517790172482e-06,0.9960639476776123,-0.023849446326494217,-0.046903204172849655,1.0225082635879517,1.0073013305664062,0.007997932843863964,0.004707896616309881,0.5589583516120911,0.19402983784675598,0.18787559866905212,0.5120833516120911,1.0,0.4871150255203247,0.4776119291782379,0.5124324560165405,0.5473984479904175,0.5395379960536957
2,0.43958333134651184,0.43958333134651184,0.5097916722297668,0.5097916722297668,0.43958333134651184,2110.0,0,1.0,0.0,1.0,1.0,0.11999794095754623,0.0424388088285923,0.07755912840366364,0.837427020072937,2.0364920860771463e-09,0.9974833130836487,-0.01960914395749569,0.9066160917282104,-2.1052304077784356e-07,0.9965865015983582,-0.02911500632762909,-0.04872415214776993,1.0519737005233765,1.026394009590149,-0.026634983718395233,-0.01124432310461998,0.46291667222976685,0.24834123253822327,0.16989104449748993,0.5597916841506958,0.3333333432674408,0.4392699599266052,0.47535544633865356,0.4571428596973419,0.5073937177658081,0.5987337827682495
3,0.3866666853427887,0.3866666853427887,0.5168750286102295,0.5168750286102295,0.3866666853427887,1856.0,0,1.0,0.0,1.0,1.0,0.22249354422092438,0.09927796572446823,0.12321560084819794,0.7462807297706604,1.9818545027305845e-08,0.9974778294563293,-0.09009896963834763,0.8200636506080627,3.908825192411314e-07,0.9965283870697021,-0.06285428255796432,-0.15295325219631195,1.0494236946105957,1.0643362998962402,-0.026345353573560715,-0.04320934787392616,0.3804166615009308,0.3184267282485962,0.19447074830532074,0.6112500429153442,0.3684210479259491,0.3862389326095581,0.42241379618644714,0.4323040544986725,0.5848303437232971,0.6610886752605438
4,0.2979166805744171,0.2979166805744171,0.5266667008399963,0.5266667008399963,0.2979166805744171,1430.0,0,1.0,0.0,1.0,1.0,0.3570667803287506,0.20901641249656677,0.14805038273334503,0.6358091831207275,4.929801011854806e-09,0.9974514842033386,-0.02934074215590954,0.6931149363517761,-1.9365258197012736e-07,0.997061550617218,-0.10632815212011337,-0.13566888868808746,1.0486351251602173,1.0933047533035278,-0.033294569700956345,-0.06884169578552246,0.22958333790302277,0.3440559506416321,0.18039186298847198,0.6793749928474426,0.23152709007263184,0.3006778955459595,0.4321678578853607,0.41470590233802795,0.5525606274604797,0.7462830543518066
5,0.26208335161209106,0.26208335161209106,0.5250000357627869,0.5250000357627869,0.26208335161209106,1258.0,0,1.0,0.0,1.0,1.0,0.29367148876190186,0.2006092220544815,0.09306228905916214,0.5641555190086365,-1.0728836485895954e-07,0.9973719716072083,-0.031236419454216957,0.5906822085380554,-3.889463755513134e-07,0.9979032278060913,-0.14442099630832672,-0.17565742135047913,1.023659586906433,1.070926547050476,-0.014532259665429592,-0.04366093873977661,0.14104166626930237,0.28616851568222046,-0.004630542825907469,0.6483333706855774,0.10037174820899963,0.28291645646095276,0.4125596284866333,0.3968871533870697,0.5778078436851501,0.789934515953064
6,0.2691666781902313,0.2691666781902313,0.5318750143051147,0.5318750143051147,0.2691666781902313,1292.0,0,1.0,0.0,1.0,1.0,0.2434772104024887,0.17461411654949188,0.06886310130357742,0.5386240482330322,2.182895997293599e-07,0.9972901940345764,-0.03899335488677025,0.5268265008926392,1.7069440971795302e-08,0.9976274967193604,-0.14056846499443054,-0.1795618236064911,1.0194239616394043,1.0458474159240723,-0.011490709148347378,-0.024803737178444862,0.132708340883255,0.22523219883441925,0.01980830729007721,0.6229166984558105,0.09531249850988388,0.2961798906326294,0.41021671891212463,0.38738739490509033,0.5731874108314514,0.811524361371994
7,0.2516666650772095,0.2516666650772095,0.5418750047683716,0.5418750047683716,0.2516666650772095,1208.0,0,1.0,0.0,1.0,1.0,0.24248000979423523,0.16471658647060394,0.07776344567537308,0.5096285343170166,1.406048824037498e-07,0.9974116683006287,-0.02817077748477459,0.44316914677619934,-8.536095386091347e-09,0.9978989958763123,-0.1911953240633011,-0.21936611831188202,1.0194170475006104,1.0521296262741089,-0.012396719306707382,-0.032666951417922974,0.11520833522081375,0.1986754983663559,0.08278937637805939,0.6227083206176758,0.10066225379705429,0.2802785336971283,0.3907284736633301,0.3243243396282196,0.5466448664665222,0.8435947299003601
8,0.26125001907348633,0.26125001907348633,0.5483333468437195,0.5483333468437195,0.26125001907348633,1254.0,0,1.0,0.0,1.0,1.0,0.22450846433639526,0.16484788060188293,0.05966060608625412,0.4944511651992798,-3.9106237181840697e-07,0.9973370432853699,-0.04094745218753815,0.4138149321079254,6.811280428564714e-08,0.9975718259811401,-0.23975051939487457,-0.2806979715824127,1.0190566778182983,1.0305064916610718,-0.012155505828559399,-0.005918919574469328,0.11520833522081375,0.1850079745054245,-0.032998260110616684,0.6135416626930237,0.09664429724216461,0.2917390465736389,0.359649121761322,0.3309481143951416,0.6182873845100403,0.8487200140953064
9,0.26250001788139343,0.26250001788139343,0.5479166507720947,0.5479166507720947,0.26250001788139343,1260.0,0,1.0,0.0,1.0,1.0,0.25169840455055237,0.1795659363269806,0.07213246822357178,0.4789349138736725,-1.0878593457164243e-06,0.9973394274711609,-0.04143824428319931,0.3943730890750885,-2.1408001771305862e-07,0.9983316659927368,-0.2744196355342865,-0.3158579170703888,1.0272458791732788,1.0282715559005737,-0.018171312287449837,-0.013993030413985252,0.13458333909511566,0.1428571492433548,0.07137716561555862,0.6274999976158142,0.11739131063222885,0.28756728768348694,0.3420634865760803,0.3010563254356384,0.625,0.859992504119873
10,0.25979167222976685,0.25979167222976685,0.5539583563804626,0.5539583563804626,0.25979167222976685,1247.0,0,1.0,0.0,1.0,1.0,0.24205994606018066,0.1795031726360321,0.06255678832530975,0.461123526096344,-2.780184331641067e-07,0.9973727464675903,-0.027772054076194763,0.3852492570877075,3.5356501371097693e-07,0.9971399307250977,-0.27534574270248413,-0.3031177818775177,1.021807312965393,1.0281919240951538,-0.014501433819532394,-0.008171255700290203,0.11520833522081375,0.16680032014846802,0.09955326467752457,0.6225000023841858,0.11354309320449829,0.2865265905857086,0.3480352759361267,0.28740158677101135,0.6106557250022888,0.8661781847476959
