epoch,critic_arch_mode,actor_input_mode,actor_raw_input_mode,critic_input_mode,policy_ratio_mode,reward_mode,value_target_mode,value_loss_mode,num_sensors,action_dim,episode_reward,episode_delay,episode_energy,avg_raw_total_backlog,avg_normalized_total_backlog,avg_normalized_avg_queue_len,episode_reward_delay_term,episode_reward_energy_term,episode_reward_backlog_term,avg_theta,num_steps,actor_loss,critic_loss,entropy,policy_entropy,raw_return_mean,raw_return_std,value_target_mean,value_target_std,advantage_mean,advantage_std,normalized_advantage_mean,normalized_advantage_std,positive_advantage_ratio,negative_advantage_ratio,delta_log_prob_selected_action_mean,delta_log_prob_selected_action_std,selected_action_prob_gain_mean,advantage_action_alignment,high_advantage_action_prob_gain,mid_advantage_action_prob_gain,low_advantage_action_prob_gain,negative_advantage_action_prob_gain,advantage_bucket_high_positive_threshold,advantage_bucket_near_zero_threshold,ratio_mean,ratio_std,ratio_min,ratio_max,clip_fraction,positive_adv_clip_fraction,negative_adv_clip_fraction,approx_kl,entropy_loss,policy_loss,ratio_by_adv_sign,logprob_delta_sum_mean,logprob_delta_sum_std,logprob_delta_mean_mean,logprob_delta_mean_std,sum_to_mean_scale_ratio,running_return_mean,running_return_std,popart_mean,popart_std,actor_grad_norm,action_distribution_std,action_prob_std,policy_std_mean,policy_logit_std,policy_confidence_mean,selected_action_histogram,critic_raw_prediction_mean,critic_raw_prediction_std,critic_normalized_prediction_mean,critic_normalized_prediction_std,value_explained_variance,prediction_target_corr,prediction_std_over_target_std,constant_baseline_mse,critic_prediction_mse,critic_vs_constant_mse_gain,constant_baseline_huber,critic_prediction_huber,critic_vs_constant_huber_gain,critic_hidden_feature_mean,critic_hidden_feature_std,critic_hidden_feature_dim_std_mean,critic_hidden_feature_dim_std_min,critic_head_weight_norm,critic_head_bias_mean,critic_backbone_grad_norm,critic_head_grad_norm,actor_input_mean,actor_input_std,actor_input_dim_std_mean,actor_input_dim_std_min,actor_input_clip_fraction,actor_input_derived_dim,actor_input_total_dim,actor_derived_feature_mean,actor_derived_feature_std,actor_raw_dim,actor_raw_pruned_dim_count,actor_raw_dim_std_mean,actor_raw_dim_std_min,actor_raw_zero_var_dim_count,actor_raw_static_zero_var_dim_count,critic_input_mean,critic_input_std,critic_input_dim_std_mean,critic_input_dim_std_min,critic_input_clip_fraction,critic_input_derived_dim,critic_input_total_dim,critic_derived_feature_mean,critic_derived_feature_std,prediction_target_payload_path,probe_policy_update_payload_path,probe_prediction_mean,probe_prediction_std,probe_prediction_min,probe_prediction_max,probe_prediction_range,probe_prediction_iqr,pairwise_prediction_distance_mean,probe_policy_pairwise_kl_mean,probe_policy_pairwise_l1_mean,policy_logit_delta_mean,policy_logit_delta_std,selected_action_change_rate,top1_action_change_rate,top1_prob_delta_mean
0,stronger_critic_backbone,normalized_augmented_actor_input,baseline_actor_raw,normalized_augmented_critic_input,current_joint_sum_ratio,per_sensor,popart_return_norm,huber,8,72,-157.27785496626092,1140.0167864067541,189.641793876796,9612983216.759508,4.2130535906428985,0.06795247726843388,142.50209830084427,1.185261211729974,13.590495453686776,0.4990709719225201,100,-0.10743302209302782,2.4232630491256715,30.20877628326416,30.20877628326416,-21.841066360473633,6.262200832366943,0.0,1.0,-22.253490447998047,6.308380126953125,-3.5762786065873797e-09,1.0,0.0,1.0,-1.3656947612762451,3.8429033756256104,32.73329162597656,0.7399135231971741,0.0,0.0,0.0,32.73329162597656,0.0,0.6308380126953126,33.73329162597656,194.90272521972656,4.4282271119300276e-05,1934.2784423828125,0.9800000190734863,0.0,0.9800000190734863,1.365694284439087,-0.03025319240987301,-0.15286433696746826,"{""negative"": {""count"": 100, ""max"": 1934.2784423828125, ""mean"": 33.73329162597656, ""min"": 4.4282271119300276e-05, ""std"": 194.90272521972656}, ""positive"": {""count"": 0, ""max"": 0.0, ""mean"": 0.0, ""min"": 0.0, ""std"": 0.0}}",-1.3656947612762451,3.8429033756256104,-0.01896798051893711,0.053373657166957855,71.99998420518372,-21.841066360473633,6.262200920592779,-21.841066360473633,6.262200920592779,5.988891576922469,0.13301417231559753,0.13301417231559753,0.3683406710624695,0.13301417231559753,0.28614282608032227,"{""0p5_to_1"": 649, ""1_to_2"": 19, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2935, ""neg_1_to_neg_0p5"": 688, ""neg_2_to_neg_1"": 36, ""zero_to_0p5"": 2873}",-9.585677146911621,1.22486412525177,1.9570419788360596,0.19559642672538757,0.14576101303100586,0.47040465474128723,0.19559642672538757,0.9999999403953552,4.68425178527832,-3.6842517852783203,0.4079832434654236,1.5140142440795898,-1.1060309410095215,-0.0010037681786343455,0.6982322335243225,0.30681365728378296,0.08720245212316513,0.22089457511901855,3.4712445735931396,0.6555382858499018,2.1268003771461372,0.21653100848197937,0.3633980453014374,0.14768022298812866,0.0,0.0,200,400,0.04594167321920395,0.28588351607322693,200,0,0.15303876996040344,0.0,42,42,1.082313247025013e-05,0.9015593528747559,0.8128217458724976,0.0,2.6737967345979996e-05,174,374,0.021845202893018723,0.25329434871673584,checkpoints\dense_policy_ratio_mode_experiment_20260317_083727\policy_ratio_current_joint_sum_ratio_20260317_083735_086508\prediction_target_payload_epoch_00.csv,checkpoints\dense_policy_ratio_mode_experiment_20260317_083727\policy_ratio_current_joint_sum_ratio_20260317_083735_086508\probe_policy_update_payload_epoch_00.csv,-7.3301286697387695,2.0334649085998535,-10.085676193237305,0.40595054626464844,10.491626739501953,2.6405022144317627,2.17464542388916,0.0057724714279174805,0.08345075696706772,0.01237576361745596,0.1531769335269928,0.06901041666666667,0.0006510416666666666,-0.004654269199818373
1,stronger_critic_backbone,normalized_augmented_actor_input,baseline_actor_raw,normalized_augmented_critic_input,current_joint_sum_ratio,per_sensor,popart_return_norm,huber,8,72,-149.54384062042405,1079.9739908587924,181.4135975591472,9125061573.013582,4.158109601282423,0.067066283891652,134.99674885734905,1.1338349847446687,13.413256778330402,0.5031804941624174,100,-0.06878944844938814,1.081950329616666,30.31871943473816,30.31871943473816,-26.202552795410156,7.361475944519043,-0.3040006756782532,1.026206374168396,-19.223596572875977,7.500382423400879,2.4080276261884137e-07,1.0,0.029999999329447746,0.9700000286102295,-2.0605385303497314,8.204756736755371,1245573.875,0.6723470091819763,17.59576416015625,90222128.0,7308.93603515625,353896.03125,2.6957485675811768,0.750038242340088,1245574.5,9380323.0,7.77980585227149e-14,90222128.0,1.0,1.0,1.0,2.0605385303497314,-0.030420389026403427,-0.14762061834335327,"{""negative"": {""count"": 97, ""max"": 28394200.0, ""mean"": 353897.03125, ""min"": 7.77980585227149e-14, ""std"": 2875439.75}, ""positive"": {""count"": 3, ""max"": 90222128.0, ""mean"": 30076486.0, ""min"": 18.59576416015625, ""std"": 42529392.0}}",-2.0605385303497314,8.204756736755371,-0.02861858904361725,0.11395495384931564,71.99999134805728,-24.021809577941895,7.173484937148589,-24.021809577941895,7.173484937148589,3.0306082833959334,0.19092030823230743,0.19092030823230743,0.3691982924938202,0.19092030823230743,0.4113842844963074,"{""0p5_to_1"": 771, ""1_to_2"": 47, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2833, ""neg_1_to_neg_0p5"": 709, ""neg_2_to_neg_1"": 50, ""zero_to_0p5"": 2790}",-23.42217254638672,6.939586639404297,0.08359044045209885,0.9673940539360046,0.7309184074401855,0.8590219616889954,0.9426895976066589,1.0530996322631836,0.4335966408252716,0.6195030212402344,0.39202046394348145,0.2083980143070221,0.18362244963645935,-0.0020086413715034723,0.7600343823432922,0.2977149486541748,0.0883965790271759,0.4146862030029297,3.3231241703033447,1.046276170551464,2.985696024749872,-0.007545075844973326,0.9835605621337891,0.8567149639129639,0.0,0.0007249999907799065,200,400,0.044722892343997955,0.2823665142059326,200,0,0.15794074535369873,0.0,42,42,-0.008323676884174347,0.9121623039245605,0.814008891582489,0.0,0.00021390373876783997,174,374,0.020745515823364258,0.24826836585998535,checkpoints\dense_policy_ratio_mode_experiment_20260317_083727\policy_ratio_current_joint_sum_ratio_20260317_083735_086508\prediction_target_payload_epoch_01.csv,checkpoints\dense_policy_ratio_mode_experiment_20260317_083727\policy_ratio_current_joint_sum_ratio_20260317_083735_086508\probe_policy_update_payload_epoch_01.csv,-17.923240661621094,14.037968635559082,-26.270156860351562,22.738998413085938,49.0091552734375,5.311835765838623,12.210647583007812,0.0017565120942890644,0.04505161568522453,0.002403530292212963,0.08154191821813583,0.039713541666666664,0.0026041666666666665,0.0007085406687110662
2,stronger_critic_backbone,normalized_augmented_actor_input,baseline_actor_raw,normalized_augmented_critic_input,current_joint_sum_ratio,per_sensor,popart_return_norm,huber,8,72,-163.13571520691798,1181.5773622412025,189.862585531786,9621300350.466211,4.418090167830102,0.07125951883596934,147.69717028015032,1.1866411595736626,14.25190376719387,0.5045197016783436,100,-0.09379543540999294,0.4941585410386324,30.52391037940979,30.52391037940979,-36.51287078857422,11.837944984436035,-0.7742096781730652,1.1005933284759521,-16.443557739257812,12.48542308807373,-6.914138594993346e-08,0.9999999403953552,0.10000000149011612,0.8999999761581421,-3.7913215160369873,9.157036781311035,534202.625,0.6221241354942322,3319886.25,1820363.5,119.68959045410156,365597.5625,13.59575366973877,1.248542308807373,534203.5625,3458717.75,2.6009478181236376e-14,31736192.0,0.9900000095367432,1.0,0.9888888597488403,3.7913215160369873,-0.030649030581116676,-0.14088305830955505,"{""negative"": {""count"": 90, ""max"": 31736192.0, ""mean"": 361536.375, ""min"": 2.6009478181236376e-14, ""std"": 3326751.75}, ""positive"": {""count"": 10, ""max"": 10878212.0, ""mean"": 2088209.0, ""min"": 6.4593048095703125, ""std"": 4163955.0}}",-3.7913215160369873,9.157036781311035,-0.052657242864370346,0.1271810680627823,71.9999874212369,-28.185496648152668,10.755966480236053,-28.185496648152668,10.755966480236053,5.014945451013931,0.2048196643590927,0.2048196643590927,0.3703736662864685,0.2048196643590927,0.43851417303085327,"{""0p5_to_1"": 782, ""1_to_2"": 41, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2719, ""neg_1_to_neg_0p5"": 766, ""neg_2_to_neg_1"": 55, ""zero_to_0p5"": 2837}",-36.08219528198242,11.771563529968262,-0.7341693043708801,1.0944217443466187,0.776075005531311,0.8874218463897705,0.9943925142288208,1.2113057374954224,0.2728448808193207,0.9384608268737793,0.47637298703193665,0.1137678250670433,0.36260515451431274,-3.385692980373278e-05,0.7512204647064209,0.347170352935791,0.13263298571109772,0.4502793252468109,2.594701051712036,1.2339003298304423,1.4538229225084385,0.02410806715488434,0.9447593688964844,0.840938925743103,0.0,0.000375000003259629,200,400,0.04635727405548096,0.28622469305992126,200,0,0.16003994643688202,0.0,42,42,0.014619610272347927,0.9148146510124207,0.8173863291740417,0.0,0.0002673796843737364,174,374,0.02173214964568615,0.25057631731033325,checkpoints\dense_policy_ratio_mode_experiment_20260317_083727\policy_ratio_current_joint_sum_ratio_20260317_083735_086508\prediction_target_payload_epoch_02.csv,checkpoints\dense_policy_ratio_mode_experiment_20260317_083727\policy_ratio_current_joint_sum_ratio_20260317_083735_086508\probe_policy_update_payload_epoch_02.csv,-28.778995513916016,20.53329849243164,-43.62206268310547,34.46616744995117,78.08823013305664,19.132617473602295,19.539216995239258,0.0013988114660605788,0.04036729410290718,0.0005897312657907605,0.07422135025262833,0.033203125,0.0013020833333333333,-5.2299932576715946e-05
3,stronger_critic_backbone,normalized_augmented_actor_input,baseline_actor_raw,normalized_augmented_critic_input,current_joint_sum_ratio,per_sensor,popart_return_norm,huber,8,72,-158.7191877921681,1147.3714199804776,188.802452494825,9505995636.527779,4.376500939619858,0.07058872483257835,143.4214274975597,1.180015328092655,14.11774496651567,0.5042956418973001,100,-0.14715803265571595,0.3154410879709758,30.745560312271117,30.745560312271117,-41.813751220703125,10.950800895690918,-0.830216646194458,0.8894793391227722,-14.45806884765625,23.06142234802246,-8.344650304081824e-09,1.0,0.1899999976158142,0.8100000023841858,0.960694432258606,8.98753833770752,2029892.5,0.6910521388053894,283846.5,1596692.625,994772.5625,2308504.25,17.30531883239746,2.306142234802246,2029893.5,13095788.0,3.831331085724088e-11,129266568.0,0.9900000095367432,0.9473684430122375,1.0,-0.9606945514678955,-0.0308434646576643,-0.14039269089698792,"{""negative"": {""count"": 81, ""max"": 129266568.0, ""mean"": 2251972.5, ""min"": 3.831331085724088e-11, ""std"": 14394350.0}, ""positive"": {""count"": 19, ""max"": 19137648.0, ""mean"": 1083135.625, ""min"": 0.9740703701972961, ""std"": 4267125.5}}",0.960694432258606,8.98753833770752,0.013342980295419693,0.12482692301273346,71.99999013859133,-31.592560291290283,12.311473034414732,-31.592560291290283,12.311473034414732,5.9599607835770785,0.21586763858795166,0.21586763858795166,0.37137624621391296,0.21586763858795166,0.4611298739910126,"{""0p5_to_1"": 770, ""1_to_2"": 67, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2737, ""neg_1_to_neg_0p5"": 754, ""neg_2_to_neg_1"": 60, ""zero_to_0p5"": 2812}",-41.82798767089844,9.388121604919434,-0.8313730359077454,0.7625505924224854,0.9275868535041809,0.9696431159973145,0.8572999238967896,0.7911734580993652,0.05729269981384277,0.7338807582855225,0.3078833222389221,0.028630385175347328,0.27925294637680054,-0.0018687781412154436,0.7514708042144775,0.29181423783302307,0.09555532038211823,0.440410852432251,2.539760112762451,1.8537657904224836,0.61127021520318,0.006039217580109835,0.9138380885124207,0.8174780011177063,0.0,0.0001500000071246177,200,400,0.04565155878663063,0.28359436988830566,200,0,0.15782688558101654,0.0,42,42,0.003491379087790847,0.9000025987625122,0.8046972155570984,0.0,0.00010695186938391998,174,374,0.02123011089861393,0.24866527318954468,checkpoints\dense_policy_ratio_mode_experiment_20260317_083727\policy_ratio_current_joint_sum_ratio_20260317_083735_086508\prediction_target_payload_epoch_03.csv,checkpoints\dense_policy_ratio_mode_experiment_20260317_083727\policy_ratio_current_joint_sum_ratio_20260317_083735_086508\probe_policy_update_payload_epoch_03.csv,-39.38381576538086,10.71658706665039,-48.516029357910156,-3.2883663177490234,45.22766304016113,7.717097282409668,10.390645980834961,0.0016182027757167816,0.04303919896483421,-0.00044213596265763044,0.0817580595612526,0.036458333333333336,0.00390625,1.1727989658538718e-05
4,stronger_critic_backbone,normalized_augmented_actor_input,baseline_actor_raw,normalized_augmented_critic_input,current_joint_sum_ratio,per_sensor,popart_return_norm,huber,8,72,-160.17104354957385,1157.0592672964121,191.00113385890947,9580709985.923985,4.44691219578027,0.07172439025452051,144.63240841205152,1.193757086618184,14.344878050904102,0.5105306478457043,100,-0.1586288849823177,0.2026144568575546,30.918795824050903,30.918795824050903,-49.752838134765625,14.293291091918945,-0.991081953048706,0.9750555157661438,-10.297611236572266,16.06817054748535,4.708767065153552e-08,1.0,0.1599999964237213,0.8399999737739563,-0.9039164185523987,7.70501708984375,6369600.0,0.6650279760360718,91575.0703125,56521256.0,1654424.375,101754.21875,30.830371856689453,1.6068170547485352,6369600.5,61776216.0,2.0834427932880928e-12,620964352.0,1.0,1.0,1.0,0.9039159417152405,-0.031049327924847603,-0.14089125394821167,"{""negative"": {""count"": 84, ""max"": 6984446.5, ""mean"": 176903.125, ""min"": 2.0834427932880928e-12, ""std"": 1019466.6875}, ""positive"": {""count"": 16, ""max"": 620964352.0, ""mean"": 38881264.0, ""min"": 1.7880439758300781, ""std"": 150293312.0}}",-0.9039164185523987,7.70501708984375,-0.012554395943880081,0.10701412707567215,71.9999872962406,-35.22461585998535,14.658950732767627,-35.22461585998535,14.658950732767627,5.280251263797939,0.23189860582351685,0.23189860582351685,0.3724423348903656,0.23189860582351685,0.49521738290786743,"{""0p5_to_1"": 810, ""1_to_2"": 68, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2712, ""neg_1_to_neg_0p5"": 736, ""neg_2_to_neg_1"": 69, ""zero_to_0p5"": 2805}",-49.65084457397461,13.542817115783691,-0.9841242432594299,0.9238599538803101,0.9715399742126465,0.9864361882209778,0.9474947452545166,0.9507332444190979,0.02710629440844059,0.9236269593238831,0.36222970485687256,0.013553147204220295,0.34867656230926514,-0.004282074049115181,0.756479024887085,0.32209575176239014,0.11545690894126892,0.44406500458717346,2.376509189605713,1.1235855591950137,0.8231585730854981,0.007842474617064,0.944035530090332,0.8379178047180176,0.0,0.0006500000017695129,200,400,0.045532021671533585,0.2874431312084198,200,0,0.1596371978521347,0.0,42,42,0.005910707172006369,0.9226807951927185,0.8198156356811523,0.0,0.00042780747753567994,174,374,0.02137116529047489,0.25465911626815796,checkpoints\dense_policy_ratio_mode_experiment_20260317_083727\policy_ratio_current_joint_sum_ratio_20260317_083735_086508\prediction_target_payload_epoch_04.csv,checkpoints\dense_policy_ratio_mode_experiment_20260317_083727\policy_ratio_current_joint_sum_ratio_20260317_083735_086508\probe_policy_update_payload_epoch_04.csv,-47.244876861572266,13.315986633300781,-59.12565612792969,-3.1186752319335938,56.006980895996094,12.05869197845459,13.199040412902832,0.0012165462831035256,0.0375036783516407,-0.002130159642547369,0.07146871834993362,0.030598958333333332,0.005859375,0.0010149887530133128
