epoch,offload_active_fraction,route_logprob_active_fraction,theta_positive_fraction,route_credit_gate_fraction,route_credit_effective_fraction,route_credit_effective_count,route_credit_fallback_trigger_count,route_credit_weight_mean,route_credit_weight_std,route_credit_weight_min,route_credit_weight_max,theta_selected_score_mean,theta_expected_score_mean,theta_residual_credit_mean,theta_residual_credit_std,theta_candidate_score_mean,theta_candidate_score_std,route_residual_credit_mean,route_residual_credit_std,route_candidate_score_mean,route_candidate_score_std,route_expected_score_mean,route_selected_score_mean,theta_ratio_mean,route_ratio_mean,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,advantage_action_alignment,offload_decision_agreement_ratio,actual_offload_rate_when_theta_true_gap_positive,actual_offload_rate_when_theta_true_gap_negative,conditional_policy_consistency_score
0,0.4970833361148834,0.4970833361148834,0.49125000834465027,0.49125000834465027,0.4970833361148834,1193.0,0,1.0,0.0,1.0,1.0,0.004999730736017227,0.0026569091714918613,0.002342824824154377,0.9875488877296448,-1.2715657859985185e-08,0.994975745677948,0.0,0.0,0.0,0.0,0.0,0.0,1.0041003227233887,1.0014052391052246,0.008929979987442493,0.008539398200809956,0.1795833259820938,0.107292540371418,-0.07958312332630157,0.502916693687439,0.0,0.4974747598171234,0.5058320462703705
1,0.4970833361148834,0.4970833361148834,0.4925000071525574,0.4925000071525574,0.4970833361148834,1193.0,0,1.0,0.0,1.0,1.0,0.004166460130363703,0.002499112393707037,0.001667351694777608,0.9580220580101013,-2.543131571997037e-08,0.994975209236145,0.0,0.0,0.0,0.0,0.0,0.0,1.005289077758789,0.9971001744270325,0.0035701151937246323,0.01863214187324047,0.13500000536441803,0.28080469369888306,-0.08193326741456985,0.503333330154419,1.0,0.4981052577495575,0.5208176374435425
2,0.4833333194255829,0.4833333194255829,0.49041667580604553,0.49041667580604553,0.4833333194255829,1160.0,0,1.0,0.0,1.0,1.0,0.032499250024557114,0.013652327470481396,0.018846917897462845,0.922498345375061,1.2715657859985185e-08,0.9949750900268555,0.0,0.0,0.0,0.0,0.0,0.0,0.9940289258956909,0.9982360601425171,0.013682018965482712,0.015389150008559227,0.11166666448116302,0.22068965435028076,0.05848333239555359,0.51541668176651,0.20000000298023224,0.4829185903072357,0.538595974445343
3,0.4829166531562805,0.4829166531562805,0.4808333218097687,0.4808333218097687,0.4829166531562805,1159.0,0,1.0,0.0,1.0,1.0,0.03249963000416756,0.006438239477574825,0.026061397045850754,0.9085115194320679,-1.2715657859985185e-08,0.9949753284454346,0.0,0.0,0.0,0.0,0.0,0.0,1.0027718544006348,1.0031733512878418,0.004204788710922003,0.014472339302301407,0.08666666597127914,0.2855910360813141,-0.07774760574102402,0.5162500143051147,0.3333333432674408,0.4831223487854004,0.5558553040027618
4,0.4754166603088379,0.4754166603088379,0.49416667222976685,0.49416667222976685,0.4754166603088379,1141.0,0,1.0,0.0,1.0,1.0,0.04749874770641327,0.009621070697903633,0.037877678871154785,0.873241662979126,-2.543131571997037e-08,0.9949739575386047,0.0,0.0,0.0,0.0,0.0,0.0,0.99112468957901,0.995905876159668,0.01591361127793789,0.019060183316469193,0.09125000238418579,0.23838737607002258,-0.07801847904920578,0.5241666436195374,0.4545454680919647,0.4756871163845062,0.5752474069595337
