block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,theta_advantage_mean,theta_advantage_std,theta_advantage_max,theta_advantage_min,route_advantage_mean,route_advantage_std,route_advantage_max,route_advantage_min,theta_selected_action_prob_gain_mean,theta_selected_action_prob_gain_std,route_selected_action_prob_gain_mean,route_selected_action_prob_gain_std,theta_clip_fraction,route_clip_fraction,offload_vs_local_value_gap_mean,offload_vs_local_value_gap_std,bs1_vs_bs2_value_gap_mean,bs1_vs_bs2_value_gap_std,epoch
0,0,3,3,dispatch_decision_block,theta_route_split_advantage_surrogate,-0.0019126713741570711,0.3065081238746643,1.0050231218338013,-1.207220196723938,0.00860802922397852,0.32238826155662537,0.6149572730064392,-1.2416229248046875,0.005483980290591717,0.13300921022891998,0.023173877969384193,0.20256151258945465,0.14000000059604645,0.23000000417232513,-0.13091951608657837,0.2172955721616745,-0.5000983476638794,0.27542203664779663,0
1,3,6,3,dispatch_decision_block,theta_route_split_advantage_surrogate,0.0076501574367284775,0.31937527656555176,0.8882334232330322,-0.8339061737060547,0.0030751561280339956,0.30598631501197815,0.9508898854255676,-0.6713945269584656,0.007520330138504505,0.09285058826208115,-0.05670697242021561,0.2776784598827362,0.05000000074505806,0.36000001430511475,-0.34143322706222534,0.23528455197811127,-0.08800922334194183,0.24873964488506317,0
2,6,9,3,dispatch_decision_block,theta_route_split_advantage_surrogate,0.002139271469786763,0.3208533823490143,0.8018012642860413,-1.1400296688079834,-0.0005069065373390913,0.28421926498413086,0.6819013357162476,-0.7358816266059875,-0.01353469118475914,0.16354626417160034,-0.021541228517889977,0.1447862982749939,0.20000000298023224,0.17000000178813934,-0.23129096627235413,0.2669669985771179,0.027573542669415474,0.25690117478370667,0
3,9,12,3,dispatch_decision_block,theta_route_split_advantage_surrogate,-0.01763492077589035,0.26263800263404846,0.7366198301315308,-0.597460150718689,0.013102135621011257,0.283982515335083,0.8464617729187012,-0.6485598087310791,-0.031558793038129807,0.1896640509366989,-0.00025878072483465075,0.1992117166519165,0.2199999988079071,0.20000000298023224,0.7475523352622986,0.22409354150295258,-0.47914543747901917,0.23128482699394226,0
4,12,15,3,dispatch_decision_block,theta_route_split_advantage_surrogate,0.014726346358656883,0.32972463965415955,0.9911386966705322,-0.8698239326477051,-0.0064405412413179874,0.33128926157951355,1.0767486095428467,-1.0104869604110718,-0.018122291192412376,0.10653534531593323,-0.001082537230104208,0.24122914671897888,0.10000000149011612,0.23999999463558197,-0.8110664486885071,0.2907644510269165,0.4109755754470825,0.26550933718681335,0
5,15,18,3,dispatch_decision_block,theta_route_split_advantage_surrogate,0.004043428227305412,0.2819540202617645,0.5418619513511658,-0.8217499256134033,-0.005270889960229397,0.2782992124557495,0.657479465007782,-0.8423751592636108,-0.008961946703493595,0.21674466133117676,0.014874517917633057,0.2687104046344757,0.10999999940395355,0.3499999940395355,0.052051201462745667,0.20694425702095032,0.09225071221590042,0.2132713347673416,0
6,18,21,3,dispatch_decision_block,theta_route_split_advantage_surrogate,-0.012345296330749989,0.29261741042137146,0.7135540843009949,-0.8563340902328491,-0.00983007438480854,0.3018416464328766,0.7134717106819153,-0.9026871919631958,0.0231140349060297,0.20833149552345276,-0.02866321988403797,0.16264638304710388,0.2800000011920929,0.17000000178813934,0.39699897170066833,0.24557901918888092,0.5076344609260559,0.25796014070510864,0
7,21,24,3,dispatch_decision_block,theta_route_split_advantage_surrogate,0.007299477234482765,0.30775701999664307,1.0260859727859497,-0.7612445950508118,0.0021327317226678133,0.33850809931755066,0.9257684350013733,-0.9450755715370178,-0.029324166476726532,0.144882470369339,0.02002927102148533,0.1838783621788025,0.1599999964237213,0.20999999344348907,-0.5430680513381958,0.2754867970943451,-0.18948882818222046,0.2545475363731384,0
8,24,27,3,dispatch_decision_block,theta_route_split_advantage_surrogate,-0.0015948552172631025,0.258307546377182,0.648946225643158,-0.6492407321929932,0.009646560996770859,0.3114599287509918,0.8499482870101929,-0.843029260635376,-0.006956853903830051,0.13471822440624237,-0.0009782254928722978,0.18764770030975342,0.15000000596046448,0.20999999344348907,-0.25497522950172424,0.21909351646900177,-0.663983166217804,0.25984737277030945,0
9,27,30,3,dispatch_decision_block,theta_route_split_advantage_surrogate,-0.027463579550385475,0.3292466700077057,0.5577514171600342,-0.8641555309295654,-0.00854505505412817,0.37389427423477173,1.2038381099700928,-0.9308369159698486,-0.0020463895052671432,0.09019879996776581,0.013502738438546658,0.24227145314216614,0.03999999910593033,0.23999999463558197,0.6499761343002319,0.2726399004459381,0.4277079403400421,0.33447977900505066,0
10,30,33,3,dispatch_decision_block,theta_route_split_advantage_surrogate,-0.02292400784790516,0.27564311027526855,0.8253198862075806,-1.1207773685455322,0.001148297800682485,0.2724628746509552,1.0270828008651733,-0.7880716323852539,-0.009028403088450432,0.09598355740308762,0.05043959617614746,0.1903144270181656,0.07000000029802322,0.1899999976158142,0.908698558807373,0.28639963269233704,-0.22447620332241058,0.21720445156097412,0
11,33,36,3,dispatch_decision_block,theta_route_split_advantage_surrogate,0.0008036434883251786,0.3002590239048004,0.7748068571090698,-0.6477558612823486,-0.00977291539311409,0.30223584175109863,0.7692221403121948,-0.8548778891563416,0.0021397441159933805,0.1673092395067215,0.0006251233862712979,0.21468576788902283,0.14000000059604645,0.2199999988079071,-0.18149016797542572,0.19632627069950104,0.343629390001297,0.2719411551952362,0
12,36,39,3,dispatch_decision_block,theta_route_split_advantage_surrogate,-0.009617285802960396,0.2721078097820282,0.548919141292572,-0.7567214965820312,0.0006676443153992295,0.24076007306575775,0.9386006593704224,-0.6074867248535156,0.01052071526646614,0.13767679035663605,-0.012360045686364174,0.1684478372335434,0.12999999523162842,0.1599999964237213,0.2197050154209137,0.2204127013683319,-0.1885756254196167,0.22747299075126648,0
13,39,42,3,dispatch_decision_block,theta_route_split_advantage_surrogate,-0.018316376954317093,0.28853029012680054,0.5362682342529297,-0.75483638048172,-0.022220060229301453,0.32110002636909485,0.635779619216919,-0.7759864926338196,0.0008862292743287981,0.14008136093616486,-0.008279428817331791,0.20078641176223755,0.12999999523162842,0.18000000715255737,0.6245936751365662,0.26053041219711304,1.1001867055892944,0.31267303228378296,0
