seed,epochs_completed,best_reward,final_reward,best_epoch,reward_gap,final_critic_loss,avg_theta_last10_mean
2025,10,-393.9177584310141,-404.7455371234119,6,-10.827778692397828,2553.317678833008,0.49193987253880955
2026,9,-405.48320862687706,-409.78594392682567,5,-4.302735299948608,2682.8986083984373,0.4860824643872217
2027,8,-399.01754866458435,-409.5611573782698,4,-10.543608713685444,2699.080920410156,0.49510210783825315
2028,7,-403.2554368250753,-409.82017257327544,3,-6.564735748200121,2803.0353576660154,0.4964515240291666
2029,6,-401.6069865424007,-409.09642406909575,2,-7.489437526695042,2808.784533691406,0.4903790003344682
