epoch,critic_arch_mode,actor_input_mode,critic_input_mode,reward_mode,value_target_mode,value_loss_mode,num_sensors,episode_reward,episode_delay,episode_energy,avg_raw_total_backlog,avg_normalized_total_backlog,avg_normalized_avg_queue_len,episode_reward_delay_term,episode_reward_energy_term,episode_reward_backlog_term,avg_theta,num_steps,actor_loss,critic_loss,entropy,policy_entropy,raw_return_mean,raw_return_std,value_target_mean,value_target_std,advantage_mean,advantage_std,normalized_advantage_mean,normalized_advantage_std,running_return_mean,running_return_std,popart_mean,popart_std,actor_grad_norm,action_distribution_std,action_prob_std,policy_std_mean,policy_logit_std,policy_confidence_mean,selected_action_histogram,critic_raw_prediction_mean,critic_raw_prediction_std,critic_normalized_prediction_mean,critic_normalized_prediction_std,value_explained_variance,prediction_target_corr,prediction_std_over_target_std,constant_baseline_mse,critic_prediction_mse,critic_vs_constant_mse_gain,constant_baseline_huber,critic_prediction_huber,critic_vs_constant_huber_gain,critic_hidden_feature_mean,critic_hidden_feature_std,critic_hidden_feature_dim_std_mean,critic_hidden_feature_dim_std_min,critic_head_weight_norm,critic_head_bias_mean,critic_backbone_grad_norm,critic_head_grad_norm,actor_input_mean,actor_input_std,actor_input_dim_std_mean,actor_input_dim_std_min,actor_input_clip_fraction,actor_input_derived_dim,actor_input_total_dim,actor_derived_feature_mean,actor_derived_feature_std,critic_input_mean,critic_input_std,critic_input_dim_std_mean,critic_input_dim_std_min,critic_input_clip_fraction,critic_input_derived_dim,critic_input_total_dim,critic_derived_feature_mean,critic_derived_feature_std,prediction_target_payload_path,probe_prediction_mean,probe_prediction_std,probe_prediction_min,probe_prediction_max,probe_prediction_range,probe_prediction_iqr,pairwise_prediction_distance_mean
0,stronger_critic_backbone,normalized_augmented_actor_input,normalized_augmented_critic_input,per_sensor,popart_return_norm,huber,8,-157.27785484550998,1140.016785437871,189.6417937639292,9612983211.543306,4.213053590972995,0.06795247727375794,142.50209817973388,1.185261211024558,13.59049545475159,0.49907097193694844,100,-0.025088985729962588,2.4232630372047423,30.287645387649537,30.287645387649537,-21.841066360473633,6.262200832366943,5.9604645663569045e-09,1.0,-22.253490447998047,6.308380126953125,-1.19209286886246e-09,1.0,-21.841066360473633,6.262200920592779,-21.841066360473633,6.262200920592779,2.1142102098549893,0.1726231426000595,0.1726231426000595,0.36939120292663574,0.1726231426000595,0.3709518015384674,"{""0p5_to_1"": 649, ""1_to_2"": 19, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2935, ""neg_1_to_neg_0p5"": 688, ""neg_2_to_neg_1"": 36, ""zero_to_0p5"": 2873}",-9.585676193237305,1.224863886833191,1.9570419788360596,0.19559639692306519,0.14576095342636108,0.4704046845436096,0.19559639692306519,0.9999999403953552,4.6842522621154785,-3.6842522621154785,0.4079832434654236,1.5140142440795898,-1.1060309410095215,-0.0010037710890173912,0.6982322335243225,0.30681365728378296,0.08720246702432632,0.22089457511901855,3.4712445735931396,0.6555382284237472,2.1268004196121515,5.038223389419727e-05,0.9080194234848022,0.8247365355491638,0.0,4.999999873689376e-05,200,400,0.04594167321920395,0.28588351607322693,1.082231665350264e-05,0.9015593528747559,0.8128217458724976,0.0,2.6737967345979996e-05,174,374,0.021845201030373573,0.25329434871673584,D:\MEC_PPO\checkpoints\dense_actor_input_experiment_20260316_172945\actor_input_normalized_augmented_actor_input_20260316_173101_489718\prediction_target_payload_epoch_00.csv,-7.304001331329346,2.106095552444458,-10.085675239562988,0.5804901123046875,10.666165351867676,2.7059576511383057,2.245274066925049
1,stronger_critic_backbone,normalized_augmented_actor_input,normalized_augmented_critic_input,per_sensor,popart_return_norm,huber,8,-149.48827197153952,1079.5529200999847,181.1950357549901,9125799230.871658,4.157623275527553,0.06705843992786381,134.9441150124981,1.1324689734686884,13.411687985572764,0.5020426241359154,100,-0.052858649753034115,1.0838481534272433,30.6130952835083,30.6130952835083,-26.187074661254883,7.355226039886475,-0.3031564950942993,1.026129961013794,-19.235767364501953,7.48132848739624,-1.19209286886246e-09,1.0,-24.014070510864258,7.1679287252556,-24.014070510864258,7.1679287252556,2.138665675789116,0.1888868361711502,0.1888868361711502,0.37131744623184204,0.1888868361711502,0.4055001437664032,"{""0p5_to_1"": 756, ""1_to_2"": 46, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2870, ""neg_1_to_neg_0p5"": 724, ""neg_2_to_neg_1"": 55, ""zero_to_0p5"": 2749}",-23.831436157226562,6.03125524520874,0.025479631498456,0.8414223194122314,0.7326468825340271,0.8567361235618591,0.8199958801269531,1.0529426336288452,0.3895092010498047,0.6634334325790405,0.3916769027709961,0.18870729207992554,0.20296961069107056,-0.0015855225501582026,0.7613101601600647,0.26641276478767395,0.06843960285186768,0.4143383502960205,3.3246490955352783,1.0479589939695466,2.984670535806308,-0.008682958781719208,0.9192699790000916,0.8265179991722107,0.0,0.0002500000118743628,200,400,0.0447433777153492,0.2823970913887024,-0.008356055244803429,0.912262499332428,0.8140664100646973,0.0,0.00021390373876783997,174,374,0.020747536793351173,0.24826741218566895,D:\MEC_PPO\checkpoints\dense_actor_input_experiment_20260316_172945\actor_input_normalized_augmented_actor_input_20260316_173101_489718\prediction_target_payload_epoch_01.csv,-17.771812438964844,14.01810359954834,-26.218334197998047,22.78289222717285,49.0012264251709,5.515390872955322,12.324722290039062
2,stronger_critic_backbone,normalized_augmented_actor_input,normalized_augmented_critic_input,per_sensor,popart_return_norm,huber,8,-163.45041078307935,1184.1394335273408,189.74897467534862,9624574338.992817,4.416585655136684,0.07123525250220453,148.0174291909176,1.185931091720929,14.247050500440904,0.5036274023085181,100,-0.08820265377871692,0.510103834234178,30.955286264419556,30.955286264419556,-36.706275939941406,11.791158676147461,-0.784294068813324,1.0929230451583862,-16.47812271118164,12.394410133361816,1.2636184010261786e-07,1.0,-28.244805653889973,10.788644595572922,-28.244805653889973,10.788644595572922,4.637399150160708,0.20676299929618835,0.20676299929618835,0.3727012872695923,0.20676299929618835,0.4414936602115631,"{""0p5_to_1"": 787, ""1_to_2"": 56, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2730, ""neg_1_to_neg_0p5"": 797, ""neg_2_to_neg_1"": 60, ""zero_to_0p5"": 2770}",-37.72051239013672,9.411446571350098,-0.8783038258552551,0.8723474740982056,0.7617465853691101,0.8762674927711487,0.7981783151626587,1.1944808959960938,0.2934270203113556,0.9010539054870605,0.46878090500831604,0.12988470494747162,0.3388962149620056,-0.00019280091510154307,0.758754312992096,0.29636096954345703,0.10250721871852875,0.445404589176178,2.5925822257995605,1.3867321451000565,1.4983866287551244,0.014815214090049267,0.9215217232704163,0.8297427892684937,0.0,0.0003000000142492354,200,400,0.04637100547552109,0.2862497568130493,0.01459048967808485,0.9150667190551758,0.8176612854003906,0.0,0.0002673796843737364,174,374,0.021732984110713005,0.25058168172836304,D:\MEC_PPO\checkpoints\dense_actor_input_experiment_20260316_172945\actor_input_normalized_augmented_actor_input_20260316_173101_489718\prediction_target_payload_epoch_02.csv,-27.727832794189453,21.261028289794922,-43.1838264465332,34.9901123046875,78.1739387512207,20.79028558731079,20.596256256103516
3,stronger_critic_backbone,normalized_augmented_actor_input,normalized_augmented_critic_input,per_sensor,popart_return_norm,huber,8,-158.83899394235704,1148.11708744517,188.81250293517786,9507339906.398117,4.384726759193422,0.07072139934182937,143.51463593064625,1.1800781433448622,14.144279868365876,0.5047062332455865,100,-0.12313589993864298,0.31499586097197607,31.172703218460082,31.172703218460082,-43.17179870605469,11.015252113342285,-0.8867036700248718,0.8724479079246521,-14.243341445922852,23.996715545654297,-3.33786012163273e-08,1.0,-31.976553916931152,12.62568495889821,-31.976553916931152,12.62568495889821,7.44519955611796,0.2180880904197693,0.2180880904197693,0.37355878949165344,0.2180880904197693,0.46611711382865906,"{""0p5_to_1"": 789, ""1_to_2"": 59, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2751, ""neg_1_to_neg_0p5"": 743, ""neg_2_to_neg_1"": 58, ""zero_to_0p5"": 2800}",-42.950401306152344,9.677148818969727,-0.8691684007644653,0.7664652466773987,0.9084115028381348,0.9562721848487854,0.8785226345062256,0.7611653208732605,0.07002148777246475,0.691143810749054,0.2881307899951935,0.03497285023331642,0.25315794348716736,-0.001911258790642023,0.7543069124221802,0.27953872084617615,0.10126767307519913,0.43476226925849915,2.506819009780884,1.7225103401573105,0.7152289352648319,0.0036325484979897738,0.9056987762451172,0.8157116770744324,0.0,0.0001500000071246177,200,400,0.04566005989909172,0.2836269736289978,0.003715663682669401,0.9004480242729187,0.805046021938324,0.0,0.00010695186938391998,174,374,0.02123333141207695,0.2486853003501892,D:\MEC_PPO\checkpoints\dense_actor_input_experiment_20260316_172945\actor_input_normalized_augmented_actor_input_20260316_173101_489718\prediction_target_payload_epoch_03.csv,-40.66743469238281,11.14751148223877,-49.22426223754883,2.5411911010742188,51.76545333862305,6.867613792419434,10.118148803710938
4,stronger_critic_backbone,normalized_augmented_actor_input,normalized_augmented_critic_input,per_sensor,popart_return_norm,huber,8,-159.86707877955402,1155.019218365061,190.73011197261587,9585762372.012749,4.432260118068723,0.0714880664204633,144.37740229563263,1.1920631998288493,14.297613284092662,0.5065024974553243,100,-0.15924622677266598,0.20933953784406184,31.3619873046875,31.3619873046875,-51.0538330078125,14.58801555633545,-1.0100319385528564,0.9654393792152405,-9.788703918457031,15.26191234588623,4.231929651155042e-08,1.0,-35.79200973510742,15.110234549187835,-35.79200973510742,15.110234549187835,5.958843168782743,0.23899385333061218,0.23899385333061218,0.37489721179008484,0.23899385333061218,0.5019699931144714,"{""0p5_to_1"": 814, ""1_to_2"": 64, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2723, ""neg_1_to_neg_0p5"": 792, ""neg_2_to_neg_1"": 93, ""zero_to_0p5"": 2714}",-49.721988677978516,13.421512603759766,-0.9218899607658386,0.888239860534668,0.9488399028778076,0.9756717085838318,0.9200369119644165,0.9320732951164246,0.05545394495129585,0.8766193389892578,0.35316717624664307,0.027726972475647926,0.3254401981830597,-0.0029629943892359734,0.7556223273277283,0.3288074731826782,0.09564463049173355,0.43325886130332947,2.343172788619995,1.1618044229661022,0.9540535052848467,0.004312064964324236,0.9265704154968262,0.829368531703949,0.0,0.0005249999812804163,200,400,0.045543279498815536,0.2874280512332916,0.0054497867822647095,0.9212363362312317,0.8185430765151978,0.0,0.0005080213886685669,174,374,0.021369539201259613,0.25463202595710754,D:\MEC_PPO\checkpoints\dense_actor_input_experiment_20260316_172945\actor_input_normalized_augmented_actor_input_20260316_173101_489718\prediction_target_payload_epoch_04.csv,-47.42955780029297,13.222443580627441,-59.43022155761719,-5.296148300170898,54.13407325744629,8.602142333984375,13.028611183166504
