epoch,policy_surrogate_mode,actor_structure_mode,route_gate_mean,route_gate_std,route_gate_min,route_gate_max,route_gate_active_fraction,offload_rate_mean,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm
0,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.5022043585777283,0.09497511386871338,0.21708457171916962,0.7896384596824646,0.5133333206176758,0.5022043585777283,0.06620866343702414,0.07591556840470907,0.06679309455645253,0.05484132870757801
1,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.4976450800895691,0.10931804776191711,0.16666072607040405,0.8262150287628174,0.48625001311302185,0.4976450800895691,0.06597777047345034,0.08511076353173042,0.08898766751205632,0.09260667768237316
2,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.4775775372982025,0.15473441779613495,0.07028552144765854,0.933743417263031,0.43312501907348633,0.4775775372982025,0.060681462029427626,0.08718858673060471,0.09652541008994893,0.10534233003122921
3,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.43183523416519165,0.19607527554035187,0.026569122448563576,0.9643053412437439,0.359375,0.43183523416519165,0.05343882812551915,0.09233336168795053,0.08886693408443297,0.12437272943179285
4,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3556241989135742,0.22681111097335815,0.01661587506532669,0.9649325013160706,0.26770833134651184,0.3556241989135742,0.049197379165716384,0.101683585146598,0.075661438312311,0.1567948068219344
5,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3225615918636322,0.2553595304489136,0.005262172315269709,0.9816595911979675,0.2522916793823242,0.3225615918636322,0.044915014246951816,0.08592742224455295,0.07271108461397877,0.15554122301461504
6,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3337858319282532,0.2732572555541992,0.003942690324038267,0.9850436449050903,0.27687501907348633,0.3337858319282532,0.040823937065146455,0.07495554781177745,0.07101860974267823,0.14458881573774224
7,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3242092430591583,0.2796524465084076,0.007595309522002935,0.9937357902526855,0.26750001311302185,0.3242092430591583,0.037209897055439096,0.06810753814053846,0.06761831557756777,0.13748952016626823
8,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3178386092185974,0.2896769046783447,0.005798168480396271,0.9973763227462769,0.26500001549720764,0.3178386092185974,0.03219730101925883,0.05469293768609039,0.06155197601332885,0.10857757356519106
9,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3157985508441925,0.2938654124736786,0.006794335320591927,0.9983727931976318,0.2554166615009308,0.3157985508441925,0.032350144484244815,0.05917364370626146,0.06483890473623259,0.11770742408731388
10,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.30288225412368774,0.30005642771720886,0.0059818606823682785,0.9988188147544861,0.25333333015441895,0.30288225412368774,0.0311324644254287,0.05380420208436162,0.06538525618484041,0.12696035720602794
11,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.36557021737098694,0.3263567090034485,0.006045209709554911,0.9986615180969238,0.3243750035762787,0.36557021737098694,0.027291210712048174,0.041902300623503475,0.0637508523079335,0.08190671154559861
