epoch,advantage_action_alignment,joint_approx_kl,joint_clip_fraction,joint_selected_score_mean,joint_expected_score_mean,joint_residual_credit_mean,joint_residual_credit_std,joint_action_decision_agreement_ratio_under_td_aligned
0,0.16915985941886902,0.0376652292907238,0.4622916877269745,0.06485716253519058,0.10650289058685303,-0.04164573550224304,1.0261670351028442,0.38604167103767395
1,0.0019576787017285824,0.0019084397936239839,0.7122916579246521,0.2979613244533539,0.17715366184711456,0.12080764770507812,0.9692192077636719,0.41875001788139343
2,0.18427647650241852,-0.02705691009759903,0.6054166555404663,0.48544302582740784,0.2798500061035156,0.2055930197238922,0.8370104432106018,0.43041667342185974
3,0.30651968717575073,-0.04396830499172211,0.4727083444595337,0.5801257491111755,0.35472550988197327,0.22540023922920227,0.7105599045753479,0.4827083349227905
4,-0.14117272198200226,-0.052332308143377304,0.3139583468437195,0.6715074777603149,0.4410529136657715,0.23045453429222107,0.5750726461410522,0.4704166650772095
5,0.019810305908322334,-0.025000305846333504,0.24187500774860382,0.6390852928161621,0.45876750349998474,0.18031784892082214,0.5122534036636353,0.42375001311302185
6,0.1771335005760193,-0.020725153386592865,0.21437500417232513,0.7019646167755127,0.5196799039840698,0.18228475749492645,0.4783177971839905,0.4583333432674408
7,-0.08764304965734482,-0.02390611730515957,0.20083333551883698,0.7588298320770264,0.5769978165626526,0.1818319708108902,0.4353366196155548,0.4593750238418579
8,-0.006550114136189222,-0.009481397457420826,0.18520833551883698,0.7089250683784485,0.5539067387580872,0.1550184190273285,0.40535035729408264,0.3972916901111603
9,0.045160796493291855,-0.016000570729374886,0.18937499821186066,0.7550205588340759,0.6025243997573853,0.1524961143732071,0.40141546726226807,0.3929166793823242
10,-0.1169615238904953,-0.0018567796796560287,0.17208333313465118,0.7225157618522644,0.583736002445221,0.13877978920936584,0.3875683546066284,0.43437501788139343
11,-0.11880908161401749,0.021111104637384415,0.2514583468437195,0.644524335861206,0.5284243226051331,0.1160999983549118,0.41330116987228394,0.4581250250339508
