block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,theta_advantage_mean,theta_advantage_std,theta_advantage_norm_mean,theta_advantage_norm_std,theta_advantage_max,theta_advantage_min,route_advantage_mean,route_advantage_std,route_advantage_norm_mean,route_advantage_norm_std,route_advantage_max,route_advantage_min,route_gate_mean,route_gate_std,route_gate_min,route_gate_max,route_gate_active_fraction,route_credit_gate_fraction,route_credit_effective_fraction,route_mask_mean,route_mask_active_fraction,theta_selected_action_prob_gain_mean,theta_selected_action_prob_gain_std,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_selected_action_prob_gain_mean,route_selected_action_prob_gain_std,route_ratio_mean,route_ratio_std,route_ratio_max,theta_clip_fraction,route_clip_fraction,offload_vs_local_value_gap_mean,offload_vs_local_value_gap_std,bs1_vs_bs2_value_gap_mean,bs1_vs_bs2_value_gap_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.005194126162678003,0.17804916203022003,0.044051360338926315,0.9114291667938232,0.588819146156311,-0.5711313486099243,0.0025293969083577394,0.18429377675056458,0.11260533332824707,1.087119698524475,1.0505483150482178,-0.8345896601676941,0.5215661525726318,0.0968083068728447,0.23106083273887634,0.7494727969169617,0.6150000095367432,0.5399999618530273,0.6150000095367432,0.6150000095367432,0.6150000095367432,-0.03778104484081268,0.1875341683626175,0.9622189402580261,0.1875341683626175,1.2537097930908203,0.0010899746557697654,0.02209918014705181,1.0000452995300293,0.023016376420855522,1.0533868074417114,0.32999998331069946,0.0,-0.3770442008972168,0.11589088290929794,-0.15339238941669464,0.1325942426919937,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.0033911801874637604,0.19900983572006226,0.03482212871313095,1.0187263488769531,1.2350761890411377,-0.5330348014831543,0.0077293794602155685,0.16361786425113678,0.0004886673996224999,0.8902530074119568,0.6949829459190369,-0.7063760757446289,0.4925784170627594,0.09001684188842773,0.2670310139656067,0.742160439491272,0.4599999785423279,0.5149999856948853,0.4599999785423279,0.4599999785423279,0.4599999785423279,-0.005950300022959709,0.13447639346122742,0.9940496683120728,0.13447639346122742,1.2183815240859985,-0.022533169016242027,0.1477874517440796,0.9675002694129944,0.14000080525875092,1.3481855392456055,0.054999999701976776,0.15217392146587372,-0.5065195560455322,0.16426347196102142,-0.5138539671897888,0.11522044241428375,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.0012652974110096693,0.17778562009334564,0.01098572462797165,0.910080075263977,0.6428232192993164,-0.9275974035263062,0.0016727587208151817,0.16044513881206512,0.036000315099954605,0.980659544467926,0.589897632598877,-1.0832890272140503,0.5102457404136658,0.08839331567287445,0.2823673486709595,0.7066236734390259,0.5450000166893005,0.4749999940395355,0.5450000166893005,0.5450000166893005,0.5450000166893005,-0.015780998393893242,0.24693840742111206,0.9842190146446228,0.24693842232227325,1.3052915334701538,-0.0028076590970158577,0.015828510746359825,0.9968643188476562,0.01594635471701622,1.0356426239013672,0.9899999499320984,0.0,-0.08072713762521744,0.11783168464899063,-0.11582133919000626,0.12304218858480453,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.005503388587385416,0.2018667757511139,-0.010708937421441078,1.033350944519043,1.2407084703445435,-1.0781898498535156,0.005318460986018181,0.18112914264202118,-0.024282194674015045,1.0992358922958374,0.8485326766967773,-0.5846129655838013,0.5233279466629028,0.09230804443359375,0.28557664155960083,0.7472110390663147,0.6049999594688416,0.5,0.6049999594688416,0.6049999594688416,0.6049999594688416,-0.021417072042822838,0.1621672809123993,0.9785829186439514,0.1621672809123993,1.2695270776748657,0.00070188072277233,0.06433134526014328,1.0020619630813599,0.06647001951932907,1.1535404920578003,0.1599999964237213,0.0,0.24821467697620392,0.1469203382730484,-0.36134400963783264,0.12478847056627274,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.009208989329636097,0.1993185579776764,-0.02967783436179161,1.0203065872192383,0.7868961095809937,-0.6907920241355896,-0.01205690111964941,0.16003857553005219,-0.04474348947405815,0.9141349196434021,0.520010232925415,-0.6119341254234314,0.4970398545265198,0.08478200435638428,0.24024561047554016,0.7459511756896973,0.5,0.47999998927116394,0.5,0.5,0.5,0.00510468240827322,0.14826808869838715,1.005104660987854,0.14826810359954834,1.2881900072097778,-0.0009700384689494967,0.024416953325271606,0.999550998210907,0.02672969177365303,1.0716588497161865,0.14999999105930328,0.0,0.3006781339645386,0.14787200093269348,0.7887862920761108,0.12383714318275452,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.011776214465498924,0.18707935512065887,-0.04281938821077347,0.9576544761657715,0.781624436378479,-0.8773162364959717,-0.01870637759566307,0.210643470287323,-0.03261825442314148,1.0870935916900635,0.7532618641853333,-1.272017002105713,0.5011457204818726,0.08758031576871872,0.23319295048713684,0.7022169828414917,0.5199999809265137,0.5049999952316284,0.5199999809265137,0.5199999809265137,0.5199999809265137,-0.008474006317555904,0.20873579382896423,0.9915260076522827,0.20873579382896423,1.2345685958862305,-0.00205668224953115,0.02063606120646,0.9964708685874939,0.02255920134484768,1.053712010383606,0.6949999928474426,0.0,0.7282600402832031,0.20196756720542908,1.2465804815292358,0.22184793651103973,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.008017024956643581,0.17563389241695404,-0.023576196283102036,0.8990654945373535,0.38509565591812134,-0.8959777355194092,-0.004880615510046482,0.14547811448574066,-0.06814561039209366,0.8853461742401123,0.6234234571456909,-0.7163081765174866,0.4453217685222626,0.09279849380254745,0.22116772830486298,0.7042003273963928,0.26499998569488525,0.5,0.26499998569488525,0.26499998569488525,0.26499998569488525,0.07676349580287933,0.17398901283740997,1.076763391494751,0.17398901283740997,1.227785587310791,0.007624072954058647,0.046163491904735565,1.009282112121582,0.0521048940718174,1.1308847665786743,0.29499998688697815,0.0,0.509995698928833,0.12608465552330017,0.32777518033981323,0.1198451966047287,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.009791978634893894,0.18348994851112366,0.06758764386177063,0.9392803907394409,0.7178301811218262,-0.4757409691810608,-0.00045886068255640566,0.17668215930461884,-0.1165999323129654,0.9918750524520874,0.7921532392501831,-0.7991008758544922,0.502210259437561,0.09537514299154282,0.21708457171916962,0.7376070022583008,0.5199999809265137,0.5099999904632568,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.0039243996143341064,0.17220762372016907,1.0039243698120117,0.17220762372016907,1.2221027612686157,0.001772204297594726,0.028577057644724846,1.002801537513733,0.02933843433856964,1.065211534500122,0.11499999463558197,0.0,-0.9075431823730469,0.1334574669599533,0.028779806569218636,0.1149592250585556,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.008477234281599522,0.21487601101398468,-0.02593199908733368,1.0999449491500854,0.7608048915863037,-0.9975976943969727,0.020274214446544647,0.18437056243419647,0.10792139917612076,0.981488049030304,1.0574314594268799,-0.7704277634620667,0.4787314534187317,0.09911268204450607,0.2618299126625061,0.7022103667259216,0.42499998211860657,0.4949999749660492,0.42499998211860657,0.42499998211860657,0.42499998211860657,0.025298498570919037,0.21763914823532104,1.0252984762191772,0.21763914823532104,1.2532470226287842,0.0001994418998947367,0.021424787119030952,0.9982402324676514,0.02241021767258644,1.0499539375305176,0.8499999642372131,0.0,0.4581651985645294,0.23595374822616577,-1.3392226696014404,0.17637738585472107,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.021830333396792412,0.25829455256462097,-0.09428616613149643,1.322203516960144,1.5468471050262451,-1.44342839717865,-0.000590639712754637,0.2024306356906891,-0.07383845001459122,1.2702858448028564,0.56520676612854,-0.9332669973373413,0.5398726463317871,0.09629305452108383,0.30828195810317993,0.7785504460334778,0.675000011920929,0.45499998331069946,0.675000011920929,0.675000011920929,0.675000011920929,-0.05640195682644844,0.17259137332439423,0.9435979723930359,0.17259137332439423,1.2303930521011353,-0.0007268896442838013,0.02577415108680725,0.9990600347518921,0.0263343695551157,1.0834619998931885,0.20499999821186066,0.0,1.0951106548309326,0.19995996356010437,0.0191706120967865,0.14371737837791443,0
