group_name,update_direction,step_type,set_type,critic_loss,value_pred_mean,value_pred_std,value_target_mean,value_target_std,return_mean,return_std,advantage_mean,advantage_std,pearson_value_vs_value_target,spearman_value_vs_value_target,pearson_value_vs_return,spearman_value_vs_return,pearson_value_vs_advantage,spearman_value_vs_advantage,pearson_value_vs_one_step_reward,spearman_value_vs_one_step_reward,grad_norm,critic_param_delta_norm,critic_backbone_delta_norm,critic_head_delta_norm,update_over_grad_ratio,scale_factor,cosine_update_vs_current_grad,cosine_update_vs_heldout_grad,cosine_update_vs_global_grad,cosine_update_vs_blended_grad,cosine_update_vs_raw_grad
no_op,no_op,before_update,probe,0.9337701797485352,-24.604461669921875,9.092120170593262,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689935803413391,0.12841945886611938,0.3689936399459839,0.12841945886611938,-0.5185487866401672,-0.5075987577438354,-0.44507306814193726,-0.5578593015670776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
no_op,no_op,after_update,probe,0.9337701797485352,-24.604461669921875,9.092120170593262,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689935803413391,0.12841945886611938,0.3689936399459839,0.12841945886611938,-0.5185487866401672,-0.5075987577438354,-0.44507306814193726,-0.5578593015670776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
current_grad_small_step,current_batch_value_grad,before_update,probe,0.9337701797485352,-24.604461669921875,9.092120170593262,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689935803413391,0.12841945886611938,0.3689936399459839,0.12841945886611938,-0.5185487866401672,-0.5075987577438354,-0.44507306814193726,-0.5578593015670776,2.131699207039702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
current_grad_small_step,current_batch_value_grad,after_update,probe,0.9335831999778748,-24.606523513793945,9.092752456665039,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.368981271982193,0.12841945886611938,0.3689812421798706,0.12841945886611938,-0.5185592770576477,-0.5075987577438354,-0.4450763165950775,-0.5578593015670776,2.131699207039702,5.0010856697186014e-05,3.6245430602640285e-05,3.4458011376393474e-05,2.346057424837835e-05,2.345548126722894e-05,1.0000011850312367,0.6008114180406094,0.8179006510940898,0.8998173965551086,-0.9999064152127463
heldout_grad_small_step,heldout_value_grad,before_update,probe,0.9337701797485352,-24.604461669921875,9.092120170593262,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689935803413391,0.12841945886611938,0.3689936399459839,0.12841945886611938,-0.5185487866401672,-0.5075987577438354,-0.44507306814193726,-0.5578593015670776,2.034149548211698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
heldout_grad_small_step,heldout_value_grad,after_update,probe,0.9335271716117859,-24.607046127319336,9.091744422912598,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689769208431244,0.12841945886611938,0.368976891040802,0.12841945886611938,-0.5185774564743042,-0.5075987577438354,-0.44506314396858215,-0.5578593015670776,2.034149548211698,5.000636478686546e-05,3.581259252007129e-05,3.490121396439372e-05,2.458342763900651e-05,2.458029867176381e-05,0.6008114180406094,1.0000001542949641,0.9503147388466269,0.8893692863961142,-0.9999055121452891
global_grad_small_step,global_value_grad,before_update,probe,0.9337701797485352,-24.604461669921875,9.092120170593262,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689935803413391,0.12841945886611938,0.3689936399459839,0.12841945886611938,-0.5185487866401672,-0.5075987577438354,-0.44507306814193726,-0.5578593015670776,1.882236064373162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
global_grad_small_step,global_value_grad,after_update,probe,0.9335177540779114,-24.607177734375,9.092151641845703,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.36897724866867065,0.12841945886611938,0.36897727847099304,0.12841945886611938,-0.5185726881027222,-0.5075987577438354,-0.44506725668907166,-0.5578593015670776,1.882236064373162,5.000712395395527e-05,3.084270277378902e-05,3.936292839403535e-05,2.6567946857358753e-05,2.6564162020016932e-05,0.8179006510940898,0.9503147388466269,1.0000010136822177,0.9864117741965149,-0.9998983962559745
blended_grad_small_step,blended_current_heldout_grad,before_update,probe,0.9337701797485352,-24.604461669921875,9.092120170593262,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689935803413391,0.12841945886611938,0.3689936399459839,0.12841945886611938,-0.5185487866401672,-0.5075987577438354,-0.44507306814193726,-0.5578593015670776,1.8636237215606646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
blended_grad_small_step,blended_current_heldout_grad,after_update,probe,0.9335306286811829,-24.6070499420166,9.092276573181152,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689773380756378,0.12841945886611938,0.3689773976802826,0.12841945886611938,-0.5185704827308655,-0.5075987577438354,-0.44506943225860596,-0.5578593015670776,1.8636237215606646,4.9987508485739525e-05,3.173826686200645e-05,3.8619081050795914e-05,2.682275753622226e-05,2.682946034795301e-05,0.8998173965551086,0.8893692863961142,0.9864117741965149,1.00000078825895,-0.9998972415715198
