epoch,advantage_action_alignment,theta_advantage_alignment,route_advantage_alignment,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,offload_decision_agreement_ratio,route_decision_agreement_ratio,theta_residual_credit_mean,route_residual_credit_mean
0,-0.03365304693579674,0.014800133183598518,0.031652215868234634,0.020922040566802025,0.0031566049437969923,0.5170833468437195,0.0012562813935801387,0.502916693687439,0.5217755436897278,0.0039388155564665794,0.046486545354127884
1,-0.017648031935095787,0.039083171635866165,-0.021247699856758118,0.005349074490368366,0.011126993224024773,0.543749988079071,0.15896566212177277,0.5077083706855774,0.4785926342010498,0.011524871923029423,-0.03670492768287659
2,-0.011441044509410858,0.02971506118774414,-0.03434010222554207,-0.031024081632494926,-0.017452383413910866,0.46666666865348816,0.28397467732429504,0.5729166865348816,0.4705309271812439,0.09495307505130768,-0.03461979329586029
3,0.06434617936611176,0.0998685285449028,0.02594461850821972,-0.03273105248808861,-0.04513897746801376,0.36500000953674316,0.33388984203338623,0.6266666650772095,0.45631611347198486,0.14465302228927612,-0.04120331630110741
4,0.07358241081237793,0.061752647161483765,0.031298648566007614,-0.03573617339134216,-0.06181124225258827,0.2422916740179062,0.3727574646472931,0.674791693687439,0.4305647611618042,0.14844508469104767,-0.051569148898124695
5,0.018020514398813248,-0.016720665618777275,-0.00567410234361887,-0.023851582780480385,-0.06725457310676575,0.16291667520999908,0.2927962839603424,0.6654166579246521,0.3919442296028137,0.10897299647331238,-0.04389691725373268
6,-0.03726261109113693,-0.05749376863241196,-0.0420726053416729,-0.0031047682277858257,-0.04489696025848389,0.12020833790302277,0.21276596188545227,0.6235416531562805,0.4105595052242279,0.06573636829853058,-0.018413446843624115
7,-0.0014628396602347493,-0.02409261278808117,-0.03771147131919861,-0.010735321789979935,-0.03772243857383728,0.11895833909511566,0.18936342000961304,0.6285417079925537,0.4069298803806305,0.08018115907907486,-0.012600176967680454
8,-0.11361870169639587,0.0017000824445858598,0.021349329501390457,-0.01410541869699955,-0.007474273908883333,0.11604166775941849,0.15173526108264923,0.6183333396911621,0.3769168555736542,0.062335867434740067,-0.023609653115272522
9,0.04979664832353592,0.003608343191444874,-0.022814149037003517,-0.009335982613265514,-0.01406790316104889,0.11666666716337204,0.1551584154367447,0.6347916722297668,0.40942323207855225,0.06988810747861862,-0.007754642050713301
10,-0.06269145756959915,-0.014277556911110878,0.055040143430233,-0.005479631945490837,0.0036154568661004305,0.1145833358168602,0.1352619230747223,0.6075000166893005,0.3901485502719879,0.04861387237906456,-0.008862464688718319
11,0.05275373160839081,0.015135102905333042,0.00723626371473074,0.026744982227683067,0.011869413778185844,0.19062501192092896,0.24202734231948853,0.5556250214576721,0.39179956912994385,0.022841114550828934,-0.037798624485731125
