epoch,theta_selected_score_mean,theta_expected_score_mean,theta_residual_credit_mean,theta_residual_credit_std,theta_ratio_mean,theta_approx_kl,theta_clip_fraction,advantage_action_alignment,offload_decision_agreement_ratio,actual_offload_rate_when_theta_true_gap_positive,actual_offload_rate_when_theta_true_gap_negative
0,0.006249889265745878,0.0023110732436180115,0.0039388155564665794,0.99014812707901,0.998906672000885,0.020922040566802025,0.5170833468437195,-0.03365304693579674,0.502916693687439,1.0,0.4970674514770508
1,0.016666637733578682,0.005141765810549259,0.011524871923029423,0.9437729120254517,1.0235968828201294,0.005349074490368366,0.543749988079071,-0.017648031935095787,0.5077083706855774,0.25,0.4911912679672241
2,0.1445806473493576,0.04962756484746933,0.09495307505130768,0.8439781665802002,1.0560708045959473,-0.031024081632494926,0.46666666865348816,-0.011441044509410858,0.5729166865348816,1.0,0.42761367559432983
3,0.2516665756702423,0.10701353847980499,0.14465302228927612,0.731804609298706,1.0536777973175049,-0.03273105248808861,0.36500000953674316,0.06434617936611176,0.6266666650772095,0.5999999642372131,0.37339508533477783
4,0.346652090549469,0.19820697605609894,0.14844508469104767,0.6443698406219482,1.0505818128585815,-0.03573617339134216,0.2422916740179062,0.07358241081237793,0.674791693687439,0.33908045291900635,0.31312471628189087
5,0.327084481716156,0.21811150014400482,0.10897299647331238,0.568312406539917,1.0345064401626587,-0.023851582780480385,0.16291667520999908,0.018020514398813248,0.6654166579246521,0.1149144321680069,0.2841767966747284
6,0.2437410056591034,0.17800460755825043,0.06573636829853058,0.5293532609939575,1.010593295097351,-0.0031047682277858257,0.12020833790302277,-0.03726261109113693,0.6235416531562805,0.10787172615528107,0.2911980450153351
7,0.25499287247657776,0.1748117059469223,0.08018115907907486,0.5134990811347961,1.018080711364746,-0.010735321789979935,0.11895833909511566,-0.0014628396602347493,0.6285417079925537,0.07255520671606064,0.2868179678916931
8,0.23373128473758698,0.1713954359292984,0.062335867434740067,0.48781490325927734,1.0210421085357666,-0.01410541869699955,0.11604166775941849,-0.11361870169639587,0.6183333396911621,0.0806223526597023,0.28926026821136475
9,0.2666530907154083,0.1967649608850479,0.06988810747861862,0.48156535625457764,1.0168355703353882,-0.009335982613265514,0.11666666716337204,0.04979664832353592,0.6347916722297668,0.10213414579629898,0.28131067752838135
10,0.21206311881542206,0.1634492427110672,0.04861387237906456,0.4646749794483185,1.012715220451355,-0.005479631945490837,0.1145833358168602,-0.06269145756959915,0.6075000166893005,0.10249671339988708,0.29788294434547424
11,0.10786664485931396,0.08502551913261414,0.022841114550828934,0.4824816882610321,0.9911462664604187,0.026744982227683067,0.19062501192092896,0.05275373160839081,0.5556250214576721,0.12820513546466827,0.395174503326416
