epoch,policy_surrogate_mode,actor_structure_mode,theta_adv_norm_mean,theta_adv_norm_std,route_adv_norm_mean,route_adv_norm_std,route_adv_norm_active_count,route_adv_norm_used_fallback,theta_loss_mean,route_loss_mean,theta_route_loss_ratio,theta_clip_fraction,route_clip_fraction,route_mask_mean,route_mask_active_fraction
0,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.0,0.9999999403953552,6.988819301056992e-09,0.9999999403953552,2388.0,0.0,0.00204894389025867,-0.0012505383929237723,0.6103301644325256,0.5170833468437195,0.0012562813935801387,0.4975000023841858,0.4975000023841858
1,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,5.563100202721216e-09,0.9999998211860657,1.6170823569083836e-09,0.9999998211860657,2359.0,0.0,0.0075522796250879765,0.0066148461773991585,0.8758729696273804,0.543749988079071,0.15896566212177277,0.49145835638046265,0.49145835638046265
2,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,9.53674295089968e-09,0.9999999403953552,-1.2077706834645596e-08,0.9999999403953552,2053.0,0.0,0.008347664959728718,0.013251367025077343,1.5874320268630981,0.46666666865348816,0.28397467732429504,0.42770835757255554,0.42770835757255554
3,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,5.265077263061357e-09,0.9999999403953552,5.83773962503642e-09,1.0,1797.0,0.0,-0.0059816837310791016,0.006599429529160261,1.1032711267471313,0.36500000953674316,0.33388984203338623,0.37437501549720764,0.37437501549720764
4,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-3.1789144649962964e-09,1.0,7.287212167028656e-09,0.9999998807907104,1505.0,0.0,-0.0004281934234313667,0.011236372403800488,26.240734100341797,0.2422916740179062,0.3727574646472931,0.3135416805744171,0.3135416805744171
5,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,9.53674295089968e-09,0.9999998807907104,8.864517120343862e-09,1.0,1291.0,0.0,0.009682832285761833,0.018209442496299744,1.8805885314941406,0.16291667520999908,0.2927962839603424,0.26895833015441895,0.26895833015441895
6,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-2.7418137094059603e-08,0.9999998807907104,9.769713038565442e-09,1.0,1269.0,0.0,0.00998573936522007,0.016030309721827507,1.6053186655044556,0.12020833790302277,0.21276596188545227,0.2643750011920929,0.2643750011920929
7,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,6.755193293628281e-09,0.9999999403953552,9.221669650116837e-09,1.0,1241.0,0.0,0.006107889115810394,0.01899445429444313,3.1098179817199707,0.11895833909511566,0.18936342000961304,0.25854167342185974,0.25854167342185974
8,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-1.4702479234074417e-08,0.9999999403953552,0.0,1.0,1239.0,0.0,0.002740196418017149,0.012760231271386147,4.656667709350586,0.11604166775941849,0.15173526108264923,0.2581250071525574,0.2581250071525574
9,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.0,0.9999999403953552,-1.3944871923854407e-08,1.0,1231.0,0.0,0.0026834155432879925,0.014165297150611877,5.278811454772949,0.11666666716337204,0.1551584154367447,0.2564583420753479,0.2564583420753479
10,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.1920929132713809e-08,0.9999999403953552,-3.7282030240781694e-10,1.0,1279.0,0.0,0.005158144049346447,0.004886273294687271,0.9472911357879639,0.1145833358168602,0.1352619230747223,0.26645833253860474,0.26645833253860474
11,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-1.9868215517249155e-08,0.9999999403953552,-5.430947247475615e-09,1.0,1756.0,0.0,0.007523590233176947,0.012027493678033352,1.5986354351043701,0.19062501192092896,0.24202734231948853,0.3658333420753479,0.3658333420753479
