epoch,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
0,0.054539386285039064,5376000,0,0.0,175507.734375,394239.25,4982344.0,83243000.0,175507.734375,394239.25,4982344.0,83243000.0,0.9359832056884357,0.9359835982322693,0.9901857525110245,0.7253599157086156,0.16352909060993365,0.47768501983206996,1.0999658048152918
1,0.04194480882064996,5376000,0,0.0,215481.703125,520047.5609374597,6212030.5,33235684.0,215481.703125,520047.5609374597,6212030.5,33235684.0,0.9251122583243195,0.9409301578998566,0.9608210474252701,0.8847687307678668,0.2504828587440508,0.5461570468222903,0.8614095687866211
2,0.04451841935137979,5376000,0,0.0,215471.328125,560164.1468749584,6008563.5,33454916.0,215471.328125,560164.1468749584,6008563.5,33454916.0,0.9496534721106324,0.946797639131546,0.9703714430332184,0.9391198058384004,0.1913842225713389,0.3541911390792884,0.4285723254084587
3,0.0394111587360105,5376000,0,0.0,209485.484375,549119.5999999845,5662229.389999958,32096774.0,209485.484375,549119.5999999845,5662229.389999958,32096774.0,0.9647911989403086,0.9612465798854828,0.9860192447900772,0.9443849974324776,0.08660045521599906,0.24526965141934837,0.380387744307518
4,0.03205624635074229,5376000,0,0.0,214517.953125,575055.9406249621,5828000.5,30684154.0,214517.953125,575055.9406249621,5828000.5,30684154.0,0.9656153020580738,0.9655672311782837,0.9891522794961929,0.9387229455890279,0.05620249829121998,0.24112293063391924,0.42402584999799725
5,0.029600028582119655,5376000,0,0.0,222069.390625,615105.5781249639,6006292.0,31690328.0,222069.390625,615105.5781249639,6006292.0,31690328.0,0.9638122613727498,0.9647121727466583,0.9888626664876938,0.9354438706133933,0.05589972643979958,0.2547882097580829,0.45150828957557676
6,0.031060480178356942,5375996,0,0.0,228435.703125,650261.8125,6147767.0,32497286.0,228435.703125,650261.8125,6147767.0,32497286.0,0.9617907858931734,0.9624226689338684,0.9899333149194718,0.9296073987299128,0.052255875617265704,0.27052811201321875,0.49650599658489225
7,0.029818278838406726,5376000,0,0.0,235568.078125,692983.9156249906,6371545.5,32442532.0,235568.078125,692983.9156249906,6371545.5,32442532.0,0.958432484236982,0.9592331349849701,0.989903911948204,0.9234801664621073,0.05267880798450538,0.2963712402074879,0.5448577970266342
8,0.031152126587356742,5376000,0,0.0,241758.671875,723489.1062499884,6612771.0,32333214.0,241758.671875,723489.1062499884,6612771.0,32333214.0,0.9572664964555543,0.9577434062957764,0.9889610499143601,0.9224567864072177,0.05619330182671547,0.30504565086525204,0.5535932928323746
9,0.02775111317895867,5376000,0,0.0,247768.53125,757138.0812499878,6753656.5,33187356.0,247768.53125,757138.0812499878,6753656.5,33187356.0,0.9547522920949161,0.9551330804824829,0.9883455395698547,0.9188085595435549,0.05963963664003781,0.3243300928783705,0.5829853057861328
10,0.030302545008886454,5375998,0,0.0,253266.671875,770955.375,6988229.5,33244254.0,253266.671875,770955.375,6988229.5,33244254.0,0.9529523042129409,0.9539371430873871,0.9873833537101746,0.9160010593460214,0.0633658761956862,0.338102428570721,0.6066331177949905
11,0.02821144202132503,5376000,0,0.0,257471.484375,791436.1468749784,7208927.0,33108506.0,257471.484375,791436.1468749784,7208927.0,33108506.0,0.9531664115064095,0.9531858265399933,0.9898622214794159,0.9141352855288641,0.0549875729318176,0.3376220393486422,0.6204935103654862
