epoch,offload_active_fraction,route_logprob_active_fraction,route_selected_score_mean,route_expected_score_mean,route_residual_credit_mean,route_residual_credit_std,route_ratio_mean,route_approx_kl,route_clip_fraction,advantage_action_alignment
0,0.4975000023841858,0.4975000023841858,0.04564427584409714,-0.0008422679384239018,0.046486545354127884,0.9859390258789062,0.9976951479911804,0.0031566049437969923,0.0012562813935801387,-0.03365304693579674
1,0.49145835638046265,0.49145835638046265,-0.042369477450847626,-0.005664544180035591,-0.03670492768287659,0.9657341837882996,0.9994732141494751,0.011126993224024773,0.15896566212177277,-0.017648031935095787
2,0.42770835757255554,0.42770835757255554,-0.05645335093140602,-0.021833550184965134,-0.03461979329586029,0.9301865696907043,1.0335924625396729,-0.017452383413910866,0.28397467732429504,-0.011441044509410858
3,0.37437501549720764,0.37437501549720764,-0.08961929380893707,-0.048415977507829666,-0.04120331630110741,0.8439238667488098,1.0643885135650635,-0.04513897746801376,0.33388984203338623,0.06434617936611176
4,0.3135416805744171,0.3135416805744171,-0.1395457535982132,-0.08797658979892731,-0.051569148898124695,0.7506934404373169,1.087480068206787,-0.06181124225258827,0.3727574646472931,0.07358241081237793
5,0.26895833015441895,0.26895833015441895,-0.2176143229007721,-0.17371739447116852,-0.04389691725373268,0.604345440864563,1.0910732746124268,-0.06725457310676575,0.2927962839603424,0.018020514398813248
6,0.2643750011920929,0.2643750011920929,-0.18044647574424744,-0.16203302145004272,-0.018413446843624115,0.5257852673530579,1.0623466968536377,-0.04489696025848389,0.21276596188545227,-0.03726261109113693
7,0.25854167342185974,0.25854167342185974,-0.185331791639328,-0.17273160815238953,-0.012600176967680454,0.4304382801055908,1.0595993995666504,-0.03772243857383728,0.18936342000961304,-0.0014628396602347493
8,0.2581250071525574,0.2581250071525574,-0.2453552633523941,-0.2217455953359604,-0.023609653115272522,0.3895808756351471,1.0295941829681396,-0.007474273908883333,0.15173526108264923,-0.11361870169639587
9,0.2564583420753479,0.2564583420753479,-0.1843927651643753,-0.17663811147212982,-0.007754642050713301,0.37645620107650757,1.0326199531555176,-0.01406790316104889,0.1551584154367447,0.04979664832353592
10,0.26645833253860474,0.26645833253860474,-0.22049807012081146,-0.21163561940193176,-0.008862464688718319,0.34597963094711304,1.0206823348999023,0.0036154568661004305,0.1352619230747223,-0.06269145756959915
11,0.3658333420753479,0.3658333420753479,-0.21867941319942474,-0.18088078498840332,-0.037798624485731125,0.4967573583126068,1.013222336769104,0.011869413778185844,0.24202734231948853,0.05275373160839081
