epoch,episode_reward,episode_cost,episode_queue_penalty,episode_delay,episode_local_delay_cost,episode_uplink_delay_cost,episode_backhaul_delay_cost,episode_bs_compute_delay_cost,episode_energy,episode_uplink_energy,episode_local_compute_energy,episode_bs_compute_energy,episode_reward_delay_term,episode_reward_energy_term,episode_reward_backlog_term,avg_total_backlog,avg_raw_total_backlog,avg_normalized_total_backlog,avg_theta,num_steps,actor_loss,critic_loss,entropy
0.0,-380.8347494198319,369.39486469652445,11.439884723307504,365.225851025858,238.94670584394296,10.198045418239708,0.4144754914723414,115.66662427220294,83.38027341333274,1.3340987954786638,32.202779358197056,49.84339525965698,365.225851025858,4.169013670666635,11.439884723307504,0.05719942361653752,4285249858.388736,1.9447804029622768,0.4994985052914288,100.0,-0.07618086291477084,2821.2358825683596,15.128414869308472
1.0,-444.0469520453691,431.81654015975874,12.230411885610291,427.1559078521743,276.43576832489873,11.698942760269734,0.4605569039768517,138.5606398630292,93.2126461516871,1.4326282791954308,35.06525774209023,56.71476013040147,427.1559078521743,4.660632307584353,12.230411885610291,0.06115205942805146,4759705407.077815,2.079170020553751,0.5058747258659091,100.0,-0.16925856098532677,3904.3596374511717,15.204646492004395
2.0,-402.51271345541693,390.83756982840566,11.675143627011147,386.5113205126617,242.70165232054134,11.130450108273681,0.41981271471488807,132.25940536913166,86.52498631488201,1.3549288541981768,32.39323546808459,52.77682199259921,386.5113205126617,4.326249315744098,11.675143627011147,0.05837571813505574,4405928125.727598,1.9847744165918937,0.5085073964067268,100.0,-0.08288205303251743,3118.3313232421874,15.310624742507935
3.0,-478.7271847575446,465.85210384058416,12.875080916960535,461.06644875260747,299.95355459171327,12.89289138801419,0.5329376921554934,147.68706508072452,95.71310175952787,1.5177568273127453,36.12491333236759,58.070431599847524,461.06644875260747,4.785655087976393,12.875080916960535,0.06437540458480268,4895463747.410917,2.1887637558832913,0.5145720875041809,100.0,-0.1108301229774952,4323.983673095703,15.386832284927369
4.0,-420.2778113754723,408.39134139398175,11.886469981490492,403.9220885245467,265.05442595833085,10.491480821176555,0.43885427450261144,127.93732747053699,89.38505738869908,1.3430569575527642,33.94876350363731,54.09323692750902,403.9220885245467,4.469252869434953,11.886469981490492,0.05943234990745246,4576433590.419869,2.0206998968533836,0.5027015383855296,100.0,-0.11703946329653263,3249.288543701172,15.450627732276917
5.0,-424.1484882986827,412.2234700092936,11.925018289389232,407.7002505136173,267.0658607234438,10.748859855391599,0.4631141450452631,129.42241578973656,90.46438991352376,1.365253898663994,34.45964651164666,54.63948950321312,407.7002505136173,4.523219495676189,11.925018289389232,0.05962509144694616,4626319790.421833,2.0272531091961694,0.5053500319424071,100.0,-0.04169699819758534,3571.1035736083986,15.539241504669189
6.0,-430.81410692848635,418.06108143725123,12.753025491235242,413.4832510821428,259.26790111581187,12.636360737925749,0.5372898502064013,141.0416993781984,91.55660710217417,1.4993414277529737,34.02782846541853,56.029437209002666,413.4832510821428,4.577830355108709,12.753025491235242,0.06376512745617621,4676547153.886268,2.1680143335099906,0.5121645754745764,100.0,-0.1061707358341664,3411.311553955078,15.566972923278808
7.0,-437.38127321693815,424.9329503698312,12.448322847107256,420.3763258988077,272.81214968479514,11.64452298860367,0.4986039595157037,135.42104926589323,91.13248942046671,1.428211028430477,35.24530311721958,54.45897527481664,420.3763258988077,4.556624471023335,12.448322847107256,0.062241614235536286,4731155184.366531,2.116214884008234,0.5029993926603304,100.0,-0.17004972249269484,3431.7626678466795,15.627993631362916
8.0,-427.8767188248949,414.98208614728037,12.89463267761459,410.2722407513236,258.3050479316684,12.21959133976385,0.5431290373528533,139.20447244253845,94.19690791913892,1.4866893504478784,34.923688278279315,57.78653029041169,410.2722407513236,4.709845395956945,12.89463267761459,0.06447316338807295,4799995034.21512,2.1920875551944796,0.5141042485462564,100.0,-0.06971800015307963,3176.2754638671877,15.711158633232117
9.0,-487.6806404442674,474.20793662160196,13.472703822665446,469.396314558103,293.6022681633596,14.674802127354235,0.6716090195462278,160.4476352478427,96.23244126998213,1.6257193077398333,35.699379536915764,58.90734242532653,469.396314558103,4.811622063499107,13.472703822665446,0.06736351911332723,4928914095.232587,2.290359649853125,0.5237074119365661,100.0,-0.0478695357684046,4181.327899169922,15.792092394828796
