epoch,policy_surrogate_mode,actor_structure_mode,theta_only_step_kl,route_only_step_kl,theta_only_step_prob_gain,route_only_step_prob_gain,theta_after_route_shift,route_after_theta_shift,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction
0,hierarchical_actor_factorized_trust_region_pg_route_first,hierarchical_actor_separate_theta_route_backbones,0.0001932375254909857,0.0010670108798270423,0.0003924631255813438,0.0005590148774596552,0.0,0.0008683765976456925,0.20372372452642332,0.42418471714909867,0.3552595064726426,0.28866529008481756,0.03,0.015,1,10,40,15,0.4970833361148834,0.4970833361148834
1,hierarchical_actor_factorized_trust_region_pg_route_first,hierarchical_actor_separate_theta_route_backbones,0.0020586917484511752,0.0030851273844937645,-0.001297090060515551,-0.0018183055585005174,0.0,0.0008173003997875466,0.27761105671863456,0.4663601768600973,0.4896102272119554,0.451299467844247,0.03,0.015,9,9,21,19,0.4908333420753479,0.4908333420753479
2,hierarchical_actor_factorized_trust_region_pg_route_first,hierarchical_actor_separate_theta_route_backbones,0.001888131567587455,0.0024979547096235263,-0.0011615288353318141,-0.0015059844687736283,0.0,0.0008360017188048611,0.3138900349139486,0.5932983408064537,0.551018752468335,0.5409513513692246,0.03,0.015,8,8,18,18,0.49666666984558105,0.49666666984558105
3,hierarchical_actor_factorized_trust_region_pg_route_first,hierarchical_actor_separate_theta_route_backbones,0.0015866226988411935,0.0019348905560845095,-0.0009624601631842849,-0.0011477822457284976,0.0,0.000703396134597894,0.2755844184848929,0.5924513814844244,0.4841130965965489,0.5177556859698584,0.03,0.015,7,9,26,18,0.4879166781902313,0.4879166781902313
4,hierarchical_actor_factorized_trust_region_pg_route_first,hierarchical_actor_separate_theta_route_backbones,0.0027559501269768753,0.0030573136794070405,-0.0022171692866198678,-0.002203466694724436,0.0,0.0007461009028537029,0.2742302524167316,0.5702595259612007,0.45784504774952023,0.5036681927631796,0.03,0.015,7,9,22,15,0.4845833480358124,0.4845833480358124
