block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_value_score_mean,block_value_score_std,block_value_score_max,block_value_score_min,block_value_scale_mean,block_value_scale_std,block_value_scale_max,block_value_scale_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first,0.054009076207876205,0.06863581389188766,0.42032766342163086,-0.15057584643363953,1.0,0.0,1.0,1.0,0.6600000262260437,-0.014574030414223671,0.20904286205768585,1
1,3,6,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first,-0.2919682264328003,0.15754978358745575,0.3839344382286072,-0.5811096429824829,1.0,0.0,1.0,1.0,0.5600000023841858,-0.025627074763178825,0.1659509837627411,1
2,6,9,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first,-0.33198797702789307,0.14762653410434723,0.4625759422779083,-0.48895418643951416,1.0,0.0,1.0,1.0,0.5699999928474426,-0.018630674108862877,0.21766647696495056,1
3,9,12,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first,-0.1063501164317131,0.10341285169124603,0.21611681580543518,-0.3146987557411194,1.0,0.0,1.0,1.0,0.5699999928474426,-0.03203785791993141,0.21624571084976196,1
4,12,15,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first,0.09666746109724045,0.08209363371133804,0.30011439323425293,-0.14183765649795532,1.0,0.0,1.0,1.0,0.5899999737739563,-0.0015523552428930998,0.20417509973049164,1
5,15,18,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first,0.15882840752601624,0.08397747576236725,0.5101004838943481,-0.11109383404254913,1.0,0.0,1.0,1.0,0.5400000214576721,-0.024298839271068573,0.18017123639583588,1
6,18,21,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first,-0.008596398867666721,0.09677735716104507,0.20814532041549683,-0.3829820156097412,1.0,0.0,1.0,1.0,0.47999998927116394,0.0006509673548862338,0.2043793797492981,1
7,21,24,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first,0.004571267869323492,0.12981566786766052,0.3665573000907898,-0.282978892326355,1.0,0.0,1.0,1.0,0.6200000047683716,0.005648324266076088,0.22747039794921875,1
8,24,27,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first,-0.00316495168954134,0.16112710535526276,0.30701595544815063,-0.45044031739234924,1.0,0.0,1.0,1.0,0.6200000047683716,-0.029926596209406853,0.22108641266822815,1
9,27,30,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first,0.007914111949503422,0.07753890007734299,0.3251190185546875,-0.28360554575920105,1.0,0.0,1.0,1.0,0.5899999737739563,-0.014670890755951405,0.19781553745269775,1
10,30,33,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first,0.24585388600826263,0.1769552379846573,0.5581809878349304,-0.6622366905212402,1.0,0.0,1.0,1.0,0.550000011920929,-0.014617109671235085,0.20088890194892883,1
11,33,36,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first,-0.0993153378367424,0.09117813408374786,0.07937492430210114,-0.46270987391471863,1.0,0.0,1.0,1.0,0.47999998927116394,-0.03261338546872139,0.15693244338035583,1
12,36,39,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first,-0.3022839426994324,0.07012423872947693,-0.08131256699562073,-0.47739821672439575,1.0,0.0,1.0,1.0,0.6800000071525574,0.010281176306307316,0.23595334589481354,1
13,39,42,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first,-0.13056716322898865,0.10930231213569641,0.3036278784275055,-0.3810315430164337,1.0,0.0,1.0,1.0,0.7400000095367432,-0.009443722665309906,0.26186567544937134,1
14,42,45,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first,0.11363892257213593,0.09311503916978836,0.3263457715511322,-0.22901839017868042,1.0,0.0,1.0,1.0,0.5099999904632568,-0.023693304508924484,0.1967456340789795,1
15,45,48,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first,-0.1334851235151291,0.09057535231113434,0.18278783559799194,-0.3016738295555115,1.0,0.0,1.0,1.0,0.5199999809265137,-0.011685159057378769,0.18360783159732819,1
