sample_id,timestep_id,state_type,block_id,sensor_id,task_id,candidate_action,value_pred,value_pred_normalized,value_pred_normalized_equivalent,return,value_target,advantage,one_step_reward,one_step_td_target,reward_best_vs_value_best_match,reward_value_flip_type,workload_mean,virtual_queue_mean,local_queue_mean,access_queue_mean,bs_queue_mean,raw_state_distance_proxy,critic_input_distance_proxy
0,0,real_rollout,0,0,0,bs1,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,0,reward:local->value:bs2,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,1,0,1,bs1,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,0,reward:bs1->value:bs2,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,2,0,2,bs1,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,0,reward:local->value:bs2,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,3,1,0,local,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,0,reward:local->value:bs2,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,4,1,1,local,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,1,match,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,5,1,2,bs1,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,1,match,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,6,2,0,bs2,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,0,reward:local->value:bs2,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,7,2,1,local,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,0,reward:bs1->value:bs2,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,8,2,2,bs1,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,1,match,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,9,3,0,bs1,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,0,reward:local->value:bs2,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,10,3,1,local,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,0,reward:local->value:bs2,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,11,3,2,bs1,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,1,match,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,12,4,0,bs2,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,0,reward:bs2->value:local,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,13,4,1,local,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,1,match,0.735849916934967,0.0,0.0,0.0,0.0,,
