block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,theta_advantage_mean,theta_advantage_std,theta_advantage_norm_mean,theta_advantage_norm_std,theta_advantage_max,theta_advantage_min,route_advantage_mean,route_advantage_std,route_advantage_norm_mean,route_advantage_norm_std,route_advantage_max,route_advantage_min,route_gate_mean,route_gate_std,route_gate_min,route_gate_max,route_gate_active_fraction,route_mask_mean,route_mask_active_fraction,theta_selected_action_prob_gain_mean,theta_selected_action_prob_gain_std,route_selected_action_prob_gain_mean,route_selected_action_prob_gain_std,theta_clip_fraction,route_clip_fraction,offload_vs_local_value_gap_mean,offload_vs_local_value_gap_std,bs1_vs_bs2_value_gap_mean,bs1_vs_bs2_value_gap_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_separate_theta_route_backbones,-0.008819322101771832,0.31040680408477783,-0.008819322101771832,0.31040680408477783,0.7426692247390747,-0.9636408090591431,0.0020717910956591368,0.2843516767024994,0.0016761255683377385,0.26693639159202576,0.757501482963562,-0.7209600806236267,0.5221013426780701,0.08343633264303207,0.33707255125045776,0.7425917983055115,0.6100000143051147,0.6100000143051147,0.6100000143051147,-0.017473958432674408,0.16877949237823486,-0.013133065775036812,0.15521150827407837,0.14000000059604645,0.20000000298023224,0.05615750700235367,0.24504926800727844,-0.09991145133972168,0.23440925776958466,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_separate_theta_route_backbones,-0.018217163160443306,0.41618019342422485,-0.018217163160443306,0.41618019342422485,1.3584926128387451,-1.4784787893295288,-0.014783749356865883,0.34188786149024963,-0.013569319620728493,0.39634111523628235,0.9737231135368347,-0.9503806829452515,0.4848388731479645,0.08927711099386215,0.26443347334861755,0.7477823495864868,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.023716941475868225,0.23274031281471252,-0.00869025755673647,0.16829267144203186,0.20999999344348907,0.23000000417232513,0.6778044104576111,0.33083680272102356,0.7507957220077515,0.2850690484046936,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_separate_theta_route_backbones,-0.002984317485243082,0.2616190016269684,-0.002984317485243082,0.2616190016269684,0.6161150932312012,-0.6755871176719666,0.0054131424985826015,0.3409265875816345,-0.03848988935351372,0.31926876306533813,0.8856194615364075,-0.8920828104019165,0.5138542056083679,0.08957148343324661,0.22991807758808136,0.7304589748382568,0.5799999833106995,0.5799999833106995,0.5799999833106995,0.0003211748553439975,0.14519211649894714,0.016422001644968987,0.22405798733234406,0.10000000149011612,0.20000000298023224,0.06968916952610016,0.2093426138162613,-0.27581843733787537,0.2545260787010193,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_separate_theta_route_backbones,-0.004469206556677818,0.3298947513103485,-0.004469206556677818,0.3298947513103485,0.8369683027267456,-0.8580033779144287,0.013043170794844627,0.38522544503211975,0.07327186316251755,0.39801356196403503,1.0709576606750488,-0.963834285736084,0.5082816481590271,0.09639731049537659,0.28657230734825134,0.7034381031990051,0.47999998927116394,0.47999998927116394,0.47999998927116394,-0.015870114788413048,0.22318527102470398,0.00936136581003666,0.13751311600208282,0.2800000011920929,0.12999999523162842,0.24751995503902435,0.27083221077919006,-0.7699496746063232,0.2971664369106293,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_separate_theta_route_backbones,0.008425971493124962,0.37151697278022766,0.008425971493124962,0.37151697278022766,0.9295569658279419,-1.2247314453125,-0.009647177532315254,0.4038827121257782,-0.0359468087553978,0.4564799666404724,1.3555891513824463,-1.4028661251068115,0.4882330298423767,0.08957263082265854,0.2642447352409363,0.6931856274604797,0.46000000834465027,0.46000000834465027,0.46000000834465027,-0.004681603517383337,0.16368933022022247,-0.020545335486531258,0.258308082818985,0.15000000596046448,0.4099999964237213,-0.6792900562286377,0.2322809249162674,0.450984388589859,0.285159170627594,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_separate_theta_route_backbones,2.854824015230406e-05,0.24791014194488525,2.854824015230406e-05,0.24791014194488525,0.49085816740989685,-0.7229204177856445,-0.007877959869801998,0.4357796609401703,-0.011891508474946022,0.4933565855026245,0.9928951263427734,-1.2099827527999878,0.5057384371757507,0.08905000239610672,0.2969743311405182,0.7257776856422424,0.5,0.5,0.5,0.007074007298797369,0.13511860370635986,0.024727120995521545,0.17939525842666626,0.10999999940395355,0.17000000178813934,0.16928012669086456,0.22788706421852112,0.4650436341762543,0.3390364646911621,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_separate_theta_route_backbones,0.007472272031009197,0.34257644414901733,0.007472272031009197,0.34257644414901733,1.055442452430725,-0.9027106761932373,0.02014368213713169,0.3815004825592041,0.07897033542394638,0.35985156893730164,0.8753132820129395,-0.8769755363464355,0.47231364250183105,0.08395185321569443,0.2651485800743103,0.6751421093940735,0.36000001430511475,0.36000001430511475,0.36000001430511475,0.011031282134354115,0.1278081089258194,0.03558830916881561,0.20915280282497406,0.10000000149011612,0.25,-0.2832805812358856,0.27697333693504333,-0.9363602995872498,0.370510071516037,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_separate_theta_route_backbones,-0.013045363128185272,0.38415995240211487,-0.013045363128185272,0.38415995240211487,1.1857528686523438,-0.7900964021682739,-0.005326969549059868,0.36278966069221497,0.018143687397241592,0.3657512664794922,1.0321913957595825,-0.9132299423217773,0.5208706855773926,0.08321810513734818,0.32791709899902344,0.6702137589454651,0.6399999856948853,0.6399999856948853,0.6399999856948853,-0.0609331838786602,0.18720407783985138,0.008521613664925098,0.17716462910175323,0.23000000417232513,0.20000000298023224,0.5585346221923828,0.3386452794075012,0.2808636426925659,0.280293732881546,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_separate_theta_route_backbones,0.024814339354634285,0.36243459582328796,0.024814339354634285,0.36243459582328796,0.8963406085968018,-0.8824045658111572,-0.013264837674796581,0.34341248869895935,0.00022605944832321256,0.3671305477619171,0.6537662148475647,-1.0043830871582031,0.5048123002052307,0.08622371405363083,0.2724779546260834,0.6808863282203674,0.5400000214576721,0.5400000214576721,0.5400000214576721,-0.005992384161800146,0.10489220172166824,-0.0003561598132364452,0.17433986067771912,0.09000000357627869,0.1599999964237213,-1.4280296564102173,0.2857098877429962,0.5570660829544067,0.3016815185546875,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_separate_theta_route_backbones,0.0010003065690398216,0.3464008867740631,0.0010003065690398216,0.3464008867740631,1.0086246728897095,-0.9870266318321228,-0.0026793372817337513,0.3449799716472626,-0.007478429935872555,0.3562380075454712,0.8906196355819702,-1.2097351551055908,0.5049477219581604,0.09651096165180206,0.30854126811027527,0.7117556929588318,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.006121855229139328,0.16891978681087494,-0.01085706427693367,0.1736711859703064,0.18000000715255737,0.17000000178813934,-0.25269877910614014,0.2649635076522827,0.45021307468414307,0.29327261447906494,0
