epoch,offload_active_fraction,theta_positive_fraction,route_credit_weight_mean,route_credit_weight_std,route_credit_effective_fraction,route_credit_effective_count,theta_ratio_mean,route_ratio_mean,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,advantage_action_alignment
0,0.5200000405311584,0.49791666865348816,1.0,0.0,0.5200000405311584,2496.0,0.9920487999916077,0.9960873126983643,0.026777712628245354,0.0056928303092718124,0.4937500059604645,0.012419871985912323,0.006911195814609528
1,0.48854169249534607,0.5070833563804626,1.0,0.0,0.48854169249534607,2345.0,1.0225082635879517,1.0073013305664062,0.007997932843863964,0.004707896616309881,0.5589583516120911,0.19402983784675598,0.18537940084934235
2,0.43958333134651184,0.5077083706855774,1.0,0.0,0.43958333134651184,2110.0,1.0519737005233765,1.026394009590149,-0.026634983718395233,-0.01124432310461998,0.46291667222976685,0.24834123253822327,0.20778430998325348
3,0.3866666853427887,0.5164583325386047,1.0,0.0,0.3866666853427887,1856.0,1.0494236946105957,1.0643362998962402,-0.026345353573560715,-0.04320934787392616,0.3804166615009308,0.3184267282485962,0.19212527573108673
4,0.2979166805744171,0.5291666984558105,1.0,0.0,0.2979166805744171,1430.0,1.0486351251602173,1.0933047533035278,-0.033294569700956345,-0.06884169578552246,0.22958333790302277,0.3440559506416321,0.1604166328907013
5,0.26208335161209106,0.5268750190734863,1.0,0.0,0.26208335161209106,1258.0,1.023659586906433,1.070926547050476,-0.014532259665429592,-0.04366093873977661,0.14104166626930237,0.28616851568222046,-0.007649458944797516
6,0.2691666781902313,0.5329166650772095,1.0,0.0,0.2691666781902313,1292.0,1.0194239616394043,1.0458474159240723,-0.011490709148347378,-0.024803737178444862,0.132708340883255,0.22523219883441925,0.014953604899346828
7,0.2516666650772095,0.5414583683013916,1.0,0.0,0.2516666650772095,1208.0,1.0194170475006104,1.0521296262741089,-0.012396719306707382,-0.032666951417922974,0.11520833522081375,0.1986754983663559,0.0748661458492279
8,0.26125001907348633,0.550208330154419,1.0,0.0,0.26125001907348633,1254.0,1.0190566778182983,1.0305064916610718,-0.012155505828559399,-0.005918919574469328,0.11520833522081375,0.1850079745054245,-0.02380315214395523
9,0.26250001788139343,0.5479166507720947,1.0,0.0,0.26250001788139343,1260.0,1.0272458791732788,1.0282715559005737,-0.018171312287449837,-0.013993030413985252,0.13458333909511566,0.1428571492433548,0.03801075741648674
10,0.25979167222976685,0.5568749904632568,1.0,0.0,0.25979167222976685,1247.0,1.021807312965393,1.0281919240951538,-0.014501433819532394,-0.008171255700290203,0.11520833522081375,0.16680032014846802,0.1178012564778328
11,0.2472916692495346,0.5533333420753479,1.0,0.0,0.2472916692495346,1187.0,1.0176115036010742,1.026648998260498,-0.010454056784510612,-0.0073127602227032185,0.11833333969116211,0.15669755637645721,-0.05173429101705551
