epoch,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean
0,0.048896722388842316,5376000,2187023,0.40681231398809525,232668.234375,451681.94374998636,6431587.5,99157224.0,2398.4658203125,4191.064941406248,6053.897670898433,56718696.0,1.0,1.0,0.0,0.0
1,0.04383339345840998,5376000,1924069,0.3578997395833333,259059.59375,588580.1968749678,7251509.5,54256732.0,2344.130615234375,4399.40129394531,6185.515273437497,16304.5546875,1.0,1.0,0.0,0.0
2,0.04163236778215662,5376000,1022887,0.19026915922619048,235152.484375,590440.2874999894,6611238.5,43474092.0,1887.08837890625,3999.999755859375,4531.830292968745,12782.326171875,1.0,1.0,0.0,0.0
3,0.03958020123675973,5375998,662702,0.1232705071690875,229766.34375,583605.75,6452158.5,36928332.0,1731.17431640625,3898.183154296874,3999.999755859375,11549.333984375,1.0,1.0,0.0,0.0
4,0.03068080592653986,5376000,575615,0.10707124255952381,236143.375,625973.909374939,6650744.9399998,37122228.0,1707.310302734375,3759.8022827148434,3999.999755859375,10275.30859375,1.0,1.0,0.0,0.0
5,0.03152025341020339,5376000,589814,0.1097124255952381,246689.84375,674253.3281249937,7023450.5,37787816.0,1742.542724609375,3785.744140625,3999.999755859375,9926.1396484375,1.0,1.0,0.0,0.0
6,0.031000735078895548,5376000,523351,0.09734951636904762,248967.515625,708245.1406249974,7125972.0,37843252.0,1731.6175537109375,3706.197631835937,3999.999755859375,9812.3740234375,1.0,1.0,0.0,0.0
7,0.03220711600984931,5376000,533375,0.09921409970238096,253901.34375,747792.3781249924,7167845.5,37981952.0,1742.5335693359375,3733.401062011718,3999.999755859375,10248.5205078125,1.0,1.0,0.0,0.0
8,0.030973443026270017,5375999,560200,0.10420388843078282,261792.234375,790866.587499829,7355217.0,38031224.0,1762.068359375,3769.8352294921847,3999.999755859375,10316.6416015625,1.0,1.0,0.0,0.0
9,0.03188328587496131,5375976,562571,0.10464537044064184,266415.9375,821139.125,7474263.0,37055312.0,1762.76611328125,3749.8114624023438,3999.999755859375,9871.7685546875,1.0,1.0,0.0,0.0
10,0.02851798285924643,5375996,561537,0.10445264468202729,273426.71875,846545.375,7627143.0,36126088.0,1772.7022705078125,3721.9929809570312,3999.999755859375,9080.69140625,1.0,1.0,0.0,0.0
11,0.030245010525628193,5376000,552641,0.10279780505952381,279808.0625,892247.6531249748,7754650.5,35992320.0,1787.0771484375,3709.245275878906,3999.999755859375,9289.45703125,1.0,1.0,0.0,0.0
