epoch,ratio_mean,ratio_std,ratio_min,ratio_max,clip_fraction,positive_adv_clip_fraction,negative_adv_clip_fraction,approx_kl,entropy_loss,policy_loss,ratio_by_adv_sign
0,0.9716193675994873,0.04241388663649559,0.8645498156547546,1.091600775718689,0.0,0.0,0.0,0.029737981036305428,-0.030163580551743507,-0.0020865893457084894,"{""negative"": {""count"": 200, ""max"": 1.091600775718689, ""mean"": 0.9716193675994873, ""min"": 0.8645498156547546, ""std"": 0.04241388663649559}, ""positive"": {""count"": 0, ""max"": 0.0, ""mean"": 0.0, ""min"": 0.0, ""std"": 0.0}}"
1,0.9916096329689026,0.06064072251319885,0.8266772031784058,1.1520529985427856,0.0,0.0,0.0,0.010297936387360096,-0.030163580551743507,0.007204780355095863,"{""negative"": {""count"": 193, ""max"": 1.1495360136032104, ""mean"": 0.989153265953064, ""min"": 0.8266772031784058, ""std"": 0.0596587248146534}, ""positive"": {""count"": 7, ""max"": 1.1520529985427856, ""mean"": 1.0593359470367432, ""min"": 0.9971839189529419, ""std"": 0.04670388624072075}}"
2,1.0352522134780884,0.08005382865667343,0.7911941409111023,1.232903242111206,0.02499999850988388,0.0,0.02717391401529312,-0.03157779946923256,-0.030163580551743507,0.007529182359576225,"{""negative"": {""count"": 184, ""max"": 1.232903242111206, ""mean"": 1.0340889692306519, ""min"": 0.7911941409111023, ""std"": 0.08101009577512741}, ""positive"": {""count"": 16, ""max"": 1.1574167013168335, ""mean"": 1.0486294031143188, ""min"": 0.9351587295532227, ""std"": 0.06665502488613129}}"
3,1.0466760396957397,0.07339973747730255,0.7572107911109924,1.2281787395477295,0.014999999664723873,0.043478261679410934,0.011299435049295425,-0.04305296763777733,-0.030163580551743507,0.00923154503107071,"{""negative"": {""count"": 177, ""max"": 1.2269994020462036, ""mean"": 1.0430370569229126, ""min"": 0.7572107911109924, ""std"": 0.07397466897964478}, ""positive"": {""count"": 23, ""max"": 1.2281787395477295, ""mean"": 1.0746808052062988, ""min"": 0.9115808606147766, ""std"": 0.06204244866967201}}"
4,1.0567877292633057,0.054999940097332,0.7382086515426636,1.2441705465316772,0.009999999776482582,0.0,0.011363636702299118,-0.05380365997552872,-0.030163580551743507,0.012987015768885612,"{""negative"": {""count"": 176, ""max"": 1.2441705465316772, ""mean"": 1.0557749271392822, ""min"": 0.7382086515426636, ""std"": 0.05599995702505112}, ""positive"": {""count"": 24, ""max"": 1.1547764539718628, ""mean"": 1.0642145872116089, ""min"": 0.9402904510498047, ""std"": 0.04634971171617508}}"
5,1.02764093875885,0.051736019551754,0.8114457726478577,1.1964342594146729,0.0,0.0,0.0,-0.0259750634431839,-0.030163580551743507,0.01494987215846777,"{""negative"": {""count"": 166, ""max"": 1.1964342594146729, ""mean"": 1.0298205614089966, ""min"": 0.8114457726478577, ""std"": 0.05220303684473038}, ""positive"": {""count"": 34, ""max"": 1.1190340518951416, ""mean"": 1.0169992446899414, ""min"": 0.8870084881782532, ""std"": 0.04799143597483635}}"
6,1.0193101167678833,0.044147174805402756,0.8297151923179626,1.1378291845321655,0.0,0.0,0.0,-0.018167048692703247,-0.030163580551743507,0.009115232154726982,"{""negative"": {""count"": 162, ""max"": 1.1378291845321655, ""mean"": 1.0215431451797485, ""min"": 0.8297151923179626, ""std"": 0.045870065689086914}, ""positive"": {""count"": 38, ""max"": 1.0780771970748901, ""mean"": 1.0097907781600952, ""min"": 0.9202963709831238, ""std"": 0.034291740506887436}}"
7,1.02149498462677,0.036820828914642334,0.9257119297981262,1.1265034675598145,0.0,0.0,0.0,-0.020617902278900146,-0.030163580551743507,0.016441408544778824,"{""negative"": {""count"": 161, ""max"": 1.1265034675598145, ""mean"": 1.0195865631103516, ""min"": 0.9257119297981262, ""std"": 0.03724482282996178}, ""positive"": {""count"": 39, ""max"": 1.1168047189712524, ""mean"": 1.0293731689453125, ""min"": 0.9507846832275391, ""std"": 0.033897366374731064}}"
8,1.0145338773727417,0.03823518380522728,0.8495442867279053,1.1124262809753418,0.0,0.0,0.0,-0.01370182354003191,-0.030163580551743507,0.010061741806566715,"{""negative"": {""count"": 143, ""max"": 1.1124262809753418, ""mean"": 1.0161556005477905, ""min"": 0.9230952262878418, ""std"": 0.03335166722536087}, ""positive"": {""count"": 57, ""max"": 1.0974432229995728, ""mean"": 1.0104656219482422, ""min"": 0.8495442867279053, ""std"": 0.04812309145927429}}"
9,1.0230457782745361,0.043837133795022964,0.8258295655250549,1.1321523189544678,0.0,0.0,0.0,-0.02184448204934597,-0.030163580551743507,0.003446834161877632,"{""negative"": {""count"": 114, ""max"": 1.1189424991607666, ""mean"": 1.022291660308838, ""min"": 0.8787388801574707, ""std"": 0.04441748186945915}, ""positive"": {""count"": 86, ""max"": 1.1321523189544678, ""mean"": 1.0240455865859985, ""min"": 0.8258295655250549, ""std"": 0.043035443872213364}}"
