epoch,policy_surrogate_mode,actor_structure_mode,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_ratio_mean,route_ratio_std,route_ratio_max,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,theta_only_step_kl,route_only_step_kl,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction
0,hierarchical_actor_factorized_trust_region_pg,hierarchical_actor_separate_theta_route_backbones,0.9996160864830017,0.17154064774513245,2.708608865737915,0.9955359101295471,0.14040978252887726,1.7017123699188232,0.014479786157608032,0.014561877585947514,0.16875000298023224,0.15842413902282715,8.48226591187995e-06,0.0011231197495362721,0.03,0.015,1,10,0,40,16,0.4970833361148834,0.4970833361148834
1,hierarchical_actor_factorized_trust_region_pg,hierarchical_actor_separate_theta_route_backbones,1.006249189376831,0.3237055838108063,5.020461082458496,1.0110689401626587,0.34675902128219604,3.3725733757019043,0.03870003670454025,0.04244675859808922,0.33666667342185974,0.4847457706928253,0.0021222674404270947,0.002977839957518307,0.03,0.015,9,9,0,21,19,0.49166667461395264,0.49166667461395264
2,hierarchical_actor_factorized_trust_region_pg,hierarchical_actor_separate_theta_route_backbones,1.0024569034576416,0.33068007230758667,9.663727760314941,1.00934636592865,0.3022517263889313,2.9687769412994385,0.03761008009314537,0.033119671046733856,0.31041666865348816,0.40067058801651,0.002208252248237841,0.0019152912569148208,0.03,0.015,7,8,0,20,18,0.4970833361148834,0.4970833361148834
3,hierarchical_actor_factorized_trust_region_pg,hierarchical_actor_separate_theta_route_backbones,1.0052233934402466,0.33506327867507935,6.786399841308594,1.0099308490753174,0.3336280882358551,5.5617547035217285,0.04028696194291115,0.03560224920511246,0.3466666638851166,0.41337907314300537,0.0016496645101277089,0.0015468298707243153,0.03,0.015,7,9,0,27,19,0.4858333468437195,0.4858333468437195
4,hierarchical_actor_factorized_trust_region_pg,hierarchical_actor_separate_theta_route_backbones,0.9976692795753479,0.31560438871383667,5.635425090789795,0.9943345785140991,0.2702573835849762,4.829357624053955,0.04589346423745155,0.04091867804527283,0.34458333253860474,0.33675214648246765,0.0026308536140608007,0.003163609038373189,0.03,0.015,7,9,0,22,14,0.48750001192092896,0.48750001192092896
