block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_advantage_mean,block_advantage_std,block_advantage_max,block_advantage_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
5,15,18,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.005580749362707138,0.5362828969955444,1.4961024522781372,-1.3770381212234497,0.9900000095367432,-0.6843559145927429,0.4351501762866974,1
6,18,21,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.0004906582762487233,0.5121221542358398,1.5596637725830078,-1.2134666442871094,0.9599999785423279,-0.5380483269691467,0.5282439589500427,1
7,21,24,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.00384825118817389,0.19774258136749268,0.3669702410697937,-0.5148745775222778,1.0,-0.6060450673103333,0.6824556589126587,1
8,24,27,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.01537400484085083,0.35891467332839966,0.7524538040161133,-1.1462512016296387,0.9800000190734863,-0.3973650336265564,0.8181301355361938,1
9,27,30,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.0037448860239237547,0.5682327747344971,1.402673602104187,-1.7959941625595093,0.9700000286102295,-0.3998868465423584,0.8639470338821411,1
10,30,33,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.005523660220205784,0.5531089305877686,1.3791882991790771,-1.534117341041565,0.949999988079071,-0.5001007318496704,0.5872834920883179,1
11,33,36,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.008843696676194668,0.21767236292362213,0.48038893938064575,-0.590079128742218,0.9700000286102295,-0.5986647605895996,0.5023491382598877,1
12,36,39,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.0018596395384520292,0.2308560162782669,0.7350924611091614,-0.6101305484771729,0.9700000286102295,-0.5497024059295654,0.7922673225402832,1
13,39,42,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,0.0016397833824157715,0.37895065546035767,1.0224149227142334,-1.0544333457946777,0.9599999785423279,-0.5999226570129395,0.4973950982093811,1
14,42,45,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.006408201530575752,0.40369686484336853,1.130122184753418,-1.0585440397262573,1.0,-0.6703913807868958,0.5374876856803894,1
