block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,theta_advantage_mean,theta_advantage_std,theta_advantage_max,theta_advantage_min,route_advantage_mean,route_advantage_std,route_advantage_max,route_advantage_min,theta_selected_action_prob_gain_mean,theta_selected_action_prob_gain_std,route_selected_action_prob_gain_mean,route_selected_action_prob_gain_std,theta_clip_fraction,route_clip_fraction,offload_vs_local_value_gap_mean,offload_vs_local_value_gap_std,bs1_vs_bs2_value_gap_mean,bs1_vs_bs2_value_gap_std,epoch
0,0,3,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005477041122503579,0.11286024749279022,-0.013593864627182484,0.19856078922748566,0.07999999821186066,0.27000001072883606,0.0,0.0,0.0,0.0,0
1,3,6,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022207212168723345,0.12678126990795135,-0.008516676723957062,0.1862414926290512,0.10000000149011612,0.20999999344348907,0.0,0.0,0.0,0.0,0
2,6,9,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01460606325417757,0.16976113617420197,-0.006297379266470671,0.16646814346313477,0.25,0.25,0.0,0.0,0.0,0.0,0
3,9,12,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034963708370923996,0.20286190509796143,-0.008607280440628529,0.20956763625144958,0.12999999523162842,0.25,0.0,0.0,0.0,0.0,0
4,12,15,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020763915963470936,0.12266688048839569,-0.011224610731005669,0.2241295576095581,0.10000000149011612,0.25999999046325684,0.0,0.0,0.0,0.0,0
5,15,18,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00829103123396635,0.11763722449541092,0.008470774628221989,0.22578290104866028,0.07999999821186066,0.3199999928474426,0.0,0.0,0.0,0.0,0
6,18,21,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019382894039154053,0.1544381082057953,0.003523299004882574,0.24131572246551514,0.12999999523162842,0.25,0.0,0.0,0.0,0.0,0
7,21,24,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01450236514210701,0.10083255171775818,0.0022056163288652897,0.19062992930412292,0.05000000074505806,0.20999999344348907,0.0,0.0,0.0,0.0,0
8,24,27,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014670023694634438,0.10560576617717743,-0.01854638382792473,0.16352444887161255,0.05000000074505806,0.1899999976158142,0.0,0.0,0.0,0.0,0
9,27,30,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004687023174483329,0.21448230743408203,0.0042965589091181755,0.21012236177921295,0.17000000178813934,0.20000000298023224,0.0,0.0,0.0,0.0,0
10,30,33,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004139612894505262,0.09379898011684418,-0.012477871961891651,0.17562435567378998,0.07000000029802322,0.23000000417232513,0.0,0.0,0.0,0.0,0
11,33,36,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009875821880996227,0.09922059625387192,-0.005079103633761406,0.15206590294837952,0.05999999865889549,0.11999999731779099,0.0,0.0,0.0,0.0,0
12,36,39,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015142214251682162,0.11400406062602997,-0.02572932280600071,0.18816907703876495,0.07000000029802322,0.25,0.0,0.0,0.0,0.0,0
13,39,42,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008408790454268456,0.147907555103302,-0.0028738020919263363,0.1603882759809494,0.14000000059604645,0.20999999344348907,0.0,0.0,0.0,0.0,0
14,42,45,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01688794046640396,0.1536858230829239,0.00242194184102118,0.1434101164340973,0.1599999964237213,0.14000000059604645,0.0,0.0,0.0,0.0,0
15,45,48,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011930609121918678,0.15887348353862762,-0.008714116178452969,0.24964779615402222,0.17000000178813934,0.3700000047683716,0.0,0.0,0.0,0.0,0
16,48,51,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012371725169941783,0.10479152202606201,-0.02178148925304413,0.17196276783943176,0.05999999865889549,0.1599999964237213,0.0,0.0,0.0,0.0,0
17,51,54,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007624620338901877,0.1582418829202652,-0.012692790478467941,0.2178003340959549,0.17000000178813934,0.28999999165534973,0.0,0.0,0.0,0.0,0
18,54,57,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006132624112069607,0.16558045148849487,0.018796460703015327,0.1885930597782135,0.20000000298023224,0.25,0.0,0.0,0.0,0.0,0
19,57,60,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014328760094940662,0.20817482471466064,-0.0021369464229792356,0.10057073831558228,0.3100000023841858,0.05000000074505806,0.0,0.0,0.0,0.0,0
20,60,63,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003877244656905532,0.17074520885944366,0.001177715603262186,0.13270948827266693,0.14000000059604645,0.14000000059604645,0.0,0.0,0.0,0.0,0
21,63,66,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01347817201167345,0.11953696608543396,0.023979807272553444,0.2033441960811615,0.09000000357627869,0.25,0.0,0.0,0.0,0.0,0
22,66,69,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013630992034450173,0.10169409960508347,-0.01740909554064274,0.20293202996253967,0.07000000029802322,0.25999999046325684,0.0,0.0,0.0,0.0,0
23,69,72,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002659130608662963,0.1325594037771225,0.0003711175813805312,0.21392029523849487,0.10000000149011612,0.17000000178813934,0.0,0.0,0.0,0.0,0
0,0,3,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005611121887341142,0.22233949601650238,0.024535181000828743,0.3027442395687103,0.28999999165534973,0.36000001430511475,0.0,0.0,0.0,0.0,1
1,3,6,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022154783364385366,0.2906109690666199,0.048552483320236206,0.44663771986961365,0.3799999952316284,0.6200000047683716,0.0,0.0,0.0,0.0,1
2,6,9,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05193463712930679,0.450519323348999,0.12262654304504395,0.6769346594810486,0.25999999046325684,0.6200000047683716,0.0,0.0,0.0,0.0,1
