epoch,policy_surrogate_mode,actor_structure_mode,theta_only_step_kl,route_only_step_kl,theta_only_step_prob_gain,route_only_step_prob_gain,theta_after_route_shift,route_after_theta_shift,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction
0,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop,hierarchical_actor_separate_theta_route_backbones,0.004098762758076191,0.0021549962229156254,-0.00014764380466658622,0.0005530325103212487,0.0,0.0029193044174462557,0.20056598728781214,0.44060300952777953,0.3484485867436433,0.29081979600291225,0.03,0.015,0,10,10,1,11,0.4970833361148834,0.4970833361148834
1,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop,hierarchical_actor_separate_theta_route_backbones,0.0013007338259285461,0.0013571191467841952,-0.0004759779076266568,-0.0007715573371266752,0.0,0.0008194185284082778,0.28878931659881507,0.4674258940326245,0.5558370912980652,0.4479080178753274,0.03,0.015,4,7,5,16,24,0.49916666746139526,0.49916666746139526
2,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop,hierarchical_actor_separate_theta_route_backbones,0.0018564676760103214,0.0022297695931659915,-0.0010804350101600655,-0.001605778656850912,0.0,0.0008286834927275777,0.33956881450887877,0.58883817095059,0.6500416478789647,0.5316083004636222,0.03,0.015,1,8,7,11,19,0.4975000023841858,0.4975000023841858
3,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop,hierarchical_actor_separate_theta_route_backbones,0.0010428414704316917,0.0020588142549968326,-0.0003819680681165967,-0.001400125071813818,0.0,0.0006932625741076966,0.30589154688116066,0.6059429328107769,0.5802492155172149,0.523486960910341,0.03,0.015,0,8,8,12,20,0.48750001192092896,0.48750001192092896
4,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop,hierarchical_actor_separate_theta_route_backbones,0.002637894998770207,0.0022289120364910237,-0.001978535975568876,-0.0015209849653354682,0.0,0.0007697141845710576,0.32489875210380875,0.6194152181713425,0.6044327151982555,0.5447514815689563,0.03,0.015,0,8,8,9,17,0.4895833432674408,0.4895833432674408
