epoch,offload_active_fraction,route_logprob_active_fraction,route_residual_credit_mean,route_residual_credit_std,route_expected_score_mean,route_selected_score_mean,route_ratio_mean,route_approx_kl,route_clip_fraction,advantage_action_alignment
0,0.4970833361148834,0.4970833361148834,0.0,0.0,0.0,0.0,1.0014052391052246,0.008539398200809956,0.107292540371418,-0.07958312332630157
1,0.4970833361148834,0.4970833361148834,0.0,0.0,0.0,0.0,0.9971001744270325,0.01863214187324047,0.28080469369888306,-0.08193326741456985
2,0.4833333194255829,0.4833333194255829,0.0,0.0,0.0,0.0,0.9982360601425171,0.015389150008559227,0.22068965435028076,0.05848333239555359
3,0.4829166531562805,0.4829166531562805,0.0,0.0,0.0,0.0,1.0031733512878418,0.014472339302301407,0.2855910360813141,-0.07774760574102402
4,0.4754166603088379,0.4754166603088379,0.0,0.0,0.0,0.0,0.995905876159668,0.019060183316469193,0.23838737607002258,-0.07801847904920578
