epoch,theta_selected_score_mean,theta_expected_score_mean,theta_residual_credit_mean,theta_residual_credit_std,theta_ratio_mean,theta_approx_kl,theta_clip_fraction,advantage_action_alignment,offload_decision_agreement_ratio,actual_offload_rate_when_theta_true_gap_positive,actual_offload_rate_when_theta_true_gap_negative
0,-0.029999542981386185,-0.010245464742183685,-0.0197540782392025,0.9906055331230164,0.9966967105865479,0.023173606023192406,0.5047916769981384,0.10573726147413254,0.48416668176651,0.5,0.5150817036628723
1,0.02874961867928505,0.0050806207582354546,0.02366900071501732,0.9362168908119202,1.0209987163543701,0.00912965927273035,0.5433333516120911,-0.04376623034477234,0.5141666531562805,0.20000000298023224,0.4852232038974762
2,0.13791458308696747,0.04667523503303528,0.09123935550451279,0.8454020619392395,1.047603726387024,-0.02168360911309719,0.4554166793823242,0.21161118149757385,0.5697916746139526,0.5,0.43066611886024475
3,0.25249481201171875,0.10537698119878769,0.14711782336235046,0.745347261428833,1.0521843433380127,-0.0300519447773695,0.3604166805744171,0.178922638297081,0.6274999976158142,0.0714285746216774,0.3714825510978699
4,0.3299792408943176,0.1880340427160263,0.14194519817829132,0.6510910391807556,1.044420599937439,-0.026967240497469902,0.24791666865348816,0.19680297374725342,0.6660416722297668,0.26946109533309937,0.31980904936790466
5,0.2912328541278839,0.2102508395910263,0.0809820294380188,0.5547299981117249,1.0239787101745605,-0.015415090136229992,0.1339583396911621,0.13202622532844543,0.6475000381469727,0.09788867086172104,0.2864864766597748
6,0.21743981540203094,0.16194112598896027,0.05549868941307068,0.5235799551010132,1.0024292469024658,0.0047411611303687096,0.12020833790302277,-0.13604113459587097,0.6100000143051147,0.059474412351846695,0.29262274503707886
7,0.2899859547615051,0.2013900727033615,0.0885959044098854,0.523409366607666,1.02711820602417,-0.018892766907811165,0.12812499701976776,-0.0263602826744318,0.6460416913032532,0.07939913868904114,0.2930394411087036
8,0.233334019780159,0.17138943076133728,0.06194458156824112,0.48779764771461487,1.0210723876953125,-0.013844613917171955,0.12062500417232513,0.03662460669875145,0.6181250214576721,0.06363636255264282,0.29397472739219666
9,0.2641027271747589,0.19498619437217712,0.06911656260490417,0.4727921783924103,1.0186208486557007,-0.011979439295828342,0.1145833358168602,-0.050513774156570435,0.6337500214576721,0.08785942196846008,0.28506022691726685
10,0.1270812749862671,0.09675326198339462,0.03032800741493702,0.5040387511253357,1.0011615753173828,0.015642846003174782,0.21062500774860382,0.12106277793645859,0.5649999976158142,0.09943714737892151,0.3777987062931061
11,0.28624412417411804,0.20902810990810394,0.0772160217165947,0.47925201058387756,1.0301440954208374,-0.016953958198428154,0.16875000298023224,-0.000709592888597399,0.6447916626930237,0.10547666996717453,0.2941863238811493
