epoch,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
0,0.05695337437721319,5375998,0,0.0,174239.15625,388713.0625,4776791.0,89635400.0,174239.15625,388713.0625,4776791.0,89635400.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,0.0429526409314445,5376000,0,0.0,208139.96875,542040.3906249986,5714786.5,38780332.0,208139.96875,542040.3906249986,5714786.5,38780332.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,0.048453490426605225,5376000,0,0.0,202901.65625,562310.274999992,5726560.5,33614496.0,202901.65625,562310.274999992,5726560.5,33614496.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,0.041322211895759575,5375998,0,0.0,199718.53125,563716.1875,5574156.620000092,29254092.0,199718.53125,563716.1875,5574156.620000092,29254092.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4,0.036306142963613224,5375993,0,0.0,205345.46875,595791.0625,5661245.0,30237884.0,205345.46875,595791.0625,5661245.0,30237884.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5,0.03053160895950785,5376000,0,0.0,213766.21875,629364.9562499969,5835542.0,30430240.0,213766.21875,629364.9562499969,5835542.0,30430240.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
6,0.031282679516741914,5376000,0,0.0,220861.734375,666612.5406249962,6036773.0,30129352.0,220861.734375,666612.5406249962,6036773.0,30129352.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
7,0.03031706206543801,5375996,0,0.0,227242.640625,701746.0625,6285775.0,28744186.0,227242.640625,701746.0625,6285775.0,28744186.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
8,0.030903484997355443,5376000,0,0.0,234875.953125,733051.1718749851,6510147.5,28695764.0,234875.953125,733051.1718749851,6510147.5,28695764.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
9,0.030260526510430014,5376000,0,0.0,242720.375,771569.5874999985,6804864.5,29803664.0,242720.375,771569.5874999985,6804864.5,29803664.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
10,0.0370691333314895,5376000,0,0.0,246396.953125,792828.0874999999,6969894.699999906,30467536.0,246396.953125,792828.0874999999,6969894.699999906,30467536.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
11,0.028542722239651045,5375998,0,0.0,249341.046875,802015.0625,6976743.5,30740952.0,249341.046875,802015.0625,6976743.5,30740952.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
