epoch,policy_surrogate_mode,actor_structure_mode,route_mask_mean,route_mask_active_fraction,route_mask_count_mean,route_mask_count_std,offload_rate_mean,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm
0,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.51583331823349,0.51583331823349,12.380000114440918,2.4011664390563965,0.5044488906860352,0.07444585836001309,0.08076058032028481,0.07248280859122169,0.05735788161187213
1,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.48520833253860474,0.48520833253860474,11.644999504089355,2.5414514541625977,0.4964854121208191,0.06495251238492572,0.0865351703113179,0.09184990430245044,0.09196328589477731
2,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.43020835518836975,0.43020835518836975,10.324999809265137,3.0330471992492676,0.47895753383636475,0.06164983925394181,0.09197990143389122,0.09958868815344628,0.11417415426432698
3,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3700000047683716,0.3700000047683716,8.880000114440918,3.4022934436798096,0.4473090171813965,0.055953071220520456,0.0935553590035047,0.098972220845202,0.1254075607094886
4,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3179166615009308,0.3179166615009308,7.62999963760376,2.948406457901001,0.3966038227081299,0.04903534624131636,0.09284383614524505,0.08924869507573058,0.14598655931749221
5,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.26520833373069763,0.26520833373069763,6.364999771118164,1.7469329833984375,0.3318161964416504,0.04544703745117481,0.08727711519788312,0.0733623488181836,0.15112378159853937
6,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.25729167461395264,0.25729167461395264,6.174999713897705,1.415759563446045,0.31210237741470337,0.041967558323049846,0.07436767297924204,0.07302191622641158,0.13929591636447267
7,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.2722916603088379,0.2722916603088379,6.534999847412109,1.5161710977554321,0.3384838402271271,0.03849594522498271,0.06584790915137806,0.0693422938098745,0.11892030991875581
8,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.2618750035762787,0.2618750035762787,6.284999847412109,1.5823322534561157,0.31750887632369995,0.03474092089539271,0.052161428060549436,0.06708008971750501,0.10446693723868225
9,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.25874999165534973,0.25874999165534973,6.210000038146973,1.3137352466583252,0.3151140511035919,0.03252244129952601,0.05721195568200402,0.06509086978450958,0.116405369902864
10,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3460416793823242,0.3460416793823242,8.304999351501465,3.9002532958984375,0.379248708486557,0.02911445089883362,0.045229123177074046,0.06923187588831528,0.08422482830029689
11,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.27416667342185974,0.27416667342185974,6.579999923706055,2.0380382537841797,0.33544525504112244,0.030323707301571245,0.04804477875555062,0.07026804911688216,0.09585268250966957
