epoch,policy_surrogate_mode,actor_structure_mode,route_gate_mean,route_gate_std,route_gate_min,route_gate_max,route_gate_active_fraction,offload_rate_mean,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm
0,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.5044488906860352,0.0928858146071434,0.19961726665496826,0.8088225722312927,0.51583331823349,0.5044488906860352,0.07444585836001309,0.08076058032028481,0.07248280859122169,0.05735788161187213
1,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.4964854121208191,0.1118241474032402,0.15374256670475006,0.8449500799179077,0.48520833253860474,0.4964854121208191,0.06495251238492572,0.0865351703113179,0.09184990430245044,0.09196328589477731
2,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.47895753383636475,0.1487920582294464,0.07928378880023956,0.9327758550643921,0.43020835518836975,0.47895753383636475,0.06164983925394181,0.09197990143389122,0.09958868815344628,0.11417415426432698
3,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.4473090171813965,0.18559928238391876,0.04662847891449928,0.9704301953315735,0.3700000047683716,0.4473090171813965,0.055953071220520456,0.0935553590035047,0.098972220845202,0.1254075607094886
4,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3966038227081299,0.2219255417585373,0.01892644539475441,0.9889020919799805,0.3179166615009308,0.3966038227081299,0.04903534624131636,0.09284383614524505,0.08924869507573058,0.14598655931749221
5,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3318161964416504,0.2533397376537323,0.014400435611605644,0.9772031307220459,0.26520833373069763,0.3318161964416504,0.04544703745117481,0.08727711519788312,0.0733623488181836,0.15112378159853937
6,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.31210237741470337,0.27198556065559387,0.008710172958672047,0.9928537011146545,0.25729167461395264,0.31210237741470337,0.041967558323049846,0.07436767297924204,0.07302191622641158,0.13929591636447267
7,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3384838402271271,0.2731296420097351,0.015016412362456322,0.9959160685539246,0.2722916603088379,0.3384838402271271,0.03849594522498271,0.06584790915137806,0.0693422938098745,0.11892030991875581
8,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.31750887632369995,0.28824201226234436,0.005313802510499954,0.998375415802002,0.2618750035762787,0.31750887632369995,0.03474092089539271,0.052161428060549436,0.06708008971750501,0.10446693723868225
9,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3151140511035919,0.2926406264305115,0.007336965762078762,0.9992558360099792,0.25874999165534973,0.3151140511035919,0.03252244129952601,0.05721195568200402,0.06509086978450958,0.116405369902864
10,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.379248708486557,0.31794628500938416,0.004979684483259916,0.999365508556366,0.3460416793823242,0.379248708486557,0.02911445089883362,0.045229123177074046,0.06923187588831528,0.08422482830029689
11,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.33544525504112244,0.29795873165130615,0.00522432429715991,0.9986861348152161,0.27416667342185974,0.33544525504112244,0.030323707301571245,0.04804477875555062,0.07026804911688216,0.09585268250966957
