epoch,policy_surrogate_mode,actor_structure_mode,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_ratio_mean,route_ratio_std,route_ratio_max,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,theta_only_step_kl,route_only_step_kl,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,coupled_stop_blocked_by_theta_floor_count,coupled_stop_blocked_by_severity_gate_count,coupled_stop_min_theta_updates_per_epoch,coupled_stop_severity_factor,coupled_stop_severity_freeze_kl_threshold,route_update_cap_trigger_count,route_update_cap_per_epoch,route_alignment_gate_threshold,route_alignment_gate_accept_count,route_alignment_gate_reject_count,route_alignment_gate_reject_rate,route_alignment_gate_score_mean,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction,route_mask_threshold,route_confident_mask_margin
0,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,hierarchical_actor_separate_theta_route_backbones,0.9980697631835938,0.13633513450622559,2.4296815395355225,0.9920045733451843,0.14777728915214539,2.002201795578003,0.010844889096915722,0.019149674102663994,0.10916666686534882,0.1458507925271988,0.0008528103505394777,0.0023399213678203523,0.03,0.015,0,10,6,0,4,0,1.5,0.0225,0,0,0.015,11,0,0.0,0.014252130153842947,17,11,0.4970833361148834,0.4970833361148834,0.5,0.0
1,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,hierarchical_actor_separate_theta_route_backbones,1.0066192150115967,0.2914145886898041,3.8710973262786865,1.0193781852722168,0.3187028765678406,3.3773505687713623,0.030769331380724907,0.025492262095212936,0.3233333230018616,0.4382767081260681,0.0018348402772971895,0.0016980316111585125,0.03,0.015,6,7,3,0,3,0,1.5,0.0225,0,0,0.015,20,0,0.0,0.02044437895528972,20,20,0.502916693687439,0.502916693687439,0.5,0.0
2,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,hierarchical_actor_separate_theta_route_backbones,1.0031380653381348,0.2607114911079407,5.979119777679443,1.0083281993865967,0.29078152775764465,3.0841872692108154,0.02570910006761551,0.03177092224359512,0.2658333480358124,0.39053255319595337,0.0016880145734603502,0.0014428849443854567,0.03,0.015,2,8,5,0,2,0,1.5,0.0225,0,0,0.015,19,0,0.0,0.02029818218005331,16,19,0.49291667342185974,0.49291667342185974,0.5,0.0
3,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,hierarchical_actor_separate_theta_route_backbones,1.0050537586212158,0.30609357357025146,4.936401844024658,1.0007880926132202,0.2672625184059143,2.98630428314209,0.0345749668776989,0.033527713268995285,0.31166666746139526,0.37207284569740295,0.001109595629186515,0.001219318555538646,0.03,0.015,4,9,2,0,2,0,1.5,0.0225,0,0,0.015,18,0,0.0,0.020981171323607366,25,18,0.4804166555404663,0.4804166555404663,0.5,0.0
4,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,hierarchical_actor_separate_theta_route_backbones,0.9965908527374268,0.2696942389011383,4.386580467224121,0.9972675442695618,0.24662339687347412,2.6526803970336914,0.039247021079063416,0.03508850932121277,0.31708332896232605,0.3393939435482025,0.002608273370978644,0.0025565177929820493,0.03,0.015,6,8,1,0,4,0,1.5,0.0225,0,0,0.015,16,0,0.0,0.020744398469105363,21,16,0.48124998807907104,0.48124998807907104,0.5,0.0
