seed,epochs_completed,best_reward,final_reward,best_epoch,reward_gap,final_critic_loss,avg_theta_last10_mean
2025,10,-395.83676100833,-407.1179579446401,6,-11.281196936310153,2586.470526123047,0.4912100415045776
2026,9,-402.6846773139032,-407.9681835088619,5,-5.283506194958704,2651.671032714844,0.4886275131940243
2027,8,-406.0721716533687,-411.68480801147325,4,-5.612636358104567,2739.1017211914063,0.49114833148166026
2028,7,-410.7573136107371,-416.52223977104825,3,-5.76492616031112,2908.734716796875,0.48978946797670275
2029,6,-405.6041844046169,-411.06906648429054,2,-5.464882079673657,2840.511584472656,0.48487961252504325
