block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_value_pred_mean,block_value_pred_std,block_value_pred_max,block_value_pred_min,block_td_target_mean,block_td_target_std,block_td_target_max,block_td_target_min,block_td_advantage_mean,block_td_advantage_std,block_td_advantage_max,block_td_advantage_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-0.7848665714263916,0.20686925947666168,0.03821485489606857,-1.1233412027359009,-1.5153489112854004,0.35637539625167847,-0.580774188041687,-2.245281219482422,-0.7304823398590088,0.3680994510650635,0.13217192888259888,-1.5368077754974365,0.4000000059604645,-0.12745755910873413,0.1967814862728119,0
1,3,6,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-0.9204744100570679,0.1615086942911148,-0.4288977384567261,-1.2947509288787842,-1.436915636062622,0.39561668038368225,-0.7435449361801147,-2.9911234378814697,-0.5164411067962646,0.4240577816963196,0.16638410091400146,-2.2717278003692627,0.4399999976158142,-0.13808585703372955,0.17420312762260437,0
2,6,9,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-1.2291661500930786,0.3075558543205261,0.3029507100582123,-1.745267391204834,-1.7816894054412842,0.4969605803489685,-0.14091846346855164,-3.1079907417297363,-0.5525233745574951,0.46719199419021606,0.6845669746398926,-1.9577949047088623,0.47999998927116394,-0.1397387981414795,0.21549975872039795,0
3,9,12,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-1.0064330101013184,0.1997002214193344,-0.4007096290588379,-1.432979702949524,-1.732560396194458,0.30391788482666016,-0.813130259513855,-2.580416202545166,-0.7261276245117188,0.3207855820655823,-0.03418147563934326,-1.7088974714279175,0.47999998927116394,-0.18191564083099365,0.17828156054019928,0
4,12,15,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-0.5966837406158447,0.1552615761756897,-0.14009904861450195,-1.0391697883605957,-1.2946871519088745,0.30942392349243164,-0.7326523661613464,-2.025871992111206,-0.6980035305023193,0.3484634459018707,0.004468441009521484,-1.5309169292449951,0.4000000059604645,-0.1575024425983429,0.15952938795089722,0
5,15,18,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-1.4101780652999878,0.20196467638015747,-0.23038984835147858,-1.7834715843200684,-1.9166101217269897,0.4343147575855255,-0.3269738554954529,-3.2270894050598145,-0.5064319372177124,0.4114852845668793,0.39676332473754883,-2.0562286376953125,0.6399999856948853,-0.16240227222442627,0.2894180417060852,0
6,18,21,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-0.9475787281990051,0.16293971240520477,-0.43599817156791687,-1.4144294261932373,-1.440192699432373,0.39698219299316406,-0.4279614984989166,-2.528545618057251,-0.49261391162872314,0.3996497392654419,0.3243221938610077,-1.6479706764221191,0.4699999988079071,-0.11183980852365494,0.22659127414226532,0
7,21,24,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-0.40883591771125793,0.1919880360364914,0.326072096824646,-0.8431286811828613,-1.1692149639129639,0.2710665464401245,-0.3537161350250244,-1.7399358749389648,-0.7603790760040283,0.30761486291885376,0.3275599479675293,-1.5406721830368042,0.46000000834465027,-0.16316361725330353,0.18276560306549072,0
8,24,27,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-0.8185872435569763,0.1838381588459015,-0.017694495618343353,-1.1932551860809326,-1.568198561668396,0.3964623808860779,-0.588947057723999,-2.85457706451416,-0.7496113777160645,0.3785393238067627,0.0510636568069458,-1.9130735397338867,0.6499999761581421,-0.20823925733566284,0.2538725435733795,0
9,27,30,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-0.8084217309951782,0.17110900580883026,-0.24223990738391876,-1.192640781402588,-1.355716347694397,0.4524345397949219,-0.528979480266571,-3.020826816558838,-0.5472947955131531,0.4960687458515167,0.34183579683303833,-2.287747621536255,0.4399999976158142,-0.13486643135547638,0.2140713781118393,0
10,30,33,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-0.6438817381858826,0.18050004541873932,0.2636485695838928,-1.179643988609314,-1.194817304611206,0.4482508897781372,0.019001781940460205,-2.6120362281799316,-0.5509356260299683,0.42324382066726685,0.7107909321784973,-1.971557378768921,0.4300000071525574,-0.10545795410871506,0.23252107203006744,0
11,33,36,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-1.1018201112747192,0.26120254397392273,0.04752000421285629,-1.5402036905288696,-1.7894179821014404,0.3342605531215668,-0.6670204401016235,-2.451885461807251,-0.6875979900360107,0.28850266337394714,0.22621583938598633,-1.4743804931640625,0.47999998927116394,-0.14465060830116272,0.19759738445281982,0
12,36,39,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-1.0521306991577148,0.2822996973991394,0.4762505292892456,-1.580566644668579,-1.832279920578003,0.45921799540519714,-0.6249305605888367,-2.912262201309204,-0.7801491022109985,0.4261595904827118,0.013598799705505371,-1.917041301727295,0.4000000059604645,-0.1647384613752365,0.18228991329669952,0
13,39,42,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-0.07725179940462112,0.17705479264259338,0.42279624938964844,-0.6942826509475708,-0.6058000326156616,0.3405836522579193,0.09871503710746765,-1.4008169174194336,-0.5285481810569763,0.3491813540458679,0.45336300134658813,-1.3379690647125244,0.5699999928474426,-0.1773979216814041,0.23361477255821228,0
14,42,45,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-0.6299321055412292,0.2110283374786377,0.25406232476234436,-1.0146386623382568,-1.2167961597442627,0.3995937407016754,-0.12758982181549072,-2.140026330947876,-0.5868639945983887,0.42007750272750854,0.17714756727218628,-1.6553246974945068,0.2800000011920929,-0.09601106494665146,0.14091821014881134,0
15,45,48,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-2.079646348953247,0.31717315316200256,-0.33292677998542786,-2.6379103660583496,-2.8719310760498047,0.42405569553375244,-0.9680919647216797,-3.5875022411346436,-0.7922847270965576,0.376828670501709,0.4066866636276245,-1.719840407371521,0.4699999988079071,-0.1539061963558197,0.18019121885299683,0
16,48,51,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-0.39030471444129944,0.18492262065410614,0.1356639564037323,-0.8125872611999512,-1.1166648864746094,0.3435595631599426,-0.2889046370983124,-1.9039051532745361,-0.7263601422309875,0.3838840425014496,0.019907057285308838,-1.4715631008148193,0.49000000953674316,-0.11990345269441605,0.21332280337810516,0
17,51,54,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-0.7283389568328857,0.17851559817790985,-0.2561686336994171,-1.148880958557129,-1.2926870584487915,0.40669432282447815,-0.5099416971206665,-2.3430631160736084,-0.5643479824066162,0.40657952427864075,0.420457124710083,-1.5045111179351807,0.41999998688697815,-0.12521302700042725,0.19907158613204956,0
18,54,57,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-1.0165363550186157,0.19153904914855957,-0.4597657024860382,-1.3270819187164307,-1.5142340660095215,0.37199705839157104,-0.5655807256698608,-2.3585143089294434,-0.4976975917816162,0.3597779870033264,0.2664574384689331,-1.3244606256484985,0.3700000047683716,-0.09397980570793152,0.20845693349838257,0
19,57,60,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-0.8036174178123474,0.1946839690208435,-0.12783797085285187,-1.1740738153457642,-1.5173603296279907,0.25899234414100647,-0.8648651838302612,-2.2857298851013184,-0.7137430310249329,0.32051098346710205,0.08379828929901123,-1.572679042816162,0.6600000262260437,-0.2222936600446701,0.2625839114189148,0
20,60,63,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,-0.4695354402065277,0.1456998586654663,-0.05620960146188736,-0.8885892629623413,-1.268946886062622,0.39230284094810486,-0.4288417398929596,-2.0848519802093506,-0.7994114756584167,0.3923529386520386,0.1554807424545288,-1.764225959777832,0.550000011920929,-0.17571662366390228,0.20749923586845398,0
