telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip
0,0,0,0,0.09716646351045992,77696,49091,0.6318343286655683,337441.9375,813527.0625,8006502.950000231,87227216.0,7903.95458984375,10889.51220703125,55061.98457031283,87227216.0
1,0,0,1,0.07320697490241262,77696,48619,0.6257593698517299,270077.34375,738439.078125,6883893.5,70137640.0,2577.939697265625,6576.73291015625,16083.539843750084,1035090.3125
2,0,0,2,0.06069512009937862,77696,48309,0.621769460461285,256970.171875,745763.34375,6587716.5,65350072.0,2300.749267578125,5706.8731689453125,11373.512597656314,149046.859375
3,0,0,3,0.05516334426060983,77696,46921,0.6039049629324547,250999.640625,823247.375,6687264.0,51535984.0,2123.56787109375,5032.1363525390625,9121.658105468765,49770.31640625
4,0,1,4,0.053781340133540516,77696,47269,0.6083839579901154,236232.21875,819984.5625,6345407.100000005,44912328.0,2102.65234375,4918.5902099609375,8500.31982421877,33634.9140625
5,0,1,5,0.053490555639790216,77696,47498,0.6113313426688632,224164.140625,824314.75,6140727.5,38583992.0,2094.561279296875,4875.4898681640625,8108.137670898442,30238.0
6,0,1,6,0.051701245418666726,77696,47576,0.612335255354201,215210.890625,808100.34375,5770849.5,38258552.0,2080.25048828125,4804.5587158203125,7664.293310546878,29881.48828125
7,0,1,7,0.050045881715260414,77696,46162,0.5941361202635914,212234.484375,832208.84375,5643874.075000099,35902424.0,2012.4808349609375,4461.2520751953125,7017.043701171878,31450.78125
8,0,2,8,0.04992534795693587,77696,46188,0.5944707578253706,204583.9375,813242.359375,5444050.675000001,37075100.0,2003.9783935546875,4411.23046875,6807.882788085938,33092.5078125
9,0,2,9,0.04867526621111612,77696,46371,0.5968260914332785,203379.421875,806698.015625,5403698.325000045,37884692.0,2005.6968994140625,4398.40478515625,6716.609155273446,28364.845703125
10,0,2,10,0.048357763745511255,77696,46536,0.5989497528830313,199159.90625,806400.765625,5242208.0,36808544.0,2010.54248046875,4411.0430908203125,6622.395703125006,25870.546875
